,AFG,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BGD,BGR,BHS,BIH,BLR,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CPV,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GIN,GRC,GRD,GUY,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LBN,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MLT,MMR,MOZ,MUS,MYS,NER,NGA,NLD,NOR,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SRB,SVK,SVN,SWE,SWZ,SYR,TCD,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VAT,VEN,VNM,VUT,XKX,ZAF,ZMB,ZWE
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,22,24,0,46,26,0,32,0,16,0,0,0,0,0,28,0,0,0,0,0,18,0,20,0,0,0,0,18,0,0,0,2,72,16,0,0,0,4,36,0,2,4,86,338,0,0,0,2,0,0,0,2,2,2,8,62,4,0,2,8,22,0,0,30,0,0,0,8,0,0,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,44,12,30,2,2,0,0,4,2,30,0,0,0,2,4,2,0,0,6,2,0,2,8,0,0,0,0,0,0,0,2,0,0,0,0,516,0,0,2,0,0,6,0,0
CHE,2,0,0,4,2,30,12,0,14,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,22,0,0,0,0,0,0,0,0,2,126,2,0,0,0,2,14,2,2,6,58,80,0,2,0,2,0,2,0,0,4,0,2,4,0,0,0,6,36,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,20,0,22,0,0,0,0,0,8,4,0,0,0,0,4,0,0,0,6,0,0,6,8,0,0,0,0,0,0,4,2,2,0,0,0,126,0,2,0,0,0,2,0,0
CHL,0,0,0,14,0,10,14,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,36,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
CHN,0,0,2,0,0,36,4,4,18,0,0,0,0,0,0,0,2,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,2,26,12,0,0,0,2,4,4,0,12,22,116,0,0,0,0,0,0,0,0,6,0,10,8,0,0,6,0,56,0,0,18,0,0,0,22,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,2,8,0,6,0,0,0,4,0,0,0,0,2,6,4,0,0,4,2,0,2,18,0,2,0,2,0,0,4,16,0,0,0,0,220,0,0,2,0,0,4,0,0
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
COL,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,20,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0
CPV,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
CYP,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,12,0,0,0,6,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0
CZE,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0
DEU,0,0,4,14,0,80,190,2,42,0,0,8,0,0,0,0,16,0,0,0,0,72,126,10,26,0,0,0,6,0,2,0,10,14,0,36,0,0,0,0,44,6,0,26,128,374,0,0,0,2,0,0,0,6,8,0,14,34,2,0,0,34,108,0,6,22,0,10,0,6,0,0,8,2,0,0,0,2,0,0,2,8,0,0,0,0,0,6,2,2,144,8,0,0,2,0,0,2,28,10,0,0,0,4,24,0,0,2,10,2,2,8,28,0,2,0,0,2,2,36,8,10,0,4,0,436,0,0,0,0,0,40,0,0
DNK,0,0,0,0,0,18,6,0,14,0,0,2,0,0,0,0,0,0,0,0,0,16,2,0,12,0,0,0,0,0,0,0,0,0,36,0,0,0,0,2,8,0,0,18,8,86,0,0,0,0,0,0,0,0,6,0,16,4,0,0,4,6,14,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,58,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,2,0,0,0,0,0,74,0,0,0,0,0,2,0,0
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0
ESP,0,0,0,50,0,14,2,0,34,0,0,0,0,0,0,2,18,0,0,0,0,36,14,36,4,0,0,0,20,18,2,2,0,6,44,8,0,0,2,0,0,0,0,0,82,176,0,0,2,2,0,0,2,0,0,0,2,18,0,0,0,2,76,0,0,22,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,24,4,2,0,0,0,6,2,2,50,0,0,0,2,2,8,0,0,2,0,2,0,2,0,2,0,0,0,0,2,2,0,0,2,2,148,0,2,0,0,0,2,0,0
EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
FIN,0,0,0,0,0,18,2,0,10,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,12,0,0,0,0,0,0,0,2,2,26,18,0,0,0,0,0,12,0,0,16,34,0,0,0,4,0,0,0,0,4,0,0,2,0,0,0,6,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,2,2,0,0,0,0,0,2,2,0,0,0,2,10,0,0,0,2,0,0,0,32,0,0,0,2,0,0,0,0,0,0,0,0,42,0,0,0,0,0,6,0,0
FRA,0,0,18,30,0,90,10,0,80,0,0,2,0,0,0,0,6,0,2,0,0,86,58,10,22,0,0,0,2,18,0,2,0,4,128,8,0,2,0,6,82,0,0,16,0,254,0,0,0,10,0,0,0,2,12,2,6,28,0,4,4,26,96,0,0,34,0,2,0,8,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,54,10,4,0,6,0,2,0,12,36,2,0,0,4,8,2,2,0,0,0,2,4,4,0,0,0,2,2,6,16,4,2,0,0,2,270,2,0,2,0,2,10,0,0
GBR,0,2,16,64,4,410,140,2,146,0,2,0,0,4,0,0,42,0,2,0,0,338,80,16,116,0,2,0,4,36,0,0,12,8,374,86,0,2,8,2,176,0,8,34,254,1188,0,2,2,36,0,0,0,4,24,4,66,170,4,0,8,38,180,0,0,86,2,4,0,16,4,0,4,0,22,0,2,2,6,0,0,14,0,16,0,0,6,10,0,12,318,134,86,4,4,0,2,0,26,74,0,0,22,6,48,4,0,0,30,2,2,6,58,0,0,0,4,2,0,42,12,0,0,2,0,1622,4,0,0,0,0,94,12,2
GEO,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
