,AFG,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CUB,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LIE,LKA,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MLT,MMR,MNE,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PER,PHL,PNG,POL,PRT,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SRB,SVK,SVN,SWE,SYR,TCD,THA,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZMB,ZWE
CAN,0,0,2,2,0,90,8,0,30,0,0,0,0,0,0,0,0,4,2,0,0,0,20,6,8,0,0,0,0,2,2,0,36,12,0,0,0,20,0,0,4,60,218,0,0,2,0,0,6,2,6,16,2,2,0,16,34,0,0,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,42,0,22,0,0,16,0,0,0,0,0,2,10,0,4,4,4,0,2,0,6,0,2,0,2,0,0,8,0,2,0,2,0,0,0,0,0,0,458,0,0,22,0,0
CHE,0,0,0,2,0,10,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,0,0,2,0,0,8,98,14,0,0,0,12,2,0,4,64,54,0,0,0,0,0,6,2,2,2,0,0,0,4,40,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,4,0,2,2,0,0,0,0,0,4,2,0,0,2,0,16,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,70,0,0,12,0,0
CHL,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
CHN,0,0,0,0,0,14,6,0,6,0,0,0,0,0,0,0,0,2,0,0,0,8,6,0,0,0,0,0,0,0,0,0,28,8,0,0,0,2,0,0,4,6,42,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,2,0,2,0,0,2,2,0,0,2,0,0,0,2,0,0,0,16,0,0,0,0,0,0,2,0,0,2,0,2,8,0,0,0,0,152,0,0,4,0,0
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
CYP,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
