,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
CUW,1,0,0,0,0,0,1,0,1,0,0,7,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CYM,0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,2,3,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,2,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CYP,0,4,1,0,24,0,0,37,28,83,0,220,193,7,0,225,3,0,0,21,119,7,0,21,0,84,0,1,0,126,7,2,0,1,0,132,299,32,224,2,6,2,0,0,94,0,3,8,3,0,0,0,169,498,0,0,117,5,18,77,131,0,387,121,10,179,1,0,359,0,0,2,907,91,7,0,0,1,0,0,916,2,0,6,0,1,0,145,2,144,12,169,170,153,20,16,112,525,2,26,54,15,4,6,0,0,0,111,58,0,75,0,9,0,0,60,0,122,22,96,0,18,1,8,2,0,97,0,30,1,33,2,64,2,2,0,0,4,3,109,3,0,3,40,0,215,115,3,99,12,127,5,15,12,0,0,223,1,229,1,10,0,98,87,192,1,88,2,2,37,0,0,2,0,2,2,0,151,0,0,1,38,63,165,1,0,2,1,0,0,1,87,3,3,0,1,0,22,326,0,100,5,7,91,10,561,32,0,0,0,4,0,17,0,1,6,4,71,0,0
CZE,0,1,6,5,53,1,0,121,310,185,0,1011,1559,139,4,1073,10,0,2,101,366,11,1,65,0,212,1,0,8,736,7,8,2,17,4,1075,1294,290,1572,9,39,15,9,1,306,0,3,25,48,0,0,169,0,3486,1,0,727,19,58,108,308,0,1904,300,70,697,4,1,2253,0,7,11,3147,199,47,0,4,9,0,0,762,2,1,11,3,8,0,422,2,804,116,911,415,581,69,59,506,2382,2,153,926,76,41,23,6,0,0,512,94,2,46,2,12,0,5,85,0,283,51,197,0,146,2,20,9,0,350,0,76,2,45,8,84,16,11,1,0,6,8,338,15,0,4,78,4,1425,643,27,232,41,366,45,119,88,0,18,2005,1,730,14,63,0,134,507,1391,11,360,16,10,172,0,1,3,3,1,7,0,461,1,0,1,1555,447,1113,4,0,3,5,0,1,3,215,10,8,0,2,2,54,736,0,499,18,26,420,47,3208,57,0,0,0,28,1,127,0,3,16,18,367,12,9
DEU,0,11,17,5,65,4,0,549,1354,277,0,7476,8482,178,11,6427,78,0,64,280,698,27,18,106,0,334,4,9,38,4145,11,28,13,40,11,7939,12892,1753,13061,69,253,51,49,1,881,1,7,137,138,5,1,498,3486,0,3,0,5173,21,170,281,1494,0,10998,611,316,2950,23,6,14428,2,7,114,24441,344,296,3,25,30,5,2,2856,13,24,32,12,13,7,905,2,2044,503,3444,2121,1822,169,278,2610,14049,29,314,5864,159,398,49,25,0,8,2727,140,16,187,9,37,0,45,171,1,576,517,356,0,324,55,81,81,7,1317,0,166,37,142,34,91,152,64,5,1,27,62,578,82,15,20,365,11,11991,3389,125,1205,113,1014,150,306,281,1,15,4914,3,2864,25,120,0,307,1376,5553,51,1233,95,57,1278,1,6,3,36,10,3,4,941,6,1,4,762,1069,7041,11,1,18,37,0,5,14,764,24,7,4,3,22,299,2175,0,1399,219,198,909,151,31598,108,0,11,2,80,1,545,1,4,26,36,1926,56,85
DJI,0,0,0,0,0,0,0,2,1,0,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,2,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,9,0,1,1,4,0,0,0,14,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,3,2,0,0,8,0,0,0,0,0,0,2,0,0,0,6,2,1,1
DMA,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,1,0,0
DNK,0,4,4,3,34,0,0,161,353,102,0,2525,1282,134,4,1738,21,1,20,101,217,7,4,38,0,129,2,1,4,1003,7,6,2,14,4,2274,2237,427,3237,13,17,8,22,0,245,0,5,33,48,1,0,117,727,5173,0,0,0,11,39,43,176,0,2811,240,89,1250,5,5,2946,32,4,10,7207,149,92,0,1,13,44,1,836,0,133,15,1,5,1,287,2,553,109,774,688,679,33,314,667,3157,9,30,1078,45,128,23,6,0,7,626,39,5,54,4,18,0,9,44,2,211,127,121,0,134,5,17,9,1,340,0,72,8,58,5,20,17,28,2,0,13,13,225,12,5,6,81,1,3344,2219,46,401,32,212,27,100,94,1,4,1125,1,953,15,61,0,101,396,765,21,275,28,21,388,0,2,3,3,1,7,1,309,1,0,1,255,387,3527,5,0,5,8,0,1,5,189,14,8,2,1,7,31,683,0,308,81,71,162,74,6975,20,0,0,0,24,0,95,0,1,9,13,567,13,17
DOM,2,1,2,0,5,0,0,8,76,1,0,13,10,1,1,15,3,0,1,7,7,2,0,4,0,1,0,0,14,72,3,3,0,1,0,30,17,58,16,2,2,0,0,0,67,0,2,28,43,1,0,5,19,21,0,0,11,0,4,44,14,0,88,3,7,6,1,0,33,0,0,3,60,2,5,0,0,1,0,0,8,0,0,41,1,0,24,9,7,9,7,26,9,10,3,2,12,24,4,8,8,4,3,2,1,0,2,5,6,0,5,0,5,0,0,8,0,7,2,2,0,6,0,1,2,0,89,0,6,0,2,3,1,1,3,0,0,3,2,11,2,0,3,8,20,21,5,3,5,4,10,35,50,10,0,2,13,1,15,29,7,0,8,8,12,1,9,4,1,9,0,0,2,1,19,0,0,10,0,0,0,5,4,10,0,1,2,2,0,0,0,9,1,1,0,1,1,5,13,0,12,7,4,1,34,180,1,0,0,0,44,0,4,0,1,2,5,9,1,3
DZA,0,1,6,0,11,0,0,148,24,2,0,90,40,2,3,110,10,0,4,32,23,12,0,8,0,7,0,0,1,104,2,4,0,6,1,198,78,33,254,9,26,5,2,0,29,0,2,4,4,0,0,18,58,170,1,0,39,4,0,7,273,0,387,16,15,42,2,0,1352,0,0,3,319,17,22,0,3,4,0,1,60,0,0,2,0,0,1,35,2,42,23,238,40,167,50,6,24,319,6,87,50,14,19,4,1,0,0,125,36,0,36,1,18,0,0,3,1,9,10,6,0,150,0,1,5,0,45,0,11,5,9,2,3,2,7,4,0,9,9,141,4,2,7,38,0,67,52,5,15,22,152,2,11,25,0,1,108,1,146,2,23,0,53,79,89,7,649,25,18,15,0,0,2,1,0,0,1,32,0,0,0,29,22,61,2,1,2,5,0,3,5,37,4,1,0,1,3,273,320,0,91,13,11,25,11,247,2,0,0,0,2,0,90,0,0,3,15,100,4,6
ECU,2,1,3,0,8,1,0,22,237,75,0,190,121,1,2,181,4,0,1,30,85,3,3,4,0,73,4,0,36,449,3,7,3,3,1,153,159,325,234,8,11,4,3,0,364,0,2,86,73,1,0,77,108,281,0,0,43,44,7,0,97,0,977,83,16,122,3,2,239,0,0,5,379,76,14,0,2,2,0,0,104,0,0,42,3,3,21,87,7,93,23,180,107,153,10,5,26,276,4,10,45,7,25,5,3,0,0,120,50,1,14,1,5,0,2,66,0,86,2,79,0,38,2,1,4,0,355,0,8,2,2,4,55,3,5,0,0,5,4,97,2,0,3,35,18,121,31,8,120,14,131,57,199,18,0,3,118,1,202,46,7,0,81,48,114,2,69,5,2,27,1,0,2,2,18,0,0,90,0,0,1,11,11,67,0,0,5,5,0,0,0,93,4,1,0,1,4,11,125,0,87,9,8,84,69,740,28,0,0,0,192,0,22,1,0,1,7,50,4,4
EGY,0,22,5,5,20,0,0,924,116,97,3,752,272,29,5,382,16,0,11,321,156,88,1,21,0,107,0,0,9,414,9,16,0,14,2,932,400,162,2814,18,50,16,19,0,191,0,2,11,11,0,0,131,308,1494,9,1,176,14,273,97,0,0,779,131,80,280,4,0,752,0,6,7,1975,106,63,0,1,11,0,1,356,1,0,12,0,9,2,154,4,271,163,1620,256,591,305,10,86,1008,4,410,1046,78,78,14,3,0,7,751,358,2,187,2,120,0,0,103,1,123,18,90,0,234,0,4,6,3,309,0,31,6,15,16,64,9,15,3,0,14,19,535,9,1,13,283,0,306,144,70,186,238,1231,23,57,85,0,2,445,3,299,9,90,0,339,195,798,22,9286,191,19,119,0,0,2,2,2,0,4,188,1,0,0,113,55,321,4,8,2,55,0,3,6,267,3,1,0,1,2,344,790,0,405,30,50,131,21,3183,64,0,1,0,12,0,192,1,1,15,275,319,15,16
ERI,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,0,0,0,0,0,0,0,0,0,0,1,4,0,0
ESP,0,6,17,5,74,22,0,355,1881,161,3,4346,2629,114,4,4195,17,0,17,158,528,18,17,82,0,232,6,5,63,3978,9,17,2,19,2,4384,4728,2840,4470,19,48,24,12,1,1700,0,21,224,202,2,0,387,1904,10998,1,1,2811,88,387,977,779,0,0,468,111,1700,12,3,10127,1,6,22,15059,276,88,12,18,31,5,5,2220,7,13,57,11,13,28,651,7,1094,149,1887,1640,1226,126,181,1549,11932,15,144,2752,75,137,30,11,0,6,1674,134,9,208,3,30,0,10,106,0,462,222,251,0,497,47,25,26,3,2561,0,138,28,111,7,84,18,181,9,2,13,26,457,28,7,12,195,24,5628,2015,55,705,79,557,135,466,206,1,26,2902,2,4711,109,103,0,233,1036,2074,15,1013,42,34,661,3,1,4,18,16,6,0,765,1,0,2,463,819,3567,5,0,12,15,0,5,9,382,16,7,0,1,10,422,1640,0,883,74,78,466,302,15638,60,0,8,0,173,0,233,1,2,23,25,1045,11,19
EST,1,0,2,2,34,0,0,29,40,89,0,300,265,10,1,332,7,0,2,18,149,7,0,36,0,107,0,0,4,191,2,7,0,9,2,186,294,60,363,8,10,2,0,0,116,0,3,14,6,0,0,121,300,611,1,0,240,3,16,83,131,0,468,0,22,568,1,0,401,0,5,3,730,105,14,0,0,3,0,0,222,0,1,6,0,3,0,164,2,231,24,217,188,167,16,58,95,484,4,13,132,32,20,22,2,0,0,141,59,0,10,0,3,0,1,75,0,219,20,263,0,18,1,11,1,0,161,0,41,2,31,2,70,5,10,1,0,3,4,114,5,1,2,28,0,297,254,11,126,10,148,13,23,26,0,3,346,1,244,3,7,0,94,123,319,7,89,4,3,48,0,0,2,0,1,6,0,155,0,0,1,75,107,461,2,0,2,1,0,1,1,97,9,7,0,1,4,25,189,0,119,5,14,158,10,570,33,0,0,0,7,0,39,0,0,7,8,64,3,2
ETH,0,7,5,5,9,0,0,62,34,9,0,320,60,14,9,217,35,0,24,89,18,9,1,4,0,3,1,0,6,92,6,7,0,63,4,188,151,28,369,20,46,25,14,0,46,0,3,11,6,0,0,10,70,316,4,0,89,7,15,16,80,5,111,22,0,49,13,0,156,0,7,13,645,8,119,0,1,24,13,1,35,0,0,9,2,11,2,23,5,31,50,797,55,96,37,8,29,134,4,35,111,12,244,11,7,0,0,153,25,1,14,8,19,0,0,26,5,11,11,4,0,51,0,4,16,1,64,0,9,24,5,10,1,12,44,2,0,7,39,93,17,1,16,160,1,192,181,40,38,31,109,19,47,30,0,3,72,1,68,3,24,0,33,36,56,53,158,39,28,38,1,0,4,18,1,0,3,34,5,0,0,10,11,168,11,0,4,18,0,5,7,36,1,1,0,2,2,24,66,0,72,104,133,16,9,809,6,0,0,0,5,0,67,1,1,0,16,295,38,55
FIN,0,1,7,3,34,0,0,110,165,142,1,1288,871,45,3,943,10,0,6,82,216,8,1,32,0,129,2,2,9,651,8,5,1,15,2,1207,1237,271,2085,9,24,6,8,1,213,3,2,20,48,0,0,179,697,2950,0,0,1250,6,42,122,280,1,1700,568,49,0,8,0,1813,3,6,5,3731,113,65,1,5,7,1,0,652,2,17,12,4,8,1,285,3,452,105,661,510,539,33,209,337,1866,10,48,792,59,75,26,4,0,0,494,77,3,49,2,22,0,10,98,0,307,65,242,0,71,0,9,10,3,329,0,57,4,46,8,75,11,12,2,0,6,23,219,15,3,5,67,2,1597,1318,35,351,33,272,29,92,47,0,4,883,1,725,15,19,0,143,298,1120,18,295,12,9,296,1,1,2,1,1,5,0,210,2,0,1,184,228,2769,2,0,5,5,0,2,3,187,8,6,0,1,1,46,467,0,252,30,38,239,28,3530,43,0,0,0,17,0,90,0,2,9,18,378,5,9
FJI,0,1,0,0,1,0,0,4,4,0,1,155,3,0,0,13,1,0,0,14,2,0,0,1,0,0,0,1,1,16,5,1,0,3,0,33,21,10,28,1,3,2,2,1,6,0,1,4,1,0,0,1,4,23,0,0,5,1,2,3,4,0,12,1,13,8,0,0,45,0,2,0,68,2,3,0,1,2,0,0,6,1,0,1,0,2,0,2,3,6,8,29,5,10,3,4,4,23,4,1,30,1,15,1,1,3,0,6,1,0,1,1,0,0,0,6,0,1,1,3,0,8,0,1,2,0,6,2,1,0,1,1,1,4,2,0,0,3,4,17,3,7,1,12,0,20,14,4,34,0,6,4,6,16,6,11,4,0,9,3,1,0,1,2,4,1,7,1,3,15,0,0,16,0,0,0,0,3,0,0,1,3,3,11,1,0,4,0,0,0,0,8,1,1,1,8,3,1,9,1,4,8,4,0,3,72,1,0,0,1,2,0,8,14,11,0,2,19,6,1
FLK,0,0,0,0,0,0,0,0,3,0,0,15,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,8,2,9,2,0,0,0,0,0,2,0,0,2,0,0,0,0,1,6,0,0,5,0,0,2,0,0,3,0,0,0,0,0,10,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,2,2,2,0,0,0,0,9,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,7,0,0
FRA,1,6,5,4,66,10,0,513,1114,255,1,5370,3060,139,17,6580,138,0,184,158,526,25,9,59,1,265,3,5,39,3627,18,19,5,37,30,7083,7415,1492,7617,244,316,95,74,1,786,12,7,111,126,2,2,359,2253,14428,14,1,2946,33,1352,239,752,1,10127,401,156,1813,45,10,2,8,5,77,17189,267,121,4,48,25,2,3,2180,6,17,28,89,10,3,693,24,1241,290,2393,1673,1037,95,203,1793,12626,21,150,4312,137,238,32,87,0,7,1903,157,44,928,15,51,0,7,105,3,366,423,228,0,1254,170,40,179,14,1370,2,103,89,104,22,90,29,62,33,2,43,40,492,39,126,55,221,7,6822,2301,66,888,121,566,94,366,227,1,18,3137,4,2570,31,96,0,324,1323,3204,40,1164,74,311,969,1,2,7,23,6,4,0,671,1,1,5,482,735,3980,10,1,35,31,1,19,57,630,15,5,0,2,16,1516,1492,0,1021,73,128,567,136,20699,60,0,10,3,98,0,704,6,4,12,25,1382,31,67
FRO,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,0,0,0,0,0,1,0,0,3,0,1,8,0,0,0,17,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,5,2,1,1,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0
FSM,0,0,0,2,0,0,0,7,3,0,0,11,0,2,0,2,0,0,0,7,1,4,0,0,0,0,0,0,0,6,0,1,0,3,0,6,5,2,8,0,2,0,1,0,5,0,0,1,1,0,0,0,7,7,0,0,4,0,0,0,6,0,6,5,7,6,2,0,5,0,0,0,17,1,6,0,0,2,0,0,5,0,0,1,0,3,0,4,0,3,6,6,5,7,4,5,3,6,0,5,7,4,3,5,0,0,0,6,6,0,1,0,2,0,0,7,0,0,0,0,0,4,0,0,0,0,6,1,0,0,0,0,0,2,3,0,0,0,0,6,0,0,0,6,0,4,7,6,6,3,6,6,6,6,1,2,6,0,6,0,3,0,6,6,6,2,7,1,0,6,0,0,1,0,0,0,0,6,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,1,1,2,5,0,6,2,5,5,1,12,2,0,0,0,0,0,6,0,1,0,6,6,0,0
GAB,0,1,3,0,3,0,0,2,4,1,0,19,22,0,6,24,19,0,14,3,4,0,0,1,0,2,1,0,3,15,0,3,0,2,8,16,29,7,13,12,36,22,32,0,5,0,0,0,0,0,0,2,11,114,0,0,10,3,3,5,7,0,22,3,13,5,0,0,77,0,0,0,93,1,28,0,5,3,1,3,2,0,0,2,1,1,0,3,0,4,7,10,4,5,3,0,5,13,1,3,11,0,13,0,0,0,0,7,2,0,0,4,4,0,0,4,1,4,0,1,0,7,0,0,10,0,4,0,4,8,0,0,0,0,8,2,0,1,8,8,1,0,5,14,1,57,10,0,4,2,5,4,6,4,0,2,5,0,10,2,3,0,3,4,6,7,6,4,18,8,0,0,0,16,0,0,0,4,0,1,0,2,1,9,2,0,0,1,0,3,5,6,0,0,0,0,0,3,4,0,5,14,12,1,1,72,1,0,0,0,1,0,19,0,0,0,2,23,3,11
GBR,2,43,31,15,128,6,2,1501,1510,301,2,17445,5069,252,29,8265,118,1,158,877,763,102,33,132,1,344,17,17,52,6138,55,105,26,166,19,13412,11303,2380,23876,134,329,147,102,1,1297,3,22,172,111,2,13,907,3147,24441,3,2,7207,60,319,379,1975,4,15059,730,645,3731,68,38,17189,17,17,93,34234,422,700,36,46,220,26,7,4346,30,45,79,22,48,22,974,26,2101,883,6578,5638,2360,684,507,2853,18670,90,504,6528,224,1300,77,120,4,6,3510,367,88,389,38,175,1,16,481,11,607,474,367,0,523,109,54,145,18,2051,2,210,109,353,91,115,137,226,6,5,75,500,2308,136,20,50,1381,16,15144,5208,370,2896,301,2248,210,609,650,6,46,4940,4,4315,82,218,0,914,1562,4134,159,3250,265,124,3146,12,5,24,122,10,10,22,1157,23,4,6,730,1151,9375,31,7,63,55,2,20,36,1674,25,12,8,9,100,327,2967,0,2084,597,793,786,227,44633,73,0,19,3,111,5,908,13,10,44,76,4613,295,335
GEO,0,0,1,0,27,0,0,55,96,136,0,206,221,97,1,143,4,0,2,15,174,3,0,13,0,178,0,0,1,198,1,2,1,2,1,139,243,96,239,2,10,3,0,0,176,0,2,8,3,0,0,91,199,344,0,0,149,2,17,76,106,0,276,105,8,113,2,0,267,0,1,1,422,0,5,0,0,1,0,0,212,0,0,5,0,1,0,113,2,192,8,140,113,150,19,5,109,302,2,11,123,21,6,19,1,0,0,111,53,0,15,1,7,0,0,58,1,108,8,96,0,91,1,27,7,0,108,0,27,3,14,3,65,5,3,1,0,1,2,100,1,0,3,11,0,158,116,14,85,11,103,5,13,37,0,0,257,0,215,9,45,0,78,141,303,3,44,2,4,19,0,0,1,0,2,7,0,200,0,0,0,104,101,142,1,0,2,1,0,1,2,94,10,9,1,1,1,10,240,0,167,6,9,138,7,412,43,0,0,0,5,0,26,0,0,1,2,130,2,3
GHA,0,4,5,6,7,0,0,43,32,6,0,334,44,7,8,75,71,0,52,83,10,6,2,8,0,2,1,0,5,95,8,6,1,33,5,245,167,27,481,38,84,25,19,0,30,0,2,10,4,0,0,7,47,296,1,1,92,5,22,14,63,0,88,14,119,65,3,0,121,0,6,28,700,5,0,0,13,42,16,1,23,1,0,8,2,10,2,23,4,22,54,138,38,46,17,7,19,99,21,20,89,14,202,10,5,0,0,83,14,4,13,14,14,0,0,28,1,10,8,5,0,38,0,3,17,2,51,0,10,38,3,5,1,6,28,3,0,14,52,74,17,1,23,305,3,166,70,28,42,12,85,21,35,28,0,3,27,1,42,2,9,0,25,35,48,40,66,29,50,40,0,0,2,25,0,0,2,25,3,0,0,9,14,109,9,0,7,6,0,5,19,38,1,1,0,1,3,24,48,0,29,99,105,13,7,801,14,0,0,1,5,0,52,1,1,2,15,402,39,50
GIB,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,1,0,0,4,0,0,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0
GIN,0,0,1,0,0,0,0,2,5,0,0,15,2,0,2,35,7,0,14,2,1,0,0,0,0,1,0,0,0,11,0,0,0,1,2,12,34,5,11,9,12,6,7,0,4,0,0,0,0,0,0,0,4,25,0,0,1,0,3,2,1,0,18,0,1,5,1,0,48,0,0,5,46,0,13,0,0,4,2,1,3,2,0,2,0,0,0,0,0,2,3,8,1,0,0,0,2,6,0,0,8,0,9,0,0,0,0,3,0,0,0,6,0,0,0,0,1,0,2,0,0,1,0,0,3,0,1,0,1,17,0,4,0,0,5,3,0,1,1,1,1,0,6,12,0,8,4,1,1,0,1,2,2,2,0,0,3,0,2,0,0,0,1,1,10,1,4,0,18,4,0,0,0,11,0,0,1,1,0,0,0,2,3,7,2,0,0,0,0,4,4,1,0,0,0,0,0,1,4,0,1,9,5,0,0,57,0,0,0,0,2,0,1,0,0,1,0,14,2,1
GMB,0,2,2,1,0,0,0,6,5,0,0,52,4,3,3,26,10,0,16,19,2,1,0,1,0,1,0,0,1,10,0,2,1,4,1,28,34,6,21,6,13,5,8,0,6,0,0,2,0,0,0,1,9,30,0,0,13,1,4,2,11,0,31,3,24,7,2,0,25,0,2,3,220,1,42,1,4,0,2,1,5,0,0,1,0,4,1,4,0,3,7,22,6,9,7,2,8,14,0,5,16,2,43,2,2,0,0,9,3,0,1,1,6,0,0,9,1,1,0,3,0,9,0,0,4,0,6,0,2,17,0,0,0,4,10,1,0,3,11,11,6,0,5,58,0,33,14,6,20,6,36,4,12,10,0,1,8,0,8,1,1,0,6,7,6,4,11,4,18,9,0,0,0,9,0,0,0,6,1,0,0,2,4,18,3,0,0,1,0,3,5,14,0,0,0,0,0,4,10,0,7,12,21,2,1,89,4,0,0,0,0,0,11,0,0,0,4,43,9,6
