,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HKG,0,0,0,0,0,2,0,53,4,0,0,7,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,75,9,3,336,0,0,0,0,0,1,0,0,0,0,1,26,6,0,0,0,3,0,6,0,0,5,1,16,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,11,1,1,0,0,2,12,1,0,26,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,0,13,2,0,12,0,0,0,0,5,0,1,2,0,2,0,0,0,2,4,0,1,0,0,26,1,0,0,0,0,0,2,17,0,0,0,0,0,4,0,0,1,0,0,1,29,3,0,1,0,212,0,0,0,1,1,0,0,1,3,1,1
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,1,0,0,13,18,0,0,14,0,0,0,3,0,0,1,1,0,0,0,2,0,0,0,0,9,12,0,0,1,0,0,0,0,1,0,0,0,0,10,86,5,0,0,0,1,0,7,0,0,9,0,31,0,33,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,23,1,0,5,0,0,0,5,40,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,12,1,0,2,0,1,0,0,1,0,0,20,0,5,0,0,0,16,11,0,1,0,1,1,0,0,0,0,0,11,17,13,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,9,0,69,0,0,0,0,0,0,0,3,0,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HUN,0,1,0,0,1,6,1,17,56,0,0,46,0,0,2,40,0,0,0,3,0,0,0,12,0,0,0,1,78,102,2,41,0,0,0,0,0,1,0,0,2,26,25,337,23,0,0,1,8,0,65,5,0,97,0,187,0,206,0,0,0,0,0,0,19,0,0,0,0,3,0,23,0,0,2,37,13,2,0,2,61,168,1,0,108,1,1,0,0,0,28,4,0,1,0,2,0,0,0,0,3,5,1,0,1,0,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,94,17,0,8,0,1,0,0,1,0,0,52,0,5,0,0,0,62,69,0,3,1,0,2,0,0,0,0,0,13,15,46,0,0,1,0,0,4,0,0,0,0,1,7,3,0,0,3,0,457,1,0,6,3,0,0,1,12,4,2,1
IDN,0,0,0,0,1,1,0,27,1,0,0,7,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,12,4,1,5,0,0,0,0,0,3,0,1,0,0,0,20,5,0,0,0,2,0,0,0,0,3,0,18,1,16,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,7,2,0,0,0,1,1,1,0,48,1,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,7,0,0,0,1,0,34,1,3,3,0,0,0,3,7,0,1,0,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,1,5,0,0,0,0,0,10,0,0,0,0,0,0,1,0,1,0,0,71,0,0,1,3,0,0,0,1,2,1,3
IND,0,0,0,0,3,16,6,40,9,0,0,26,0,0,10,30,2,0,0,1,0,0,0,35,0,2,1,0,61,66,6,52,4,0,0,0,0,7,0,2,3,27,3,197,16,0,0,0,9,0,56,0,3,33,0,145,0,179,0,2,0,1,0,0,6,0,0,0,0,11,0,0,0,37,7,0,0,7,0,0,13,95,0,0,120,5,3,0,0,0,50,3,0,1,0,3,0,0,0,1,0,0,1,0,0,0,17,0,1,0,1,0,0,1,0,1,1,12,0,0,0,3,0,68,6,3,8,2,0,0,1,16,0,0,15,0,4,0,0,0,34,73,0,3,0,0,8,0,0,0,0,0,8,1,39,0,0,2,0,0,3,0,0,0,0,1,1,11,1,1,3,0,549,6,0,2,2,0,0,1,3,8,2,1
IRL,0,0,0,0,0,2,0,22,22,0,0,29,0,0,1,2,0,0,0,1,0,0,0,10,0,0,0,0,33,32,1,8,0,1,0,0,0,0,0,0,0,0,5,84,24,0,0,0,2,0,32,1,0,16,0,70,0,340,1,0,0,0,0,0,17,0,0,0,0,1,0,5,0,13,2,0,0,0,0,5,9,64,0,1,19,0,4,0,0,0,9,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,74,18,0,3,0,0,0,0,0,0,0,7,0,12,0,0,0,3,15,0,1,0,0,1,0,0,0,0,0,1,1,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,197,0,0,0,0,0,0,0,0,7,0,1
IRN,0,0,0,0,1,0,0,10,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,13,3,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,2,0,0,0,0,4,0,35,1,1,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,7,0,0,0,0,0,6,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,31,0,0,1,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,0,1,0,0,0,2,0,0,16,0,13,0,42,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,7,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,2,0,0,0,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,2,13,2,73,28,0,0,43,0,0,0,9,0,0,0,2,0,0,0,27,0,0,0,0,186,101,7,17,0,0,0,0,0,0,0,2,1,2,17,404,50,0,0,0,3,1,72,0,0,34,0,248,0,266,0,0,0,0,0,0,9,0,0,0,0,2,0,5,0,61,1,13,9,0,0,1,0,196,0,1,125,1,6,0,0,0,22,1,0,1,0,0,0,0,0,2,1,4,0,0,0,0,17,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,101,18,0,17,0,1,0,0,2,0,0,42,0,11,0,1,0,3,110,0,3,0,0,4,0,0,0,0,0,4,4,46,0,0,0,0,0,3,0,0,0,0,2,17,5,2,0,10,0,1485,1,0,2,1,0,0,0,4,18,0,0
ITA,1,6,0,0,2,73,8,147,228,3,1,348,0,4,2,73,0,0,1,38,0,0,2,151,0,0,0,0,356,693,31,142,0,2,0,0,0,8,0,4,4,34,128,1287,259,0,5,4,32,0,608,8,3,186,0,1388,0,1490,8,1,0,0,0,0,166,0,1,0,0,12,0,40,0,168,1,95,64,6,0,7,196,0,0,2,354,4,9,0,0,0,94,1,0,3,0,0,0,3,0,11,7,4,18,5,3,2,34,1,3,3,3,0,0,2,0,0,1,1,0,3,1,6,2,603,104,2,33,1,4,0,2,2,0,1,242,0,94,1,0,0,99,442,0,3,0,3,1,0,0,0,1,0,83,59,355,0,0,2,0,0,3,0,0,0,0,3,34,31,2,0,44,5,2817,3,0,16,7,0,0,0,6,28,0,2
JAM,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,1,1,0,2,0,0,0,3,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,1,3
JOR,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,1,0,1,0,9,0,0,0,0,3,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
JPN,0,0,0,0,1,38,2,350,72,0,0,115,0,0,10,21,0,0,0,11,0,0,4,85,0,1,0,1,516,258,11,470,1,1,0,0,0,11,0,4,0,3,62,858,92,1,2,0,26,0,137,4,4,103,1,504,1,834,4,4,0,0,0,0,28,0,1,0,0,26,0,9,0,108,48,120,19,9,0,6,125,354,0,1,0,3,9,0,0,0,340,1,0,0,0,0,0,3,0,1,2,2,3,1,0,1,15,0,1,0,1,1,12,0,1,0,0,29,0,2,0,3,0,276,45,4,59,1,5,3,2,29,0,4,120,0,17,0,0,1,19,316,0,17,2,0,23,2,0,0,0,0,21,11,234,0,0,1,0,0,73,1,0,1,0,1,28,105,1,0,30,4,3992,11,0,5,13,2,0,0,8,22,5,0
KAZ,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,1,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,5,0,0,0,0,0,0,0,0,0,1
KEN,0,0,0,0,1,0,0,5,0,0,0,10,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,21,7,1,5,2,1,0,0,0,2,0,1,0,0,3,15,14,0,0,0,2,0,3,0,4,2,0,6,0,69,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,4,3,4,0,0,0,6,9,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,2,0,0,0,0,6,0,12,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,1,0,1,0,6,4,1,0,87,0,0,0,1,0,0,0,1,5,2,2
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KIR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,15,4,37,26,1,0,11,0,0,0,28,0,0,0,1,0,0,1,18,0,1,0,0,69,61,3,117,0,0,0,0,0,10,0,0,0,26,2,129,32,0,1,0,7,0,75,0,0,32,1,94,0,135,0,1,0,0,0,0,25,0,0,0,0,8,0,1,0,28,3,50,9,1,0,1,22,94,0,0,340,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,51,4,0,8,0,0,0,0,6,0,1,25,0,2,0,0,0,31,98,0,4,0,0,2,1,0,0,0,0,5,1,18,0,0,0,0,0,4,0,0,1,0,0,3,20,0,0,10,0,961,6,0,0,3,1,0,0,1,4,0,1
KWT,0,0,0,0,0,1,0,6,5,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,10,0,1,0,0,1,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,2,0,0
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
LBN,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,3,0,27,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LTU,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,4,2,3,6,0,14,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0
