,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
BDI,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BEL,0,0,0,0,10,56,40,330,310,2,8,0,28,10,6,98,0,0,4,18,0,0,0,196,0,0,2,0,0,598,630,48,202,12,26,14,2,24,0,0,6,28,0,0,202,2122,0,0,388,0,16,10,24,0,756,6,4,292,2,2720,0,0,2114,10,4,0,4,10,0,0,262,0,0,0,2,0,0,36,0,222,8,92,120,14,0,24,178,1162,0,6,362,2,66,4,0,0,38,8,2,20,0,0,0,0,2,0,22,76,8,72,10,14,0,0,84,0,8,4,0,0,0,2,0,0,2,0,18,0,2,0,14,2,1908,194,0,62,0,0,4,6,6,0,0,372,0,192,2,0,0,104,498,2,16,2,24,24,0,0,0,0,0,4,124,82,688,0,0,0,0,4,28,0,0,0,0,20,58,20,18,10,70,4,2832,4,0,4,54,0,0,28,136,20,16
BEN,0,0,0,0,0,0,0,0,2,0,2,28,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,0,0,8,18,0,0,0,2,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,6,2
BFA,0,0,0,0,0,2,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,6,4,2,0,10,2,0,0,2,2,0,0,2,0,0,0,12,0,0,2,2,0,2,0,0,2,0,0,0,0,64,0,0,18,0,8,0,8,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,6,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,4,2,0,0,10,0,0,2,0,0,0,0,2,2,0
BGD,0,0,0,0,2,0,0,12,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,18,4,10,0,2,0,0,4,0,0,0,0,0,0,0,36,0,0,0,0,0,0,4,0,0,0,0,2,0,4,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,6,2,0,0,2,0,0,0,96,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,22,0,0,0,0,0,14,2,4,2,2,4,0,2,6,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,24,0,0,2,0,0,12,0,0,0,2,0,0,4,2,0,0,0,120,0,0,0,2,0,0,0,0,4,0
BGR,0,0,0,0,0,8,4,36,38,2,0,98,0,0,0,0,0,0,4,4,0,0,0,28,0,0,0,0,0,16,78,0,40,0,0,0,0,2,0,0,0,2,0,30,78,452,0,0,36,0,2,0,0,0,120,4,0,34,0,252,0,0,164,2,0,0,0,0,0,0,92,0,0,0,0,0,0,8,0,74,0,54,8,0,0,0,30,198,0,0,70,0,0,0,0,0,32,0,0,0,0,2,0,0,0,0,2,2,0,2,0,4,0,0,16,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,90,10,0,4,0,0,0,0,0,0,0,72,0,16,0,0,0,72,130,0,4,0,0,0,0,0,0,0,0,0,20,2,54,0,0,0,0,0,0,0,0,0,0,0,34,36,0,0,28,0,306,0,0,0,2,0,0,8,4,0,0
BHR,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0
BLR,0,0,0,0,0,4,4,4,8,0,0,18,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,16,16,0,14,0,0,0,0,0,0,0,0,2,0,0,20,288,0,0,10,0,0,0,0,0,18,4,0,10,0,56,0,0,90,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,4,0,8,2,0,0,0,6,50,0,2,42,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,2,0,0,0,0,0,0,0,86,0,36,0,0,0,2,220,0,0,0,0,0,0,0,0,0,0,0,8,12,42,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,58,0,138,0,0,0,0,0,0,8,2,0,0
BLZ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,0,0,2,0,0,0,0,0,0,0
BOL,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,6,4,2,0,0,0,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,18,0,0,0,0,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,12,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,4,0,0,0,0,2,0,0
BRA,0,0,0,0,2,438,4,184,84,0,0,196,2,4,0,28,0,0,0,4,0,0,10,0,2,0,0,0,0,458,156,168,166,0,6,0,2,116,0,0,34,96,0,0,126,878,0,0,78,6,0,44,8,0,534,2,4,64,2,1048,0,0,1036,2,4,0,2,0,0,0,60,0,0,4,2,0,0,2,0,44,4,128,16,0,2,4,130,596,0,0,296,2,10,0,0,0,78,0,0,2,0,0,0,0,0,0,4,2,0,6,0,0,2,0,228,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,12,2,258,64,0,34,2,10,16,72,6,0,0,168,0,240,8,0,0,30,300,4,8,2,2,10,0,0,0,0,0,0,42,34,174,0,0,0,0,0,12,0,0,0,0,2,22,36,6,2,38,74,3250,6,0,80,0,0,2,34,36,4,0
BRB,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,2,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,10,0,2
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,0,14,188,18,1218,282,2,0,598,6,6,4,16,4,0,4,16,0,4,4,458,0,2,0,0,4,0,832,116,1024,2,2,0,0,28,2,0,22,20,0,4,208,2348,0,0,456,4,16,2,36,0,648,26,6,392,2,2332,0,0,3272,4,18,0,4,4,0,0,146,0,14,0,2,2,2,44,0,258,34,352,112,138,0,18,486,1130,20,28,1472,12,62,0,0,6,460,20,6,30,0,0,0,0,6,0,6,8,0,54,0,0,2,0,318,0,4,2,2,0,2,0,0,0,2,6,22,2,2,0,20,2,972,320,6,244,10,22,16,30,18,2,0,414,0,114,0,0,2,102,642,0,54,0,8,174,2,0,0,0,0,0,46,36,732,4,0,0,0,0,68,0,0,2,22,16,106,222,28,8,76,20,14950,6,0,48,12,0,0,24,178,8,12
CHE,0,0,0,0,2,68,52,450,624,0,0,630,6,4,18,78,0,0,0,16,0,0,6,156,0,0,0,0,0,832,0,46,222,10,14,2,0,26,0,2,4,20,0,42,244,4508,0,0,466,4,14,6,36,0,896,12,14,388,0,2676,0,0,2462,14,12,0,0,6,0,0,284,0,0,4,0,0,0,60,0,286,12,160,92,12,0,22,322,2058,4,6,670,0,48,0,0,0,152,2,0,4,0,0,0,6,16,2,6,16,4,10,2,2,4,0,94,0,4,2,2,2,0,0,0,0,2,4,4,0,0,0,12,0,1010,244,8,70,0,6,4,10,6,0,18,390,0,164,0,0,0,82,716,0,12,6,18,58,0,2,0,0,2,0,120,110,634,2,4,0,0,0,42,0,0,0,0,8,60,98,30,14,82,6,5210,0,0,10,12,0,0,16,134,20,16
