,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AUT,0,0,7,0,0,18,203,262,0,870,0,128,0,818,3,6,13,167,1,0,15,228,0,4,2,439,0,2,0,0,1,832,1517,207,648,4,9,5,0,0,243,0,0,5,26,0,114,689,4791,0,0,606,2,10,3,148,0,1222,140,11,423,0,1671,1,6,2386,240,7,0,0,0,0,1,525,0,0,6,0,0,0,251,0,604,19,264,206,179,2,54,343,1704,5,5,606,2,21,2,4,0,248,9,1,13,0,1,0,38,7,0,144,31,20,141,4,5,4,1,213,0,20,1,8,3,6,5,1,0,0,3,1,26,13,0,1,15,0,1149,411,7,191,5,197,4,21,20,0,1,669,2,417,2,0,15,0,356,541,0,51,2,3,81,0,1,0,0,0,335,0,1,315,319,849,0,0,0,8,1,0,99,0,1,0,0,18,407,0,310,10,19,177,5,3132,1,0,0,7,24,0,0,0,1,244,4,7
AZE,0,0,0,0,0,0,128,129,0,128,128,0,0,2,0,0,0,3,0,0,0,138,0,0,0,128,0,0,0,0,0,132,134,129,134,0,0,0,0,0,128,0,0,0,0,0,0,132,151,0,0,128,0,1,0,3,0,134,0,0,1,0,133,0,0,277,134,0,0,0,0,0,0,129,1,0,0,0,0,0,1,0,123,2,0,0,35,0,0,130,129,0,0,132,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,128,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,129,128,0,0,0,2,0,0,0,0,0,134,0,136,0,0,0,0,129,165,0,2,0,0,0,0,0,0,0,0,128,0,0,128,128,128,0,0,0,0,0,0,2,0,1,0,0,1,200,0,132,0,0,2,0,152,1,0,0,1,0,0,0,0,0,128,0,0
BDI,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BEL,0,2,2,0,0,11,132,114,0,915,818,2,7,0,43,28,16,214,0,0,12,114,0,2,9,501,13,0,0,2,3,1106,1394,155,727,13,60,88,4,0,156,1,0,10,55,0,125,440,3222,0,0,724,1,59,18,156,0,1796,165,50,412,0,3763,0,7,3612,107,12,0,3,23,0,0,542,0,3,1,5,0,1,195,1,417,9,321,209,227,5,39,263,2241,3,12,582,15,71,2,11,0,292,4,8,27,2,6,0,0,5,2,160,90,15,39,3,17,9,0,228,0,13,5,24,1,10,11,9,0,0,0,9,49,3,4,5,19,1,3145,373,16,267,1,117,5,35,21,0,0,712,0,544,1,1,14,0,251,447,25,66,3,32,95,0,0,0,0,1,185,0,2,70,106,928,1,0,1,8,3,1,77,0,0,0,3,68,315,0,190,48,47,186,9,4109,3,0,0,25,81,0,0,0,2,297,14,6
BEN,0,0,0,0,0,0,0,0,0,1,3,0,0,43,0,13,1,0,0,0,0,0,0,0,1,6,0,0,0,1,1,14,6,0,3,10,5,3,4,0,1,0,0,0,0,0,0,0,12,0,0,3,0,2,0,1,0,3,0,0,1,0,101,0,2,24,0,11,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,1,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,11,0,0,0,0,0,1,0,0,1,0,1,0,6,8,0,22,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,2,0,1,1,0,15,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,9,1,0,0,0,0,2,1,0,0,4,2,0,0,27,0,0,0,0,0,0,0,0,0,10,1,1
BFA,0,0,0,0,0,2,2,0,0,10,6,0,0,28,13,0,2,3,0,0,0,0,0,0,0,3,0,0,0,0,1,15,33,3,6,20,14,7,3,0,2,0,0,0,0,0,1,2,29,0,0,13,0,2,0,1,0,8,0,4,8,0,117,0,9,55,2,19,0,2,2,0,0,3,0,0,0,0,0,0,0,0,2,3,4,3,1,0,0,2,14,0,0,5,0,16,2,3,1,7,0,0,5,0,0,0,0,1,0,2,2,0,5,0,0,8,0,4,0,1,22,0,0,0,0,2,2,0,0,6,1,1,0,10,9,0,14,13,0,0,0,2,0,1,2,0,1,2,0,2,0,0,0,0,3,2,1,1,0,26,2,0,1,0,0,0,0,0,0,0,3,17,0,0,0,2,0,5,10,0,0,0,0,5,3,0,1,7,10,0,0,61,0,0,0,3,4,0,0,0,0,13,3,0
BGD,0,0,0,0,0,3,4,0,0,91,13,0,0,16,1,2,0,2,0,0,0,0,0,0,1,10,0,1,0,0,0,81,24,5,40,2,1,2,2,0,2,0,0,0,1,0,1,2,57,0,0,13,0,3,1,11,0,13,1,2,6,2,24,0,0,142,3,4,1,2,5,0,0,3,0,0,0,0,0,0,0,1,2,17,57,5,10,0,1,5,27,0,0,272,0,11,2,7,0,107,6,0,2,0,1,0,0,3,0,2,0,0,2,0,0,2,0,8,0,2,3,0,0,0,2,2,0,0,1,0,164,0,0,2,4,0,44,18,9,9,2,34,1,3,7,0,1,5,0,6,0,1,1,0,6,5,0,30,2,3,11,0,0,0,0,0,1,0,0,0,2,46,0,0,0,4,0,0,31,0,0,0,0,2,11,0,6,4,5,0,0,286,0,0,0,3,14,0,0,0,1,14,2,1
BGR,0,0,9,0,0,3,17,111,0,98,167,3,0,214,0,3,2,0,0,0,6,98,0,0,0,135,0,0,0,0,1,47,203,14,131,2,0,3,1,0,99,0,0,2,1,0,100,202,498,0,0,37,2,14,1,110,0,283,111,1,144,1,301,0,1,317,103,2,0,0,0,0,0,183,1,0,0,0,0,0,152,0,182,2,130,18,111,3,6,27,308,0,1,71,2,0,2,1,0,113,1,0,7,0,0,0,1,2,0,122,2,15,4,0,5,2,1,137,0,33,0,8,1,11,9,1,0,0,0,0,4,1,0,0,3,0,112,27,0,103,1,102,2,3,3,0,0,266,0,139,1,0,2,0,162,208,0,30,2,1,7,0,0,1,0,0,172,0,0,49,32,73,0,0,0,5,0,0,16,0,0,0,0,7,164,0,100,2,1,126,1,325,3,0,0,7,5,0,0,1,0,25,0,0
BHR,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,12,0,1,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4,2,2,0,0,2,0,0,1,0,1,0,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,6,1,0,0,21,4,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,37,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,9,2,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,18,0,0,0
BHS,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,3,0,0,2,1,1,0,1,15,0,0,12,0,0,0,6,0,0,0,3,0,0,0,2,0,0,0,0,0,9,13,0,2,0,0,0,0,0,0,0,0,1,0,0,0,11,32,0,0,8,0,1,0,1,0,8,3,0,6,0,9,0,0,21,0,1,0,0,0,0,0,5,0,0,0,0,0,0,82,0,9,1,0,4,2,0,0,5,20,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,2,0,0,3,0,1,2,0,12,0,2,1,5,0,0,0,0,0,0,2,0,0,0,1,0,14,8,0,1,1,3,1,1,1,0,0,13,0,4,1,0,1,0,9,8,0,1,1,0,1,0,0,0,0,0,161,0,0,6,33,9,0,0,0,2,0,0,3,0,0,0,0,1,18,0,2,2,1,2,0,32,0,0,0,0,0,0,0,2,0,1,0,0
BLR,0,0,0,0,0,1,131,226,0,199,228,138,0,114,0,0,0,98,0,0,3,0,0,0,0,236,0,0,0,0,0,152,242,128,240,0,0,0,0,0,223,0,0,1,0,0,95,237,351,0,0,142,1,2,1,96,0,240,103,0,113,0,270,0,0,407,224,0,0,0,0,0,0,227,0,0,0,0,0,0,98,0,222,1,103,10,100,0,1,134,277,0,3,145,2,0,0,0,0,109,1,0,0,0,0,0,0,1,0,125,1,9,128,0,7,0,0,136,0,1,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,144,138,0,95,1,95,0,1,0,0,0,309,0,238,1,0,2,0,187,467,0,16,1,0,10,0,0,0,0,0,225,0,0,135,135,161,0,0,0,1,0,0,17,0,0,0,0,2,232,0,235,1,0,132,0,292,5,0,0,1,4,0,0,0,0,132,0,0
BLZ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,1,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,28,0,0,0,0,0,0,0,0,0,1,0,0
BOL,0,0,0,0,0,0,27,0,0,13,2,0,0,9,1,0,1,0,0,0,0,0,0,0,0,35,0,1,0,0,1,16,11,21,7,1,4,1,0,0,22,0,0,3,2,0,0,4,22,0,0,7,3,0,17,0,0,34,0,0,5,0,29,0,3,36,1,5,0,0,0,0,0,2,1,1,5,0,1,4,0,0,1,2,4,3,3,0,0,3,17,1,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,14,0,0,1,0,0,0,0,3,0,0,0,1,3,0,0,0,2,1,20,3,5,4,0,2,10,29,1,0,1,3,0,1,7,0,0,0,0,5,0,3,2,0,4,0,1,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6,0,5,0,11,73,0,0,0,15,2,0,0,0,0,4,1,0
BRA,0,8,1,0,0,13,824,260,1,828,439,128,0,501,6,3,10,135,5,1,2,236,1,1,35,0,1,2,0,3,2,1122,778,477,703,7,10,6,5,0,543,0,0,46,154,0,102,446,1682,0,0,351,8,11,88,148,0,1575,109,6,240,3,1887,0,5,2179,230,12,0,1,2,2,0,363,0,4,14,14,1,4,173,1,327,25,432,171,152,4,11,258,1241,3,5,498,2,26,2,4,2,330,7,3,26,0,4,0,1,8,0,109,12,8,145,0,1,5,0,504,0,7,2,2,1,1,0,14,1,0,2,6,59,1,3,1,29,7,793,287,9,184,3,136,42,158,33,0,2,523,0,1026,30,1,14,0,328,575,0,54,5,12,81,0,1,7,0,0,275,0,4,179,177,519,0,0,0,4,0,0,75,0,0,0,3,19,345,0,312,5,11,204,133,5134,4,5,0,90,71,0,0,0,1,317,1,6
BRB,0,0,0,0,0,0,1,0,0,12,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,18,14,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,1,1,0,1,1,0,0,0,0,0,1,4,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,2,0,0,2,12,7,0,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,3,1,0,13,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0
BRN,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,1,1,0,0,0,1,0,0,0
BTN,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
