,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
CUW,2,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,1,0,0,0,1,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,10,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CYP,0,1,0,0,14,0,0,45,25,64,0,193,158,9,0,176,5,0,3,15,97,2,1,15,64,0,1,1,109,3,3,0,1,0,139,197,28,214,1,2,4,1,0,80,0,1,6,0,0,1,0,113,388,0,0,93,1,18,64,113,0,307,89,10,161,1,1,285,0,0,0,684,72,0,6,1,0,4,0,0,751,0,0,2,0,0,1,0,2,120,0,104,15,0,127,1,128,145,11,16,81,394,0,0,21,58,12,12,3,0,0,0,94,61,0,51,1,4,0,0,60,1,92,17,75,0,10,3,3,1,0,71,0,22,3,22,2,67,3,0,1,0,2,1,90,0,0,0,23,0,176,89,7,0,75,10,107,7,12,10,0,0,176,0,0,187,0,11,0,58,0,95,155,0,91,3,3,24,3,0,0,2,1,1,0,116,1,0,0,22,53,140,1,0,1,4,1,1,0,79,1,0,0,0,0,14,297,0,76,5,6,67,3,487,56,0,0,0,0,0,0,8,0,1,4,5,70,0,1
CZE,0,2,2,0,25,2,1,102,194,125,0,795,1175,87,5,859,10,0,7,45,252,6,1,53,134,0,0,10,523,2,14,2,15,5,816,980,242,1246,8,32,13,4,0,201,0,0,13,36,2,0,113,2,2622,0,0,586,13,53,88,228,0,1457,201,50,557,1,0,1556,2,2,7,2110,136,1,27,1,1,12,0,0,519,1,1,7,5,0,1,0,3,362,1,570,92,0,866,0,300,430,82,54,339,1820,2,0,121,676,70,38,10,5,1,0,396,104,2,55,2,9,0,1,76,1,226,47,143,0,87,3,16,8,1,248,0,54,3,28,3,76,18,6,1,0,2,2,238,10,1,2,56,2,988,464,27,0,200,30,332,31,75,62,0,19,1576,0,0,574,7,37,0,87,0,385,943,6,379,7,6,133,1,1,0,1,1,2,0,325,1,0,3,1125,338,842,0,0,1,5,0,1,1,179,1,0,1,0,2,39,558,0,385,10,13,342,26,2439,72,0,0,0,19,0,0,110,0,0,9,7,311,9,6
DEU,0,17,16,0,44,5,1,481,1010,202,0,5751,6904,121,8,4945,60,0,51,219,512,34,12,87,211,2,7,40,3243,9,22,8,49,3,6161,10181,1419,10916,49,180,50,62,0,646,0,5,96,94,5,0,388,2622,34,2,0,4013,12,161,216,1261,0,8588,460,283,2419,15,3,11244,6,4,84,18713,290,1,222,8,14,32,4,1,2236,5,20,28,8,0,12,0,12,794,4,1577,390,0,3096,0,1543,1650,211,237,2062,11366,14,1,277,4564,152,327,42,23,0,3,2125,141,18,160,10,36,0,44,138,2,434,453,303,0,235,37,69,62,1,1104,0,117,26,133,37,85,96,54,5,1,20,39,491,61,20,11,356,5,9379,2612,124,0,880,114,829,94,265,242,1,16,3937,0,4,2345,24,76,2,256,0,1073,3445,53,1104,72,55,991,1,0,1,35,14,1,0,707,2,2,6,553,792,5369,11,0,9,33,0,4,16,596,9,1,4,1,13,225,1820,0,1129,175,157,755,116,24897,117,0,12,1,45,0,0,391,7,1,31,25,1559,64,55
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,1,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,2,6,0,17,3,0,150,289,51,0,1939,919,85,4,1328,18,0,11,71,132,5,3,36,59,1,1,10,764,5,7,4,18,2,1686,1716,368,2633,9,25,10,23,1,189,0,2,19,41,0,0,93,586,4013,0,2,0,7,20,39,146,0,2289,169,58,1043,5,2,2324,41,2,10,5553,74,1,64,0,0,11,37,0,602,1,90,9,4,0,4,0,2,224,2,328,99,0,637,0,513,441,31,232,482,2466,4,0,26,875,38,83,10,12,0,9,495,35,9,47,3,17,0,3,36,0,153,114,75,0,72,10,8,14,0,240,0,35,9,63,11,9,13,20,3,0,11,12,163,12,1,5,63,4,2497,1777,32,0,314,25,175,29,74,92,0,8,811,0,0,758,9,38,0,85,0,299,473,11,233,13,24,306,1,1,0,3,1,1,0,186,2,0,1,171,267,2763,1,0,4,4,0,2,4,155,9,1,2,0,4,22,482,0,251,78,44,120,40,5393,9,0,1,0,17,1,0,68,0,3,7,7,431,18,20
DOM,0,0,1,0,1,0,0,1,31,2,0,17,7,2,2,13,2,0,1,4,5,1,0,1,1,0,1,8,27,1,0,1,2,1,22,15,33,14,2,4,2,1,0,34,0,0,19,17,0,0,1,13,12,0,0,7,0,0,22,10,0,67,2,3,4,0,0,19,0,0,2,31,2,0,4,0,0,0,0,0,4,0,0,20,0,0,0,0,11,3,9,5,4,0,19,0,5,3,1,1,9,21,3,0,4,4,2,2,2,1,0,2,4,0,2,4,0,2,1,0,3,0,3,1,2,0,4,0,0,2,0,43,0,2,1,0,1,0,4,4,1,0,1,2,7,0,0,0,5,7,13,6,2,0,8,1,6,17,24,6,0,2,7,0,0,12,12,1,0,5,0,4,5,3,3,2,1,7,0,0,0,0,12,0,0,4,1,0,0,4,4,9,0,0,0,1,0,1,1,4,0,0,1,0,1,2,8,0,9,2,2,2,13,118,2,0,0,0,13,0,0,3,0,0,0,2,6,3,0
DZA,0,5,1,0,8,1,0,148,17,3,0,74,21,2,1,95,6,0,4,30,14,12,0,6,2,0,0,1,55,1,4,0,6,1,178,42,21,226,6,12,12,0,0,16,0,0,0,0,0,0,18,53,161,3,0,20,0,0,6,309,0,277,8,27,31,1,0,975,0,0,5,235,7,0,17,0,1,3,0,0,50,0,0,2,0,0,1,0,0,25,1,13,29,0,250,0,21,140,84,4,16,236,0,0,91,43,9,29,2,1,0,3,133,35,0,35,0,20,0,0,7,0,4,4,6,0,116,0,0,1,0,41,0,9,9,9,2,6,6,1,4,0,8,1,113,3,2,5,49,0,35,25,12,0,17,19,153,3,12,9,0,0,86,0,0,118,1,22,0,39,0,67,65,6,660,32,7,25,0,0,0,8,0,0,2,32,0,0,0,12,15,44,0,1,1,21,0,1,0,49,3,0,0,0,1,225,249,0,56,5,15,15,5,218,2,0,0,0,3,0,0,54,0,0,11,22,67,6,4
ECU,0,2,2,0,8,1,0,21,183,62,0,153,94,4,2,146,2,0,4,27,66,1,1,3,64,0,2,42,351,1,2,0,2,1,119,118,277,218,2,11,5,3,1,289,0,0,74,45,0,0,64,88,216,0,0,39,22,6,0,80,0,786,64,11,79,2,0,206,0,0,1,305,60,0,8,0,0,1,0,0,75,1,0,39,4,0,4,0,25,72,10,72,22,0,178,0,81,88,18,3,16,188,3,0,10,50,20,18,3,1,0,0,83,55,1,11,0,3,1,0,67,0,61,0,59,0,18,0,0,6,0,272,0,4,4,0,3,57,4,3,2,1,4,3,80,2,1,0,15,11,90,43,12,0,86,4,137,47,173,22,0,1,94,0,0,147,42,1,0,57,0,73,84,5,52,4,4,15,2,0,0,1,21,0,0,74,0,0,3,11,11,45,1,0,3,2,0,2,1,77,0,0,1,0,1,6,109,0,69,9,18,65,56,586,60,0,0,0,135,0,0,8,2,0,2,5,39,4,2
EGY,0,48,1,1,11,0,1,988,91,76,3,744,257,22,4,333,11,0,10,323,138,103,1,18,92,0,0,8,351,5,23,2,25,3,824,339,115,2989,9,55,20,16,0,166,0,1,0,5,0,0,113,228,1261,1,0,146,10,309,80,2,2,654,105,139,243,2,0,573,4,3,8,1741,84,0,85,0,4,11,1,0,317,2,0,9,0,0,4,0,3,145,1,233,183,0,2128,0,209,503,599,6,94,933,3,0,507,851,68,121,14,7,1,4,721,299,3,240,3,104,0,0,94,0,92,12,73,1,224,1,2,4,1,264,0,21,16,19,9,70,12,10,3,0,10,23,789,12,2,5,326,2,260,121,88,0,114,238,2018,11,55,72,0,3,469,0,0,243,11,102,0,243,0,286,753,24,10379,203,18,131,0,0,1,11,1,0,11,154,1,1,0,96,52,305,1,7,2,76,0,3,6,352,1,0,1,0,3,358,870,0,395,23,50,108,19,2725,103,0,0,1,10,0,0,157,1,0,16,318,332,25,16
ERI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,0,0,5,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,1,5,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,1,0,0,0,0,0,0,1,1,0,0,4,0,1,1
ESP,0,8,51,0,41,25,1,325,1411,104,2,3339,1990,68,5,3276,25,0,25,154,388,19,5,55,132,1,2,44,2995,5,17,2,21,3,3406,3636,2103,3980,28,42,20,11,1,1305,0,19,157,102,1,3,307,1457,8588,0,0,2289,67,277,786,654,2,6,348,98,1401,12,3,7813,9,3,19,11266,174,1,62,8,5,23,4,3,1661,12,3,48,13,0,8,0,27,573,6,863,134,0,1816,1,1247,1083,99,159,1119,9445,9,0,151,2082,89,117,15,15,0,2,1277,138,9,191,6,28,0,3,90,2,353,182,210,0,406,37,21,22,0,1908,0,92,18,99,7,78,11,104,7,0,15,19,400,12,11,4,183,16,4556,1554,69,0,568,65,667,95,360,158,0,22,2385,1,0,3865,74,67,0,171,1,843,1429,21,1068,35,36,574,4,0,0,9,16,1,0,550,1,3,6,322,550,2851,3,1,9,17,2,2,5,312,3,0,1,1,4,340,1378,0,685,49,58,336,230,12055,74,1,9,0,136,1,0,194,2,3,18,20,823,20,19
EST,0,1,1,0,11,2,0,24,36,74,0,264,225,8,4,237,5,0,1,15,106,5,1,20,73,0,0,3,160,0,4,2,7,1,191,250,40,297,4,8,4,0,0,89,0,0,7,2,0,0,89,201,460,0,0,169,2,8,64,105,0,348,0,16,418,0,0,315,0,1,8,577,74,1,11,0,0,5,0,0,175,0,1,4,3,0,0,0,1,126,1,138,25,0,194,0,121,129,13,48,63,345,2,0,10,108,22,13,7,3,0,0,117,61,1,10,2,6,0,0,76,0,157,18,192,0,11,0,5,1,0,122,0,23,1,14,0,61,7,4,1,0,2,1,83,3,2,1,17,1,228,200,12,0,99,7,129,8,13,11,0,6,260,0,0,190,2,0,0,62,0,98,219,2,84,2,3,37,0,0,0,0,1,1,0,112,0,1,1,44,60,349,0,0,0,1,0,1,1,79,2,0,1,0,2,19,146,0,100,5,9,117,5,432,56,0,0,0,7,0,0,35,0,0,2,4,51,2,3
ETH,0,4,4,0,5,0,0,55,27,9,0,318,50,10,8,151,18,0,16,61,18,12,0,4,8,0,0,6,84,2,6,1,67,3,188,115,31,384,25,40,34,13,0,51,0,0,6,2,0,0,10,50,283,1,0,58,3,27,11,139,3,98,16,0,50,2,0,117,1,3,5,517,15,0,98,0,7,21,1,0,19,0,0,9,0,0,5,0,3,27,6,32,49,0,1708,0,42,65,73,9,24,120,3,0,34,85,24,192,11,8,1,0,190,17,3,16,8,17,0,0,28,8,5,4,4,0,43,1,0,5,0,58,0,4,24,1,9,1,12,25,3,0,8,43,123,14,0,9,161,1,149,114,41,0,34,47,184,11,40,35,0,5,75,0,0,43,3,6,0,27,0,25,50,46,496,31,20,39,0,0,1,20,2,0,7,28,10,1,0,14,10,130,12,0,3,10,0,4,4,60,2,0,2,0,2,29,64,0,81,81,91,11,5,695,10,0,0,0,4,0,0,58,1,0,1,9,273,45,27
FIN,0,3,9,0,15,2,1,104,123,113,0,1014,662,44,5,896,10,0,8,78,169,14,1,23,94,0,1,6,498,3,7,1,19,1,992,991,224,1916,6,14,9,4,0,155,0,0,18,39,0,0,161,557,2419,0,0,1043,4,31,79,243,1,1401,418,50,0,0,0,1431,4,3,4,2894,79,1,40,0,1,11,1,0,503,0,10,9,1,0,4,0,3,249,1,371,103,0,582,0,393,444,34,172,242,1581,7,0,44,614,45,53,14,8,0,0,392,85,1,38,1,22,0,6,90,1,231,62,153,0,58,6,8,12,2,254,0,32,4,17,5,65,8,7,2,0,3,11,203,15,2,2,82,2,1374,1089,30,0,240,23,229,15,66,30,0,6,759,0,0,623,7,10,0,128,0,256,722,9,294,8,11,233,0,0,0,2,4,1,1,176,1,3,5,128,155,2206,0,0,5,10,0,2,1,155,0,0,1,0,4,47,383,0,208,16,22,177,20,2808,66,0,0,0,12,0,0,68,0,1,7,17,310,8,7
FJI,0,0,0,0,0,0,0,3,1,0,0,100,3,0,0,8,0,0,0,5,1,0,1,0,0,1,0,2,5,7,0,0,0,0,10,6,0,21,1,0,0,0,0,2,0,0,0,0,0,0,1,1,15,0,0,5,0,1,2,2,0,12,0,2,0,0,0,20,0,2,0,47,0,0,3,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,6,0,31,0,3,8,3,0,0,19,1,0,0,12,0,6,0,0,2,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,1,0,0,1,0,1,0,0,0,0,0,1,7,2,7,1,9,0,6,9,1,1,15,1,4,0,2,9,2,9,2,0,0,4,0,0,0,2,0,1,3,3,9,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,3,0,0,0,12,3,1,3,2,4,1,3,1,1,43,0,0,0,0,0,0,0,2,3,4,0,0,10,2,1
FLK,0,0,0,0,0,0,0,0,3,0,0,9,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,33,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,7,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0
FRA,1,8,9,0,27,6,1,492,886,181,0,3969,2398,98,15,5148,114,0,145,113,369,24,4,52,173,0,1,44,2609,9,20,4,30,23,5538,5889,1093,6155,197,251,90,65,1,597,3,5,76,73,2,2,285,1556,11244,9,1,2324,19,975,206,573,5,7813,315,117,1431,20,3,4,4,3,61,12918,191,1,119,3,30,31,3,0,1689,3,9,15,73,0,7,0,9,579,25,949,267,0,2019,0,1264,811,90,147,1332,9779,8,0,131,3252,113,221,15,69,0,5,1454,157,30,671,11,37,2,7,110,7,316,335,195,0,1129,105,25,127,3,1048,1,77,69,96,22,82,23,48,21,2,30,42,422,26,95,51,208,9,5206,1744,71,0,703,102,501,53,250,176,0,21,2509,0,2,1990,26,74,2,251,4,964,2098,38,991,52,248,799,1,0,0,19,3,1,3,467,3,6,13,331,589,3050,6,1,14,37,1,10,40,514,1,1,2,0,16,1199,1206,0,762,60,107,461,109,15697,73,0,6,1,50,0,0,511,4,2,11,18,1124,39,47
FRO,0,0,0,0,0,0,0,1,1,0,0,6,2,0,0,2,1,0,0,3,0,0,0,1,0,0,0,1,3,0,0,0,1,0,8,2,0,8,0,1,0,0,0,3,0,1,0,0,0,0,0,2,6,0,0,41,0,0,0,4,0,9,0,1,4,0,0,4,0,1,0,18,2,0,1,0,0,2,0,0,2,0,3,1,0,0,0,0,0,1,0,1,1,0,6,0,3,4,1,11,1,4,0,0,1,3,0,1,1,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,2,24,1,0,1,1,10,0,0,1,0,0,2,0,0,4,0,0,0,1,0,1,4,0,6,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,14,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
FSM,0,0,0,0,0,0,0,3,2,0,0,8,0,1,0,2,1,0,0,3,0,2,0,0,0,0,0,1,3,0,1,0,2,0,5,4,0,3,0,1,0,0,0,3,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,3,0,3,1,3,3,2,0,3,1,0,0,11,1,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,0,2,3,0,3,0,1,3,2,0,2,3,0,0,3,5,2,1,2,1,0,0,3,2,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,3,0,3,3,3,0,1,2,3,1,1,2,2,1,3,0,0,3,0,0,0,3,0,3,3,0,3,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,1,3,0,1,2,1,11,1,0,0,0,0,0,0,3,0,1,0,1,2,0,0
GAB,0,2,2,0,1,0,0,2,7,1,0,14,14,1,5,17,23,0,17,3,3,0,0,0,2,0,0,2,15,0,2,1,2,6,53,16,6,20,12,29,11,22,0,7,0,0,1,1,0,0,0,7,84,0,0,10,2,5,1,8,0,19,8,5,4,0,1,61,0,0,0,75,2,0,10,0,3,2,2,2,0,0,0,1,4,0,0,0,1,1,1,2,7,0,16,0,4,5,1,0,1,15,1,0,1,11,1,13,1,1,0,0,26,0,3,3,3,2,0,1,1,0,3,0,2,0,7,0,1,1,0,7,0,1,7,0,2,0,3,10,3,0,1,6,6,1,1,4,9,1,45,6,2,0,7,0,27,7,6,2,0,2,6,0,0,7,1,0,0,0,0,6,7,5,24,4,12,3,0,0,0,14,1,0,0,3,0,0,1,5,2,7,0,0,0,0,0,2,3,3,0,0,1,0,0,34,3,0,4,12,10,2,1,56,2,0,0,0,2,0,0,11,0,0,0,1,70,3,0
GBR,3,60,20,2,60,13,2,1334,1298,198,4,13281,3852,159,12,6357,95,0,125,696,532,114,23,96,218,8,21,71,4567,50,88,17,155,6,10520,8866,1876,20309,93,257,119,104,4,1060,0,18,122,76,4,10,684,2110,18713,2,1,5553,31,235,305,1741,1,11266,577,517,2894,47,33,12918,18,11,75,25758,300,4,623,20,29,171,19,1,3389,24,25,65,23,2,20,0,22,804,17,1571,808,1,5646,2,4269,1913,586,342,2180,14651,69,3,450,4948,215,1011,56,90,1,10,2729,337,72,352,29,119,1,11,398,6,475,374,285,2,331,49,35,96,11,1569,0,148,97,275,68,98,96,150,12,7,57,357,1885,89,20,19,1184,14,11554,3909,305,1,2234,256,2009,165,504,532,5,45,3663,0,0,3353,48,171,1,716,0,1251,2641,145,3008,177,123,2485,14,2,2,95,12,2,12,780,16,5,17,488,832,6981,24,8,50,68,5,17,21,1358,10,2,8,3,66,241,2446,0,1670,453,636,620,164,34202,98,1,13,3,76,3,0,640,9,9,50,73,3764,254,234
GEO,0,0,1,0,11,1,0,43,53,95,0,140,137,52,2,111,6,0,5,15,115,1,0,12,115,0,0,4,140,0,1,2,3,1,94,168,55,194,2,7,2,1,0,119,0,1,3,1,0,0,72,136,290,0,0,74,2,7,60,84,0,174,74,15,79,0,0,191,2,1,2,300,0,0,6,0,0,3,0,0,136,0,0,4,1,0,0,0,3,87,5,119,13,0,119,0,80,120,7,7,68,231,5,0,8,82,26,11,15,3,0,0,90,60,1,11,1,4,0,0,63,4,83,4,72,0,52,3,14,6,0,84,0,10,2,3,4,57,5,6,1,0,1,2,82,0,0,2,14,1,99,73,9,0,72,9,98,3,15,39,0,2,177,0,0,143,7,32,0,56,0,94,199,3,29,4,6,20,0,0,0,2,2,1,0,123,2,0,0,61,61,95,1,0,2,0,0,1,2,73,4,0,2,0,1,6,170,0,113,6,11,118,4,398,62,0,0,0,4,0,0,9,0,0,2,1,91,1,3
GGY,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GHA,0,5,2,1,4,0,0,36,32,9,0,278,30,6,7,59,64,0,57,56,7,13,0,1,4,0,0,9,85,8,6,2,30,2,183,137,22,477,34,70,38,29,0,43,0,3,5,1,0,0,6,27,222,0,0,64,4,17,8,85,1,62,11,98,40,3,0,119,1,3,10,623,6,0,0,0,11,29,4,0,17,0,0,11,2,0,4,0,4,16,6,27,42,0,283,0,26,44,25,4,15,78,8,0,22,86,11,187,9,9,1,0,81,13,5,12,15,14,0,0,28,2,4,8,4,0,36,1,0,8,0,57,0,7,42,2,7,0,8,20,4,0,12,58,65,20,2,14,285,2,144,56,34,0,43,22,153,10,28,40,1,4,25,0,0,36,3,4,0,21,0,24,43,38,161,21,44,40,0,0,1,31,3,0,2,15,7,1,1,3,8,59,3,0,1,8,0,5,19,51,1,0,1,0,2,19,44,0,34,84,78,11,7,723,13,0,0,1,3,0,0,45,1,0,2,13,359,63,39
