,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
TGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2
THA,0,0,0,0,0,0,10,0,0,198,46,0,0,20,2,0,14,0,0,0,0,0,0,0,0,26,0,2,0,0,0,82,44,4,154,2,2,0,0,0,12,0,4,4,0,2,2,82,0,0,50,0,0,0,6,0,28,0,0,10,0,82,0,0,298,0,2,0,0,0,0,8,0,0,2,0,0,0,0,0,6,36,40,0,0,0,2,14,24,0,2,542,0,18,0,6,0,28,0,4,0,0,0,0,0,8,0,0,2,0,4,0,0,2,0,14,0,6,0,0,8,0,0,0,0,0,2,98,0,2,0,2,0,54,8,8,18,0,10,2,6,38,0,0,4,20,0,0,0,0,6,0,6,0,2,32,0,0,0,0,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,4,2,10,48,2,8,0,0,770,2,0,0,4,30,0,0,2,0,20,0,6
TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTO,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,4,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0,2,0,10,0,0,48,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6,0,0,4,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,64,2,0,2,4,0,0,0,0,0,2,0,0
TUN,0,0,0,0,0,0,2,0,0,4,4,0,0,34,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,22,14,0,0,2,2,0,0,0,0,0,0,0,0,2,4,40,0,0,0,0,10,0,6,0,8,0,0,2,0,604,0,2,30,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,2,34,0,0,16,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,22,2,0,2,0,0,0,2,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,4,2,0,2,0,0,0,2,2,0,0,2,12,0,0,2,2,4,0,8,0,4,2,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,44,0,0,0,2,6,0,0,2,0,0,0,0
TUR,0,0,2,0,0,6,10,0,0,56,42,80,0,80,0,0,4,30,2,0,2,2,0,0,0,20,0,0,0,0,0,120,82,6,28,0,0,0,0,0,2,0,0,0,0,10,28,370,0,0,44,0,4,0,8,0,88,0,0,52,0,234,0,0,644,2,0,0,0,0,0,26,0,0,0,0,0,0,8,0,32,2,14,18,6,0,2,112,210,0,6,202,4,0,0,0,0,36,4,0,4,0,0,0,0,2,0,2,2,6,4,4,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,110,12,0,4,4,16,0,0,8,0,0,40,26,0,0,2,40,94,0,28,0,0,2,0,0,0,0,0,0,0,14,6,64,0,0,4,0,0,10,0,6,0,0,2,0,12,2,0,94,4,1332,6,0,0,4,2,0,0,0,8,16,0,0
TWN,0,0,0,0,0,0,2,6,0,250,72,0,0,22,0,0,4,36,0,0,0,2,0,0,0,28,0,0,0,0,0,362,214,4,752,0,0,0,0,0,2,0,0,2,0,34,24,348,0,0,24,0,0,0,10,0,110,0,0,20,0,162,0,0,338,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,54,8,294,12,22,0,0,48,138,0,0,566,0,0,0,0,0,300,8,0,0,0,0,0,0,2,0,8,0,0,4,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,4,0,66,6,2,26,0,2,0,0,12,0,0,128,8,0,0,0,48,266,0,4,0,0,102,0,0,0,0,2,0,0,2,68,52,0,0,2,0,0,48,0,0,0,0,2,12,0,0,0,38,0,2678,4,0,0,4,10,0,0,0,4,22,0,0
TZA,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,42,0,0,0,6,0,0,0,0,0,0,0,0,0,0,16,0,0,42,0,0,0,2,0,10,0,0,6,0,4,0,0,124,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,20,0,34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,10,0,22,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,2,0,0,0,0,0,2,0,0,10,0,0,78,0,0,0,0,0,0,0,0,0,8,4,6
UGA,0,0,0,0,0,0,2,0,0,2,0,0,0,8,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,16,18,0,0,0,4,2,2,0,2,0,0,0,0,4,0,12,0,0,6,0,0,0,2,0,2,0,2,0,0,10,0,0,92,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,2,2,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,14,0,14,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,2,0,0,0,10,0,0,0,98,2,0,0,0,0,0,0,0,0,10,2,4
UKR,0,0,0,0,0,2,14,8,0,48,86,2,0,82,0,0,0,22,0,0,0,32,0,0,0,62,0,2,0,0,0,68,80,22,32,0,0,0,0,0,6,0,4,6,0,0,82,856,0,0,56,0,2,0,2,0,126,10,0,44,0,290,0,0,244,4,0,0,0,0,0,58,0,0,0,0,0,0,14,0,38,0,22,4,4,0,0,108,160,0,0,180,4,0,0,0,0,68,0,0,0,0,0,0,0,0,0,12,0,26,0,0,16,0,0,78,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,94,20,0,8,2,2,0,6,0,0,0,474,24,0,0,0,16,632,0,0,0,0,8,0,0,0,0,0,0,0,46,8,136,0,0,0,0,0,0,2,0,0,0,0,94,38,0,0,0,2,670,6,0,0,2,4,0,0,0,2,18,0,0
URY,0,0,0,0,0,0,84,0,0,2,8,0,0,12,0,0,0,0,0,0,0,0,0,0,6,86,0,0,0,0,0,4,2,28,2,0,0,0,0,0,6,0,4,4,0,0,0,30,0,0,2,0,0,4,0,0,64,0,0,0,0,56,0,0,40,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,10,0,0,0,10,18,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,2,6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,138,0,0,0,4,0,0,0,0,0,2,0,0
USA,0,2,4,0,4,114,1388,102,0,6640,2158,14,0,3212,14,22,132,314,6,10,12,138,10,24,76,3736,26,16,0,30,12,16212,5724,1042,7042,44,48,0,4,0,366,0,202,38,2,94,1032,19536,0,0,2764,24,28,106,540,8,5184,102,56,2128,18,11680,2,16,19454,96,76,2,14,2,0,1366,2,2,86,6,6,36,254,30,1432,172,2534,760,250,4,146,4696,9640,74,112,13888,58,304,12,22,4,5066,142,8,148,4,2,0,4,44,0,124,24,56,110,10,38,34,0,2260,2,8,30,4,8,18,2,2,4,4,62,136,4,4,8,132,22,6122,1592,84,1346,34,166,142,240,204,4,32,2548,890,10,6,6,448,4682,12,248,20,40,1016,0,4,10,0,6,2,4,348,380,4718,2,4,26,8,4,770,0,0,0,64,44,1332,2678,78,98,670,138,0,48,6,2,432,102,0,4,2,158,1096,48,102
UZB,0,0,0,0,0,0,4,0,0,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,2,2,14,0,0,0,0,0,0,0,0,0,0,0,2,52,0,0,2,0,0,0,0,0,8,0,0,2,0,10,0,0,16,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,8,12,0,0,22,2,0,2,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,2,0,0,0,2,78,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,6,4,0,2,6,0,48,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
VCT,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
VEN,0,0,0,0,0,0,48,0,0,10,8,0,0,14,0,0,0,0,0,0,0,0,0,0,2,68,0,0,0,0,2,56,8,28,12,0,4,0,0,0,36,0,8,6,0,0,0,48,0,0,6,4,0,4,0,0,166,2,0,2,0,146,0,0,90,0,0,0,0,0,0,2,0,0,2,0,0,2,0,4,8,2,4,2,0,0,0,10,58,2,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,14,0,0,0,4,6,2,0,0,4,6,0,2,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,4,0,0,0,4,2,4,4,0,0,2,4,432,0,0,0,0,2,0,0,0,2,2,0,0
VNM,0,0,0,0,0,0,4,0,0,52,8,0,0,42,0,0,10,6,0,0,2,0,0,0,0,8,0,0,0,0,2,16,8,0,24,2,2,0,0,0,4,0,0,0,0,0,0,38,0,0,6,0,2,0,0,0,4,0,0,2,0,116,0,0,90,2,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,24,18,0,0,0,0,0,6,0,0,94,0,0,0,6,0,20,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,2,0,0,0,40,2,2,0,0,0,0,0,16,0,0,4,6,0,0,0,2,16,0,0,0,4,8,0,0,0,0,0,0,0,0,0,44,0,0,2,0,0,30,0,0,0,0,6,2,10,0,0,4,0,102,0,0,0,2,0,0,0,0,0,4,0,0
VUT,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WSM,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
YUG,0,0,2,0,0,10,4,0,0,22,32,0,0,34,0,0,0,16,0,0,10,4,0,0,0,18,0,0,0,0,0,26,18,6,20,0,0,0,0,0,0,0,0,0,0,2,8,170,0,0,18,0,2,0,4,0,48,2,0,14,0,66,0,0,112,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,32,0,4,2,0,0,2,16,74,0,2,50,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0,0,12,8,0,0,0,4,20,0,0,0,0,2,0,0,0,0,2,0,0,12,18,30,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,2,0,158,0,0,0,2,0,0,0,0,0,2,0,0
ZAF,0,0,0,0,2,12,16,0,0,296,82,0,0,166,6,4,4,2,0,0,0,0,0,0,0,62,0,0,0,36,0,226,96,20,60,4,16,2,0,0,10,0,4,2,0,2,24,358,0,0,74,0,2,0,8,4,76,0,8,38,0,270,0,0,836,0,4,2,2,0,0,18,0,0,0,0,0,0,6,0,24,2,42,8,6,0,0,80,120,2,2,104,0,52,0,0,0,8,4,0,4,0,0,0,0,0,2,0,0,0,4,0,2,4,0,32,0,0,4,0,0,0,6,0,0,0,18,2,22,0,0,38,0,246,50,2,60,10,10,0,0,4,0,0,64,14,0,0,0,10,62,2,14,4,6,2,0,0,0,0,0,0,0,10,4,86,4,0,0,0,2,20,0,0,0,2,0,16,22,8,10,18,2,1096,0,0,0,2,4,0,0,0,2,0,8,44
ZMB,0,0,0,0,0,0,0,0,0,2,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,4,0,0,60,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,48,0,0,0,0,0,0,0,0,0,8,0,4
ZWE,0,0,0,0,0,0,0,0,0,14,4,0,0,12,2,4,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,14,24,0,0,0,2,0,0,0,4,0,0,0,0,0,0,20,0,0,24,0,0,0,2,0,2,0,4,8,0,10,0,0,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,6,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,2,0,2,2,0,6,0,22,10,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,2,6,0,0,0,0,0,0,0,6,4,0,0,102,0,0,0,0,0,0,0,0,0,44,4,0
