,AGO,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIS,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
CHN,0,0,2,0,6,14,134,74,0,0,56,0,0,4,30,0,0,0,0,0,0,32,0,0,0,0,0,240,116,8,0,0,2,2,0,0,0,10,0,0,0,6,26,10,330,0,0,66,0,4,2,4,0,100,4,0,50,0,300,0,0,366,0,4,0,2,0,0,48,0,0,0,0,266,0,2,0,46,8,76,6,2,0,2,14,202,4,2,550,8,2,0,0,116,0,0,0,0,4,0,0,6,0,0,0,0,6,0,2,0,20,0,0,0,0,0,2,0,0,0,0,18,0,0,0,2,0,90,24,2,6,0,2,0,2,10,0,0,24,2,2,0,0,46,120,0,8,0,0,56,0,2,0,0,0,18,14,126,0,0,0,0,0,18,0,0,0,0,0,2,84,2,0,4,2,1386,14,0,0,0,4,0,0,0,6,4,4,4
CIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CIV,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,2,0,0,0,0,0,0,62,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,2,8,2,2,0,0,0,0,0,0,0,4,2,2,0,0,0,2,2,6,0,2,0,4,0,2,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
COD,0,0,0,0,0,0,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,6,0,8,0,0,0,4,2,0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,4,8,20,10,0,0,0,0,0,0,0,0,0,4,4,0,0,20,0,0,0,0,2,4,0,0,34,0,0,2,0,52,0,0,14,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,4,6,28,0,0,0,0,4,10,6,0,36,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,2,4,6,0,0,4,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,6,0,0,0,0,0,0,0,2,2,0,0,158,0,0,0,6,0,0,0,0,4,2,4,4
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,12,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,68,0,0,0,2,0,0,0,0,0,0,0,0
CUB,0,0,0,0,4,2,4,0,0,0,8,2,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,14,12,6,6,0,0,0,0,0,0,4,0,0,0,0,0,2,24,0,0,6,0,2,0,0,0,26,0,0,2,0,24,0,0,12,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,4,2,4,0,0,2,0,2,2,0,0,12,0,0,0,0,4,0,0,0,0,0,0,4,14,0,0,0,0,0,4,0,0,0,0,2,0,0,2,2,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,30,0,0,26,0,26,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,2,30,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0
CZE,0,0,0,0,8,2,22,120,0,0,138,0,0,0,16,0,0,8,0,0,0,74,0,0,0,0,0,84,136,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,362,0,0,86,0,0,0,2,0,124,6,0,78,0,312,0,0,288,0,0,0,2,0,0,68,0,0,0,0,0,0,0,0,16,2,12,8,2,0,2,24,220,0,0,66,2,2,2,0,6,0,0,0,0,0,0,0,0,0,4,2,4,2,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,158,66,0,8,0,0,0,0,0,0,0,150,0,14,0,0,18,194,0,0,0,0,0,0,0,0,0,0,166,64,144,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,20,0,412,2,0,0,0,0,0,0,0,6,6,0,0
DEU,0,0,0,2,100,28,572,1144,2,0,812,4,0,6,174,2,0,40,0,0,6,288,0,0,0,0,2,972,2150,102,330,0,8,8,2,0,0,20,0,0,4,24,28,362,0,0,0,628,0,10,2,74,0,932,36,4,442,4,2728,0,12,3390,20,8,2,4,2,0,296,0,0,2,0,36,0,114,0,390,22,236,104,12,0,18,574,1830,8,12,1048,10,14,0,2,178,14,0,4,0,0,0,4,0,0,22,12,22,12,2,8,2,60,0,4,2,0,0,2,0,0,0,8,4,2,2,0,20,0,1668,294,4,94,0,28,2,4,16,0,0,878,0,164,4,0,142,1404,2,12,8,2,20,0,0,0,0,0,202,142,1008,0,0,2,0,4,44,2,0,0,0,6,92,54,16,16,168,10,7480,12,0,0,16,36,0,0,0,40,140,4,4
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,2,0,0,14,2,96,134,0,0,210,0,0,0,4,0,0,6,0,0,0,68,0,0,0,0,0,170,274,6,66,0,2,0,0,0,0,0,0,0,0,6,2,86,628,0,0,0,2,0,2,12,0,252,6,0,260,0,440,0,0,882,2,4,0,14,4,0,158,4,0,0,0,10,0,8,0,32,8,26,28,0,0,32,56,344,0,2,138,0,14,0,0,38,0,0,0,0,0,0,0,0,0,4,10,4,0,0,0,0,12,0,0,0,4,0,0,4,0,0,0,2,0,0,0,2,0,360,344,0,28,0,2,0,2,2,0,2,138,0,50,0,0,8,158,2,2,14,6,6,0,0,0,0,0,48,60,720,0,0,0,0,0,12,0,0,0,0,2,12,4,18,0,12,0,1210,0,0,0,0,0,0,0,0,6,24,0,4
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,4,0,2,0,0,0,6,2,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,2,4,2,4,0,0,0,0,0,0,2,0,0,0,2,0,0,10,0,0,0,0,0,0,2,0,8,0,0,0,0,160,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,2,2,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0
ECU,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2,0,0,0,0,0,0,0,0
EGY,0,0,0,12,6,0,2,14,2,0,22,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,14,16,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,74,4,0,12,0,2,0,0,0,8,0,0,14,0,50,0,0,52,0,2,0,2,0,0,2,0,0,0,0,4,0,0,0,2,0,8,0,2,0,0,8,34,0,0,52,0,0,0,0,2,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,8,0,0,0,0,0,4,2,0,2,2,0,0,0,10,0,6,2,38,4,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,2,0,286,0,0,0,0,0,0,0,0,0,6,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ESP,2,2,0,0,158,4,88,174,2,0,348,2,0,0,56,0,0,4,0,0,10,150,0,0,0,0,0,236,396,92,100,0,0,0,2,0,0,34,0,0,12,26,30,124,932,0,0,252,2,8,2,8,0,0,2,2,176,0,1254,0,2,1278,2,0,0,2,2,4,174,0,0,0,0,6,0,8,0,58,4,68,56,6,2,2,114,830,0,0,146,2,6,0,0,106,2,0,0,0,0,0,0,0,0,4,8,2,24,0,6,0,134,0,0,2,2,0,0,0,4,4,0,2,0,2,0,2,0,460,130,2,10,0,0,8,10,4,0,6,230,0,138,4,0,42,292,4,0,0,0,0,0,0,0,0,0,62,66,248,0,0,0,0,0,6,0,0,0,0,6,18,32,4,4,38,18,1728,0,0,0,38,4,0,0,0,14,54,0,0
EST,0,0,0,0,2,0,0,2,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,16,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,36,0,0,6,0,0,0,0,0,2,0,0,46,0,14,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,2,66,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,16,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,18,0,0,0,0,0,0,0,0,0,2,2,4
FIN,0,0,0,0,18,0,38,94,0,0,132,0,0,4,34,0,0,2,4,0,0,66,0,0,0,0,0,172,210,8,50,0,0,0,0,0,0,2,0,0,0,2,26,78,442,0,0,260,0,0,0,14,0,176,46,0,0,0,350,0,0,450,2,0,0,2,0,0,92,0,0,0,0,6,0,18,0,98,2,42,22,0,0,10,32,246,0,0,138,0,2,0,0,26,2,0,0,0,0,0,0,0,0,4,8,0,0,0,2,0,10,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,246,214,0,10,0,2,0,4,0,0,2,114,0,40,0,0,46,228,2,2,0,0,6,0,0,0,0,0,62,58,532,0,0,0,0,0,6,0,0,0,0,2,4,26,4,0,10,2,1116,0,0,0,2,2,0,0,0,10,18,0,2
FJI,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
FRA,0,0,2,4,146,14,316,330,0,2,1360,6,22,4,126,0,0,22,0,0,24,398,0,0,0,0,24,1246,1510,82,300,0,62,72,12,14,0,52,2,2,10,24,26,312,2728,0,0,440,0,160,14,50,0,1254,14,2,350,12,0,0,42,2832,4,4,8,0,0,0,306,0,0,24,0,32,0,52,0,262,24,202,106,4,0,24,400,2078,2,4,746,6,8,2,0,130,8,0,6,0,2,0,4,4,0,10,28,16,302,8,8,22,208,0,0,6,2,0,4,0,4,0,2,10,4,46,22,12,2,1212,256,0,58,4,0,2,16,8,0,0,586,0,244,2,0,150,932,10,8,2,52,12,0,4,0,0,0,130,88,658,0,0,8,4,2,38,0,0,2,0,140,40,58,8,0,106,22,5620,4,0,0,50,22,2,0,0,26,72,0,8
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
GBR,0,0,0,18,76,0,1222,374,0,0,928,4,6,30,66,8,0,30,0,2,12,362,2,8,0,0,2,1520,1362,94,366,0,6,10,12,2,0,14,0,0,16,12,14,288,3390,0,0,882,0,16,14,52,0,1278,22,16,450,0,2832,0,2,7220,6,32,0,48,2,0,444,0,2,0,0,148,2,30,0,240,46,274,482,28,2,56,430,2266,38,12,1254,0,128,0,2,210,12,0,4,0,6,0,0,6,2,6,24,12,24,2,0,4,90,0,4,8,20,2,2,2,2,2,28,82,4,2,2,60,6,1880,430,14,230,6,42,8,18,22,0,28,520,0,252,2,0,38,722,10,58,8,28,86,2,8,0,0,0,158,134,1030,0,0,8,2,0,114,0,0,0,2,12,104,58,56,24,70,26,8192,2,0,0,34,16,6,0,10,38,232,36,42
GEO,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,2,0,0,2,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,2,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,2,0,0,0,2,0,0,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0
