,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AUS,6,0,0,2,0,0,138,492,150,2,0,1230,112,0,1360,4,14,176,58,6,0,12,132,2,8,10,1184,4,10,24,8,2,5168,2224,518,7544,8,28,6,4,2,254,0,0,36,18,0,16,606,5726,0,0,1644,0,14,22,130,4,2178,78,30,760,84,4146,4,2,12056,136,36,0,6,4,0,0,384,0,6,2,0,0,4,124,0,400,444,1346,710,702,32,96,710,2980,10,46,2672,2,122,2,48,0,0,1138,60,46,36,0,12,0,8,152,0,50,42,40,136,16,6,26,2,454,0,14,16,12,6,2,16,38,0,0,8,48,932,30,48,18,72,4,2896,928,38,2,2954,30,188,72,46,246,4,170,930,4,600,0,0,56,182,758,0,252,12,20,1606,22,0,0,0,0,196,0,0,208,268,1894,2,8,30,2,2,742,0,0,0,10,8,34,402,882,56,40,84,48,16868,12,0,0,44,2,260,18,0,0,4,1208,16,10
AUT,0,0,0,8,0,2,34,256,306,0,1230,0,116,2,1470,4,14,8,264,4,0,46,284,0,2,4,634,0,0,0,4,0,1272,2602,226,966,4,18,4,2,0,318,0,0,20,40,0,162,1044,8654,0,0,946,0,10,12,244,0,2186,224,30,740,2,2992,0,18,4128,304,8,0,0,0,0,2,798,2,2,8,0,0,0,418,0,866,26,450,370,288,0,128,592,3068,4,14,980,4,44,6,2,0,0,394,0,2,12,0,0,2,106,6,0,252,56,48,142,16,8,4,0,304,0,18,8,14,0,18,14,2,0,0,0,2,58,24,0,0,10,2,2054,668,12,0,332,4,262,18,20,44,0,0,1058,0,746,0,0,12,476,922,0,72,8,4,124,0,0,0,0,0,416,0,0,524,458,1444,0,0,18,0,0,126,0,0,0,0,0,22,590,406,42,12,336,20,5780,4,0,0,16,0,30,0,0,0,4,322,8,10
AZE,0,0,0,0,0,0,0,112,114,0,112,116,0,0,4,0,0,0,8,0,0,0,130,0,0,0,112,0,0,0,0,0,120,122,120,116,0,2,0,0,0,112,0,0,0,0,0,2,116,136,0,0,112,0,2,0,16,0,118,2,0,0,0,138,0,0,258,114,0,0,0,0,0,0,114,0,0,0,0,0,0,2,0,96,4,8,0,66,0,0,114,122,0,0,126,8,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,2,112,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,4,0,116,112,0,0,0,0,6,0,8,4,0,0,120,0,120,0,0,0,112,204,0,2,2,0,0,0,0,0,0,0,112,0,0,112,112,114,0,0,4,0,0,2,2,0,0,0,0,6,314,114,0,4,14,0,158,4,0,0,0,0,0,0,0,0,0,118,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,8,0,0,28,274,184,0,1360,1470,4,14,0,66,86,30,364,4,0,22,178,0,0,26,894,26,0,0,6,8,1928,2638,250,1266,28,72,138,8,0,264,0,0,22,154,0,202,856,6108,0,0,1306,8,74,38,252,0,3498,314,90,810,4,7434,0,52,6680,178,30,0,6,18,2,0,1034,0,6,4,8,0,4,284,2,802,30,556,480,354,14,78,500,4268,4,30,1098,18,166,6,32,2,2,482,6,2,58,2,8,0,0,8,0,258,184,52,54,16,4,20,0,448,0,20,30,40,4,22,16,44,2,0,2,34,76,6,8,24,58,0,5684,748,44,0,484,6,178,18,88,52,0,2,1360,2,948,6,2,12,394,1050,50,90,6,48,156,0,2,0,0,0,288,0,0,184,208,1712,6,2,14,6,2,112,18,0,0,0,0,102,532,310,110,94,296,30,7774,16,6,0,58,0,140,2,0,0,2,522,24,14
BEN,0,0,0,0,0,0,0,2,2,0,4,4,0,0,66,0,32,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,28,28,2,0,14,16,6,2,0,2,0,0,2,0,0,0,2,34,0,0,20,0,2,0,4,0,10,0,0,0,0,178,0,4,42,2,12,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,8,0,22,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,4,0,0,18,0,2,0,0,8,0,0,2,4,0,0,0,10,34,2,42,2,0,0,0,0,0,0,0,4,0,0,2,0,6,0,0,0,0,0,4,0,0,24,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,20,0,0,0,0,0,0,4,2,4,22,8,0,0,38,0,0,0,0,0,2,0,0,0,0,14,6,2
BFA,0,0,0,0,0,0,0,2,2,0,14,14,0,0,86,32,0,2,0,0,0,0,0,0,0,4,4,0,0,0,0,4,28,52,0,6,30,40,10,8,0,0,0,0,0,0,0,0,8,58,2,0,24,0,2,0,4,0,10,0,4,4,0,256,0,20,98,0,26,0,16,4,0,0,0,0,0,0,2,0,0,0,2,0,6,4,0,0,0,0,0,42,0,0,6,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,8,0,0,0,0,64,0,0,0,0,6,0,0,0,10,0,2,0,26,26,0,16,6,0,0,2,2,2,0,0,6,0,2,0,0,6,0,0,0,6,2,10,0,6,76,0,0,4,0,0,0,0,0,0,0,0,30,0,0,0,4,34,8,2,0,0,0,0,6,0,10,12,18,0,0,104,0,0,0,0,0,2,0,0,0,2,20,8,8
BGD,2,0,0,0,0,0,6,12,0,0,176,8,0,0,30,0,2,0,2,2,0,0,0,0,0,2,18,0,4,2,2,0,126,54,4,112,0,2,0,0,0,6,0,0,0,0,0,0,4,96,0,0,14,0,0,2,22,2,8,0,8,6,0,28,0,0,280,0,6,0,0,2,0,0,6,0,0,2,0,0,0,16,6,2,22,108,14,22,0,2,10,36,2,6,402,0,12,0,6,0,0,170,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,6,0,0,6,0,4,0,0,6,0,0,0,6,206,0,2,0,26,0,38,16,26,0,6,0,40,0,4,18,0,0,4,0,2,0,0,0,0,8,0,52,0,0,8,0,0,0,0,0,0,0,0,4,4,104,0,0,2,0,0,56,2,0,0,0,0,0,6,22,0,0,0,0,508,0,0,0,0,0,24,2,0,0,0,14,0,2
BGR,0,0,0,12,0,0,8,26,180,0,58,264,8,0,364,0,0,2,0,0,0,12,160,0,0,2,208,0,0,0,0,0,104,364,14,206,0,0,0,0,0,156,0,0,2,6,0,154,296,930,0,0,116,0,6,0,170,0,454,176,2,256,0,560,0,0,572,166,0,0,0,0,0,0,350,0,0,0,0,0,0,210,0,284,6,236,74,150,2,12,46,532,0,0,132,4,2,2,0,0,0,166,0,0,18,0,0,0,0,0,0,182,14,26,2,2,4,2,0,228,0,66,0,2,0,20,18,0,0,0,0,0,0,2,0,0,12,0,184,82,0,0,164,2,158,0,2,0,0,0,424,0,218,0,0,6,198,370,0,24,0,0,4,0,0,0,0,0,262,0,0,104,50,160,0,0,2,0,0,2,2,0,0,0,0,0,240,180,0,0,210,2,582,2,0,0,2,0,2,0,0,0,0,28,0,0
BHR,0,0,0,0,0,0,22,0,0,0,6,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,44,0,2,0,0,0,0,18,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,14,0,0,0,0,8,0,6,2,0,2,0,0,0,0,4,18,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,2,0,0,14,6,0,0,0,0,0,0,0,0,0,0,16,0,2,0,38,10,0,4,0,0,0,0,0,0,0,0,2,0,10,0,0,2,0,0,0,0,0,0,0,0,22,8,16,0,0,0,0,36,0,0,0,0,0,2,0,0,0,6,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,12,0,0,4,2,2,0,12,46,0,0,22,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,12,14,0,6,0,0,0,0,0,0,0,0,0,2,0,0,10,52,0,0,6,0,0,0,4,0,10,4,0,6,0,22,0,0,26,0,0,0,0,0,0,0,14,0,0,0,0,0,0,172,0,18,0,4,2,0,0,4,6,28,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,8,0,22,0,2,0,12,0,0,0,0,0,0,2,0,0,0,0,0,22,14,0,0,0,0,4,2,2,0,0,0,10,0,4,0,0,2,12,12,0,10,0,0,2,0,0,0,0,0,274,0,0,6,92,10,0,0,0,0,0,2,0,0,0,0,0,2,26,2,0,0,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,2,0,0,0,118,258,0,132,284,130,0,178,0,0,0,160,0,0,0,0,0,0,2,274,0,0,0,0,0,162,286,112,286,0,0,2,0,0,256,0,0,0,0,0,144,244,512,0,0,138,0,0,0,144,0,308,158,0,168,0,370,0,0,480,260,0,0,0,0,0,0,266,0,0,0,0,0,0,144,0,250,0,156,10,152,0,2,126,356,0,10,148,10,0,2,0,0,0,178,0,0,0,0,0,0,0,0,0,188,4,16,116,2,8,0,0,144,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,138,0,0,142,0,142,0,0,0,0,0,418,0,296,0,0,0,160,692,0,10,0,6,2,0,0,0,0,0,266,0,0,128,124,160,0,0,0,0,0,6,2,0,0,0,0,2,282,268,0,0,238,0,396,20,0,0,0,0,6,0,0,0,0,120,0,0
BLZ,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,0,60,0,0,10,4,0,0,26,4,4,2,2,0,0,0,2,0,0,0,54,0,2,0,0,0,24,36,24,2,0,2,0,0,0,28,0,0,8,6,0,0,6,36,0,0,4,2,0,14,4,0,54,0,6,2,0,68,0,2,72,0,2,0,0,0,0,0,2,0,0,10,2,0,4,0,2,4,4,4,2,2,0,2,0,16,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,32,0,2,2,0,0,0,0,2,0,0,0,2,6,0,0,0,0,4,38,0,0,0,0,0,0,10,30,4,0,0,8,0,4,8,0,0,2,2,0,2,0,0,4,0,0,4,0,0,2,0,0,0,0,32,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,6,142,0,0,0,14,0,2,0,0,0,0,2,0,0
BRA,0,12,0,0,0,0,30,1490,288,0,1184,634,112,0,894,14,4,18,208,0,0,4,274,0,0,54,0,6,2,0,16,0,1960,1142,748,1058,10,20,0,6,2,910,0,2,112,248,2,156,590,2928,0,0,520,14,4,154,206,0,2510,162,12,380,2,3114,0,2,3398,262,12,0,0,2,4,0,408,0,2,18,16,4,12,240,6,424,86,788,270,230,0,24,376,1992,16,12,930,2,36,2,4,0,0,556,22,4,40,0,2,2,0,4,0,178,28,16,128,2,2,10,0,870,0,2,4,0,0,2,0,32,4,0,2,12,180,6,4,6,60,6,1234,380,4,0,332,18,182,62,220,42,0,2,736,2,1612,54,0,10,292,794,0,102,4,16,122,0,0,20,0,0,312,0,2,178,196,722,0,2,0,2,6,110,0,0,0,0,6,22,372,360,22,18,254,224,9236,8,0,0,192,0,42,0,0,0,0,396,6,16
BRB,0,0,0,0,0,0,0,0,0,2,4,0,0,0,26,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,74,26,2,2,0,0,0,0,0,6,0,0,6,2,0,0,0,32,0,2,0,6,0,0,0,0,2,0,0,0,0,6,2,0,70,0,2,0,0,0,0,0,0,6,0,0,0,8,0,0,2,0,0,4,0,0,0,4,2,20,12,0,26,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,24,0,0,2,0,0,0,0,0,0,0,16,2,2,6,2,4,0,0,74,0,0,10,0,0,0,0,0,0,0,2,0,0
BRN,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,10,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,16,0,0,0,0,0,2,0,0,0,0,6,0,0
