,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
AUT,0,0,2,0,0,15,44,2,0,318,0,0,0,346,3,1,8,50,0,0,10,12,0,0,2,92,2,0,1,1,0,367,739,27,196,4,2,2,0,0,8,0,0,2,14,9,231,3001,0,0,217,1,1,5,37,0,509,14,5,170,0,878,0,10,1112,6,2,0,0,0,0,0,138,0,0,5,0,0,0,72,0,242,10,109,90,30,0,14,125,912,0,5,286,5,15,0,2,0,0,94,2,0,2,0,0,0,24,1,0,27,7,12,4,0,5,1,0,39,0,7,1,2,0,2,2,0,0,0,0,1,13,1,1,0,3,0,0,525,158,7,40,1,16,2,7,7,0,0,284,0,137,0,0,0,63,282,0,6,1,0,30,0,0,0,0,0,55,0,0,0,150,174,368,0,0,0,0,0,52,1,0,0,0,11,88,75,5,0,83,6,1784,3,0,0,3,13,0,0,0,0,50,2,1
AZE,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,4,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,64,0,0,0,8,0,9,2,0,0,0,1,0,0,0,0,0,0,0
BDI,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,2,2,0,3,15,69,19,0,410,346,1,6,0,17,20,10,129,0,0,6,8,0,0,19,201,0,0,0,5,0,678,777,79,295,10,27,29,7,0,27,0,0,4,32,11,228,1912,0,0,351,0,34,20,29,0,947,22,10,242,1,2599,0,3,2218,16,8,0,3,5,0,0,263,0,0,0,1,0,1,33,0,213,12,113,152,38,0,18,203,1324,1,3,413,23,44,1,4,0,0,118,4,1,15,0,3,0,2,1,0,38,40,4,19,2,6,9,0,80,0,9,5,9,2,9,8,9,1,0,2,4,37,2,3,2,15,0,0,1857,181,9,85,3,12,5,38,11,0,0,438,0,205,2,0,2,130,346,22,13,2,19,29,0,0,0,0,0,51,0,0,0,62,52,531,0,0,7,0,2,32,0,0,0,0,31,113,48,14,13,74,5,2569,4,0,0,20,31,0,0,0,0,133,20,9
BEN,0,0,0,0,0,0,0,0,0,4,3,0,0,17,0,4,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,1,8,0,1,6,12,1,3,0,1,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,1,0,0,0,48,0,1,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,5,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,1,10,0,0,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,1,1,0,4,3,0,0,15,0,0,0,0,0,0,0,0,0,13,0,0
BFA,0,0,0,0,0,0,1,0,0,0,1,0,0,20,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,12,0,0,7,8,1,2,0,1,0,0,0,0,0,0,18,0,0,5,1,0,0,1,0,0,0,1,0,0,60,0,3,22,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,17,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,9,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,1,0,0,0,0,1,0,1,4,1,0,0,22,0,0,0,1,0,0,0,0,0,0,1,3
BGD,0,0,0,0,0,0,0,0,0,29,8,2,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,26,13,0,12,1,1,1,0,0,1,0,0,1,4,0,2,20,0,0,3,0,0,1,1,0,8,0,2,1,0,8,0,0,93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,2,4,35,5,1,0,0,1,7,1,0,129,0,2,0,1,0,0,30,5,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,21,16,7,2,2,13,0,4,7,0,0,2,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,4,30,0,0,1,0,0,22,0,0,0,1,0,6,3,3,2,0,0,154,2,0,0,0,5,0,0,0,0,7,2,3
BGR,0,0,2,0,0,1,7,23,0,28,50,0,0,129,0,0,0,0,0,0,3,8,0,0,0,20,0,0,0,0,0,52,94,7,30,0,0,1,0,0,4,0,0,0,2,8,72,429,0,0,30,0,10,0,7,0,152,10,0,44,0,220,0,0,221,5,0,0,0,0,0,0,94,0,0,0,0,0,0,15,0,65,0,25,17,4,0,1,17,213,0,2,75,1,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,13,5,10,3,1,0,0,0,17,0,15,0,2,0,9,10,0,0,0,0,0,1,0,0,0,0,0,0,63,23,0,5,0,3,0,0,2,0,0,158,0,24,0,0,0,66,111,0,1,0,0,0,0,0,0,0,0,42,0,0,0,65,14,60,0,0,0,0,0,2,0,0,0,1,2,35,14,0,0,23,0,247,3,0,0,0,0,0,0,0,0,6,0,0
BHR,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,6,0,5,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,2,0,0,0,0,0,0,2,10,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,1,3,22,0,0,4,0,0,0,1,0,4,1,0,3,0,7,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,64,0,3,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,32,0,0,0,6,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,1,5,0,8,12,1,0,8,0,0,1,8,0,0,0,0,0,0,0,9,0,0,0,0,0,17,13,1,21,0,0,0,0,0,3,0,0,0,0,2,12,143,0,0,4,0,0,0,0,0,32,4,0,13,0,54,0,0,36,1,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,3,0,4,3,2,0,0,8,36,0,3,16,1,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,13,0,3,0,0,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,2,0,1,0,0,0,0,0,79,0,20,0,0,0,4,208,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,28,0,75,2,0,0,0,0,0,0,0,0,5,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,18,0,0,8,2,0,0,19,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,7,13,0,0,2,0,0,0,11,0,0,3,4,0,7,14,0,0,4,0,0,3,0,0,24,0,0,4,0,28,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,18,2,0,0,0,0,2,13,0,0,0,4,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,57,0,0,0,3,3,0,0,0,0,0,0,0
BRA,0,2,0,2,0,7,466,6,0,274,92,0,0,201,8,1,1,20,0,0,0,9,1,1,14,0,1,0,0,1,0,582,228,226,149,1,2,1,0,0,141,0,0,23,99,1,97,859,0,0,95,4,4,42,15,0,575,7,3,60,0,952,1,0,1068,8,3,0,0,1,0,0,42,0,0,8,2,0,7,23,2,51,6,176,67,14,0,4,71,517,0,8,256,0,16,0,2,0,0,99,4,0,1,0,0,0,0,1,0,3,3,1,6,1,0,2,0,211,0,3,1,2,0,0,0,1,0,0,0,3,11,0,1,0,14,1,0,263,62,4,33,0,10,14,60,9,0,0,119,0,328,16,0,0,17,195,0,3,3,6,20,0,0,3,0,0,13,0,0,1,7,20,195,0,0,0,0,1,24,0,0,0,1,9,65,43,0,4,21,75,3151,4,0,0,73,10,0,0,0,0,60,0,1
BRB,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BWA,0,1,0,0,0,1,0,0,0,15,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,1,0,6,2,0,0,0,0,0,0,0,0,4,7,0,0,1,0,0,0,0,0,1,0,3,0,0,4,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,2,0,0,5,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,37,0,0,0,0,0,0,0,0,0,30,4,4
