,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,2,0,1,3,3,9,63,0,0,82,0,0,0,15,0,0,0,1,0,0,0,30,0,0,0,0,38,109,2,35,1,0,0,0,0,0,0,1,0,2,37,214,0,92,0,1,0,1,0,103,0,0,47,0,221,0,316,0,0,0,0,0,0,0,0,0,0,1,0,6,0,5,0,3,13,1,0,1,13,161,0,1,15,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94,51,1,2,0,0,0,0,0,0,47,42,0,0,0,10,56,0,1,0,1,0,0,0,0,0,0,0,0,34,38,70,0,0,0,0,0,0,0,0,0,1,6,1,0,1,2,0,311,0,0,0,0,0,0,0,5,3,0,0
GRL,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HKG,0,0,0,0,0,33,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,55,9,4,163,0,0,0,0,0,2,0,0,0,0,1,23,0,5,0,1,0,1,0,4,0,0,4,0,12,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,5,1,2,0,0,1,10,2,0,22,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,8,0,1,0,0,0,1,4,1,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,4,0,0,0,0,3,29,2,0,0,0,193,0,0,0,2,0,0,0,3,6,2,2
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,6,15,0,0,9,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,10,18,0,2,0,0,0,0,0,0,0,0,0,0,3,47,0,3,0,1,0,0,0,2,0,0,2,0,19,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,3,1,0,0,0,3,28,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,4,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,5,15,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,57,0,0,0,0,0,0,0,1,1,0,0
HTI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
HUN,1,0,1,3,2,9,28,0,0,24,0,0,0,20,0,0,0,2,0,0,0,6,0,0,0,0,67,101,4,20,1,0,0,0,0,2,0,0,1,14,17,238,0,16,0,2,0,1,0,39,2,0,53,0,155,0,163,1,0,0,0,0,5,0,0,0,0,3,0,12,0,0,2,21,6,4,0,1,55,122,2,0,77,0,2,0,0,0,15,4,0,0,0,0,0,0,0,3,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7,0,1,0,0,0,0,0,0,37,6,0,0,0,31,37,0,0,0,0,1,0,0,0,0,0,0,0,19,14,46,0,0,0,0,0,5,0,0,0,0,3,9,0,0,4,0,383,0,0,0,3,0,0,0,7,6,2,3
IDN,0,0,0,0,0,25,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,4,8,4,9,0,0,0,0,0,3,0,0,1,0,1,8,0,2,1,0,0,2,0,0,0,0,2,0,8,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,1,2,0,40,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,14,0,1,4,1,1,1,0,7,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,55,0,0,0,0,1,0,0,2,1,3,2
IND,0,0,1,10,1,41,7,0,0,18,0,0,9,18,0,1,0,2,0,0,0,25,0,0,0,0,82,48,1,34,0,0,0,0,0,10,0,3,0,14,4,159,0,10,0,0,1,4,0,36,1,1,24,0,138,0,161,1,0,0,0,0,3,0,0,0,0,5,0,3,0,21,2,0,2,3,0,0,19,71,0,0,91,1,1,0,0,0,31,3,0,0,0,1,0,0,1,0,0,0,1,0,1,0,20,1,1,0,2,1,0,0,3,2,10,0,0,0,1,0,40,4,2,10,0,2,1,1,1,0,15,6,0,0,0,16,52,0,4,0,0,8,0,0,0,0,0,0,0,4,2,27,0,0,1,0,0,4,0,0,0,0,2,12,1,0,6,0,527,2,0,0,0,0,0,1,1,7,1,0
IRL,0,0,0,2,0,16,9,0,0,24,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,25,25,0,5,0,0,0,0,0,0,0,0,0,1,3,66,0,19,0,0,0,0,0,30,0,0,14,0,54,0,285,1,1,0,0,0,13,0,0,0,0,1,0,1,0,6,0,2,0,0,0,3,9,48,0,0,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,13,1,2,0,0,0,0,0,0,5,15,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,33,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,126,0,0,0,1,0,0,0,0,3,0,0
IRN,0,0,1,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,1,0,1,0,0,0,0,7,0,14,0,0,0,0,0,1,0,0,0,0,2,0,0,0,4,0,3,0,0,0,0,1,1,0,1,17,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,33,0,0,0,0,0,0,0,0,1,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,3,0,0,0,0,0,0,0,1,0,0,0,10,0,23,0,0,0,0,0,3,0,0,10,0,9,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0
ISR,0,0,0,9,0,62,31,0,0,32,0,0,0,3,0,0,0,4,0,0,0,19,0,0,0,0,146,101,9,17,0,0,0,0,0,2,0,2,1,0,11,330,0,25,0,0,0,2,0,75,1,0,22,0,209,0,241,1,1,0,0,0,13,0,0,0,0,1,0,3,0,55,0,19,9,1,0,3,0,163,1,2,99,2,8,0,0,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,15,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,96,13,0,13,0,1,0,0,5,0,45,7,0,0,0,1,81,0,2,1,0,6,0,0,0,0,0,0,0,3,8,44,0,0,0,0,0,7,0,0,0,1,8,9,0,1,7,3,1289,0,0,0,2,1,0,0,2,25,0,0
ITA,12,1,1,51,4,122,184,1,0,305,1,3,0,47,0,0,1,15,0,0,0,130,1,0,1,0,333,622,21,134,1,0,1,0,0,4,0,4,6,14,105,1078,0,230,0,6,1,21,0,502,6,2,146,0,1227,0,1344,3,1,1,1,1,161,1,0,0,0,10,0,28,0,122,1,71,48,1,1,4,163,0,0,2,262,1,7,0,0,0,73,0,0,2,0,0,0,0,0,4,4,2,10,1,9,3,35,4,1,6,0,0,0,0,0,0,1,0,5,0,4,1,470,109,1,18,0,6,0,1,3,0,205,64,2,0,0,68,379,0,3,1,1,3,0,0,0,0,0,0,0,78,61,340,0,0,4,0,0,5,0,0,0,7,25,37,4,4,38,8,2483,0,0,0,16,1,0,0,8,39,0,0
JAM,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,7,3,2,2,0,3,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2,1,2,2
JOR,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,5,0,1,0,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0
JPN,0,0,1,17,1,229,53,3,0,91,0,0,4,12,0,0,0,4,0,0,4,54,0,0,0,0,432,197,11,319,0,0,0,0,0,3,0,2,3,0,28,631,0,65,1,0,1,31,0,95,2,1,82,1,398,0,681,0,4,0,0,0,15,1,0,0,1,22,0,9,0,77,40,91,10,17,0,5,99,262,1,0,0,2,5,0,0,0,244,3,0,0,0,0,0,0,2,0,0,2,4,0,0,0,14,0,0,1,0,4,0,0,0,0,24,0,2,0,5,0,180,40,3,40,0,4,1,0,22,2,84,11,2,0,0,8,196,0,4,0,1,24,0,0,0,0,0,0,0,8,9,188,1,0,2,0,0,59,0,0,0,3,29,103,3,0,14,2,3612,2,0,0,1,14,0,0,9,26,4,0
KAZ,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0
KEN,0,0,1,0,0,5,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,18,7,6,1,2,0,0,0,4,0,3,2,0,2,12,0,11,2,0,0,7,1,2,0,1,1,0,9,0,85,0,2,0,0,0,1,0,0,0,0,2,0,0,0,2,4,1,4,1,0,0,8,7,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,8,3,0,2,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,6,0,0,1,0,0,0,6,4,0,0,74,0,0,0,0,0,0,0,2,3,2,7
KGZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,12,0,18,37,0,0,5,0,0,0,15,0,0,0,1,0,0,0,13,0,0,0,0,49,52,0,79,0,0,0,0,0,12,0,0,0,14,0,87,0,31,0,0,0,4,0,55,0,0,15,0,76,0,118,0,0,0,0,0,30,0,0,0,0,3,0,0,0,15,1,31,1,1,0,0,14,73,0,0,244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,34,0,0,7,0,0,0,0,1,0,21,1,0,0,0,15,56,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,4,26,0,0,1,1,743,0,0,0,0,2,0,0,0,1,0,0
KWT,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,10,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,0
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
