,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
ERI,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ESP,0,2,8,2,0,8,920,16,562,676,0,0,1216,0,0,6,198,0,0,2,20,0,2,28,602,2,0,0,2,4,1196,1316,420,456,2,4,0,0,228,0,2,32,236,58,356,3794,0,0,672,2,40,22,36,4,0,42,4,442,0,0,4312,0,2,4900,22,6,2,2,0,0,8,492,0,0,4,0,0,4,44,0,304,10,260,288,34,2,26,368,3494,0,4,694,42,6,2,0,0,0,206,2,0,4,0,0,0,2,0,42,16,8,132,4,36,0,908,0,6,0,0,0,0,0,12,0,0,0,0,8,0,0,0,8,4,1704,470,0,110,2,6,28,40,14,0,2,762,0,1066,8,0,6,226,828,0,26,2,2,42,0,0,22,0,0,54,0,0,164,110,960,0,0,2,2,0,38,0,0,0,2,32,130,128,12,2,138,90,6584,10,0,218,4,0,0,2,0,124,2,4
EST,0,0,6,0,0,2,4,0,10,16,0,0,18,0,0,0,6,0,0,6,4,0,0,0,2,0,0,0,0,0,20,28,2,2,0,0,0,0,0,0,0,0,0,0,24,118,0,0,42,0,0,0,0,0,42,0,0,188,0,0,98,0,0,136,2,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,32,0,0,2,0,0,10,10,70,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,34,0,40,0,0,0,0,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,46,50,0,6,0,0,0,2,2,0,0,28,0,16,0,0,0,8,74,0,2,0,0,0,0,0,0,0,0,4,0,0,14,12,172,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,10,2,114,0,0,4,0,0,0,0,0,2,0,0
ETH,0,0,0,0,0,0,0,0,2,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,8,0,0,0,0,0,4,0,0,2,0,0,28,0,0,76,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,10,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,22,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,84,0,0,0,0,0,0,0,0,28,2,0
FIN,0,0,0,0,0,8,22,6,258,216,0,0,372,0,0,2,40,0,0,0,20,0,0,0,102,0,0,0,0,0,468,424,50,166,0,0,0,0,2,0,0,6,14,4,202,1400,0,0,548,2,0,2,6,0,442,188,2,0,0,0,768,2,0,1648,6,0,0,2,0,0,0,178,0,0,2,0,0,0,10,0,212,4,50,116,10,0,92,102,688,0,6,340,8,2,2,0,0,0,70,12,0,0,0,0,0,2,0,58,10,32,4,0,10,0,26,0,0,0,0,0,0,2,0,0,0,4,8,2,0,0,0,0,0,676,592,2,50,4,2,0,10,6,0,0,298,0,196,0,0,0,52,590,0,4,0,0,26,0,0,0,0,0,28,0,0,66,86,1592,0,0,0,0,0,8,2,0,0,2,0,56,34,10,4,34,2,2386,4,0,8,12,0,0,0,0,60,0,6
FJI,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,12,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,0,0,0,0
FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,0,0,8,0,0,24,586,118,1422,1152,8,4,3438,62,102,18,290,4,0,6,82,0,2,30,1410,0,4,0,6,24,3138,3818,494,1418,136,188,12,20,124,4,2,30,38,62,910,8048,6,0,1094,2,672,42,78,8,4312,98,28,768,4,0,0,2,42,8330,28,8,0,10,14,4,0,914,0,0,2,62,0,2,110,2,664,50,660,382,150,2,56,948,6218,2,4,2154,14,44,0,26,0,0,424,10,16,190,2,14,0,6,0,116,78,32,764,52,28,54,664,2,12,42,6,8,0,6,6,6,2,6,20,42,8,70,22,16,0,3212,864,10,190,12,32,12,44,24,0,2,1916,0,968,6,2,2,670,2534,0,42,8,204,150,0,0,6,0,0,74,0,0,274,182,1904,0,0,26,10,34,180,0,0,0,4,790,302,210,12,32,414,70,13288,30,0,130,124,6,0,2,0,380,2,18
FSM,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,4,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,58,0,0,2,0,0,0,0,0,2,0,0,0,0,0,42,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,4,0,0,34,0,0,0,4,0,0,0,0,2,0,0
GBR,4,6,10,0,4,104,418,70,4730,1428,10,2,3020,20,36,100,286,10,2,4,80,2,4,50,1464,16,12,8,24,4,5132,3740,360,3034,30,106,6,6,188,0,4,24,50,78,872,11104,0,0,2250,10,52,68,180,2,4900,136,76,1648,6,2,8330,2,40,19808,36,104,0,2,118,2,2,1548,10,2,20,8,4,8,160,2,792,80,1112,1796,360,2,174,1090,6906,32,62,3342,108,314,4,22,0,0,736,98,18,46,2,16,0,96,4,102,32,34,54,10,16,14,582,0,10,8,34,10,0,18,8,0,4,28,94,216,16,14,4,156,2,5784,1808,34,1174,64,188,54,90,46,0,14,1536,0,1298,12,2,14,298,2428,6,140,32,30,556,2,6,2,0,0,138,0,0,354,264,3304,2,2,14,0,2,428,0,0,4,58,46,694,392,164,186,332,34,23760,20,0,144,92,0,0,16,2,980,48,60
GEO,0,0,2,0,0,0,4,0,10,20,0,0,8,0,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,6,26,2,10,2,0,0,0,2,0,0,0,2,0,14,112,0,0,2,0,0,2,4,0,22,2,0,6,0,0,28,0,0,36,0,2,0,0,0,0,0,16,0,0,0,0,0,0,6,0,2,2,6,2,2,0,0,16,40,0,0,14,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0,26,0,4,2,0,0,2,102,0,2,0,0,2,0,0,0,0,0,2,0,0,4,0,10,0,0,0,0,0,2,0,0,0,0,2,12,0,0,2,8,0,98,4,0,0,0,0,0,0,0,4,0,0
GHA,0,0,2,0,0,0,4,0,6,4,0,0,14,10,8,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,22,18,4,6,4,4,0,2,4,0,0,0,2,0,2,44,0,0,24,0,0,2,4,0,6,0,4,0,0,0,8,0,0,104,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,10,2,2,0,0,4,12,2,0,18,0,6,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,6,0,0,0,4,0,0,6,0,0,0,0,2,0,0,0,0,4,0,0,0,8,0,46,4,0,4,0,2,2,4,0,0,2,2,0,2,2,0,0,4,2,0,2,2,2,2,0,0,0,0,0,2,0,0,2,2,4,0,0,0,0,2,6,0,0,0,0,2,2,0,2,4,0,0,76,0,0,0,0,0,0,0,0,10,0,0
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,2,0,0,2,0,0,10,0,0,2,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
GMB,0,0,0,0,0,0,2,0,8,0,0,0,12,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,2,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,2,0,0,0,14,0,0,118,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,30,0,0,0,0,0,0,0,0,8,2,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,16,0,0,4,10,32,126,212,2,0,422,0,0,2,104,0,0,4,22,0,0,0,82,2,0,0,0,0,246,420,16,104,2,0,0,0,4,0,0,0,4,104,196,1106,0,0,176,0,18,2,14,0,492,14,0,178,0,0,914,0,0,1548,16,4,0,0,0,0,0,0,0,0,0,0,0,0,36,0,96,4,36,66,8,2,18,158,824,0,6,188,26,8,0,0,0,0,56,2,0,2,0,2,0,4,0,4,16,6,6,0,4,0,76,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,462,134,0,14,0,6,2,4,4,0,0,306,0,164,2,0,0,110,280,0,6,0,0,18,0,0,0,0,0,76,0,0,110,90,312,0,0,0,0,0,18,0,0,0,0,8,90,36,2,2,66,4,1758,4,0,6,2,0,0,0,0,28,0,0
GRD,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,2,4,0,0,0,0,0,6,0,0,14,4,0,0,12,0,0,0,4,0,2,0,0,4,0,0,2,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,6,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,96,0,0,2,0,0,0,0,0,6,0,0
GUF,0,0,0,0,0,0,4,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,4,0,2,0,0,4,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,2,0,0,0,0,0,0,0,0
HRV,0,0,6,0,0,0,8,0,28,120,0,0,40,0,0,0,24,0,0,40,2,0,0,0,40,0,0,0,0,0,34,110,2,48,0,0,0,0,0,0,0,0,2,0,72,336,0,0,20,0,2,0,16,0,44,10,0,10,0,0,110,0,0,160,6,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,66,6,32,0,4,0,0,28,132,0,0,26,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,6,0,6,0,0,2,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,12,0,2,0,2,0,6,2,0,0,92,0,12,0,0,0,22,92,0,0,0,0,6,0,0,0,0,0,22,0,0,48,162,40,0,0,0,0,0,2,0,0,0,0,0,10,2,0,0,26,0,376,0,0,2,0,0,0,0,0,8,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0
HUN,0,0,4,0,0,16,26,2,120,332,0,0,332,0,2,0,104,0,0,8,8,0,0,0,72,0,0,0,0,0,258,316,12,116,0,0,0,0,2,0,0,0,0,38,156,1320,0,0,124,0,0,0,18,0,304,32,0,212,0,0,664,0,0,792,2,0,0,0,0,0,0,96,0,0,0,0,0,0,66,0,0,0,110,80,10,0,6,160,566,0,0,338,0,0,0,0,0,0,102,10,0,2,0,2,0,0,0,22,8,10,2,0,0,0,24,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,312,60,0,22,0,8,0,0,2,0,0,260,0,144,0,0,0,154,262,0,4,0,0,8,0,0,0,0,0,28,0,0,164,56,308,0,0,2,0,0,4,0,0,0,0,0,62,60,0,0,44,6,1626,0,0,10,2,0,0,0,0,54,0,0
IDN,0,0,2,0,0,0,4,0,176,22,0,0,20,0,0,4,6,0,0,0,2,0,0,0,28,0,2,0,0,0,48,18,2,32,2,2,0,0,2,0,0,6,4,0,2,84,0,0,6,0,0,2,12,0,10,0,0,4,2,0,50,0,0,80,2,2,0,0,0,0,0,4,0,0,2,0,0,0,6,0,0,0,16,4,6,0,0,2,16,0,0,290,0,14,0,2,0,0,34,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,2,0,0,0,0,52,0,2,0,4,0,98,2,0,18,0,10,4,8,22,0,6,6,0,2,2,0,0,2,10,0,2,0,0,26,0,0,0,0,0,4,0,0,4,0,18,0,0,0,0,0,42,0,0,0,0,2,8,12,0,2,0,0,218,0,0,0,18,2,0,0,0,16,0,2
IND,0,0,2,0,0,12,48,0,374,144,0,0,134,0,4,76,60,2,0,0,14,0,0,0,218,0,12,4,6,0,428,338,28,458,2,0,0,2,30,0,2,2,14,36,106,1420,0,0,58,4,6,18,42,6,260,0,6,50,14,0,660,0,2,1112,6,10,0,2,0,0,0,36,0,0,0,0,0,0,32,0,110,16,0,110,44,4,0,140,446,2,6,1000,2,18,2,4,0,0,468,42,0,0,0,2,0,28,0,6,0,0,4,0,0,4,104,0,2,8,0,6,0,6,0,2,0,4,4,112,0,2,2,24,0,276,60,46,42,16,56,2,6,56,0,4,186,0,66,2,0,6,68,262,0,52,2,0,154,0,0,0,0,0,12,0,0,40,72,108,0,0,6,0,0,54,0,0,0,0,2,38,294,6,6,20,4,3286,6,0,6,26,0,0,0,0,70,8,4
IRL,0,0,2,0,0,8,30,6,178,82,0,0,138,0,2,0,48,2,0,0,2,0,0,0,48,0,0,0,0,0,188,224,14,114,2,2,0,0,12,0,0,2,2,36,58,498,0,0,122,0,0,12,16,0,288,2,0,116,0,0,382,0,0,1796,2,2,0,0,2,0,0,66,0,0,0,0,0,0,0,0,80,4,110,0,4,0,28,42,304,2,2,110,4,4,0,0,0,0,62,0,0,0,0,4,0,2,0,4,12,8,0,0,0,0,32,0,0,0,0,0,0,2,0,0,0,4,2,6,6,0,0,2,0,316,76,0,46,0,6,2,2,0,0,0,60,0,94,2,0,4,46,170,0,8,0,0,24,0,0,0,0,0,6,0,0,16,16,170,0,0,0,0,0,8,0,0,0,2,4,42,38,2,6,14,10,1070,0,0,6,0,0,0,0,0,38,0,0
IRN,0,0,2,0,0,6,6,14,104,40,6,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,300,34,4,34,2,0,0,0,2,0,0,0,2,0,8,140,0,0,12,0,6,2,4,0,34,0,0,10,0,0,150,0,0,360,2,2,0,0,0,0,0,8,0,0,0,0,0,0,4,0,10,6,44,4,0,0,0,0,78,0,4,66,0,4,0,0,0,0,8,10,0,10,0,2,0,6,0,0,0,0,12,4,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,34,0,0,0,4,0,40,8,0,16,2,12,2,2,4,0,0,6,0,4,2,0,2,6,40,0,4,0,0,2,0,0,0,0,0,8,0,0,4,0,36,0,0,2,0,0,2,0,0,0,0,2,38,10,0,2,10,0,412,0,0,2,2,0,0,0,0,4,0,0
IRQ,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
