,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
DEU,0,8,2,21,1,0,97,770,274,0,4092,5526,104,5,3869,20,39,84,490,9,3,33,306,3,3,22,2115,4,19,0,18,5,4793,8020,993,5188,25,101,23,13,0,412,0,2,73,81,0,1,225,2015,0,2,3,2954,4,72,79,669,3,6692,388,90,2005,3,10172,0,57,15015,238,72,0,6,13,2,1,1782,1,11,13,6,3,0,577,0,1476,148,1894,1076,712,52,156,1682,8618,10,101,3403,76,171,25,10,0,2,1473,36,11,75,2,11,2,23,106,0,310,257,127,195,18,60,28,2,682,0,77,13,35,6,9,27,12,1,0,5,25,283,51,15,7,121,7,0,7525,1742,32,0,717,65,423,70,97,88,0,12,2972,3,1558,8,5,201,991,3533,20,720,47,30,635,0,3,1,0,0,540,0,0,0,526,526,4103,0,5,29,0,6,399,4,1,0,0,14,75,1202,0,759,92,53,796,72,22376,43,0,6,0,53,218,0,0,7,15,1026,14,16
DJI,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,1,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,3,1,2,1,1,0,0,0,0,2,0,0,1,2,0,1,0,0,3,0,0,1,1,0,1,1,0,2,0,0,1,0,3,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,11,0,0,0,1,1,0,0,0,0,0,1,0,0
DNK,0,4,0,5,0,0,37,211,115,0,1140,634,87,0,858,4,11,21,67,3,1,9,117,3,0,11,426,2,1,0,6,0,1257,1087,270,1151,4,8,6,3,0,130,0,0,18,35,0,1,36,439,2954,0,1,0,0,7,10,46,0,1527,128,21,833,3,1801,0,4,3834,98,39,0,0,3,35,0,505,1,89,1,0,1,0,135,0,353,27,383,324,111,7,190,351,1843,3,13,608,7,44,3,9,0,2,203,8,1,11,1,5,2,2,11,0,95,39,51,110,2,11,6,0,142,0,31,10,28,0,4,3,1,0,0,2,6,97,5,4,4,17,2,0,1807,1385,14,0,181,6,62,14,44,20,0,3,622,0,477,0,2,36,273,424,5,134,7,5,173,0,1,0,0,0,181,0,1,0,183,204,2199,0,2,3,0,0,116,3,0,0,0,3,5,290,0,201,47,24,78,28,4349,9,0,0,0,20,43,0,0,1,1,317,12,11
DOM,0,0,0,0,0,0,2,3,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,8,2,0,0,0,0,5,2,4,3,0,0,0,0,0,3,0,0,6,5,0,0,1,0,4,0,1,0,0,0,1,1,0,11,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,1,1,0,2,0,1,3,0,2,0,0,2,0,1,0,0,0,2,1,1,2,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,3,1,0,0,0,0,1,3,2,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,3,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,2,0,1,0,0,0,1,52,0,0,0,1,3,1,0,0,0,0,0,0,0
DZA,0,0,0,2,0,0,29,1,1,0,15,8,1,0,75,1,1,1,7,13,0,3,0,0,0,0,14,0,0,0,1,0,80,31,4,22,1,5,0,0,0,3,0,0,1,1,0,0,5,28,72,2,0,7,0,0,2,34,0,113,3,0,15,0,1305,0,0,101,1,0,0,0,0,0,0,16,0,0,1,0,0,0,10,0,8,2,23,5,17,3,0,10,106,0,11,14,1,0,1,0,0,0,9,6,0,15,0,6,0,0,0,0,4,4,4,62,1,0,1,0,6,0,3,2,2,0,1,3,0,1,0,0,0,50,0,0,1,3,0,0,17,11,0,0,1,5,38,0,0,0,0,0,17,0,27,0,1,5,20,14,1,140,1,5,5,0,0,0,0,0,8,0,0,0,5,5,13,0,0,4,1,0,4,0,0,0,0,0,70,46,0,6,0,0,6,0,82,0,0,0,0,1,3,0,0,0,1,22,0,0
ECU,0,0,0,0,0,0,2,41,1,0,27,10,0,0,45,0,0,9,1,0,1,0,0,0,0,20,100,1,1,0,0,0,34,24,37,42,2,1,2,0,0,71,0,0,13,15,0,1,1,25,79,0,1,10,1,2,0,12,0,197,0,3,4,1,77,0,0,95,1,1,0,0,1,0,0,5,1,0,3,2,2,5,6,0,1,8,44,23,6,0,0,4,52,1,1,20,0,3,0,0,0,0,40,1,0,1,0,0,0,0,2,0,4,0,0,4,0,0,1,0,77,0,1,0,0,0,0,2,2,0,0,0,0,4,0,0,1,1,4,0,48,4,1,0,7,0,9,14,43,3,0,0,13,0,14,4,0,0,6,33,0,9,1,0,7,0,0,2,0,0,2,0,0,0,4,0,40,0,0,0,0,0,6,0,0,0,0,1,3,8,0,9,3,2,21,13,249,0,0,0,0,41,2,0,0,0,1,17,0,0
EGY,0,9,0,2,0,0,100,23,90,0,117,150,7,0,181,5,2,26,97,27,1,3,79,3,0,1,148,1,2,0,3,0,409,196,14,345,5,8,4,4,0,94,0,1,4,4,0,1,87,134,669,1,1,46,1,34,12,0,0,250,85,16,121,1,310,0,2,552,88,9,0,0,1,0,0,137,0,0,0,0,0,2,90,0,107,17,265,100,154,38,4,39,329,2,50,459,16,17,1,2,0,1,281,93,2,64,2,43,2,0,85,0,83,4,3,39,0,1,2,0,137,0,4,1,2,1,1,4,1,1,0,1,0,186,2,3,1,22,0,0,101,29,0,0,109,40,168,3,6,16,0,2,168,0,130,2,5,243,56,140,3,2490,30,3,25,0,1,1,0,1,100,0,0,0,23,16,93,0,0,16,1,2,102,0,0,0,0,1,48,233,0,136,6,6,96,7,1354,8,0,0,0,7,11,0,0,1,50,55,4,3
ERI,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0
ESP,0,4,4,14,13,0,40,1078,202,0,1930,1458,93,0,2304,10,10,28,282,7,1,22,207,4,3,45,2018,2,2,2,5,0,2156,2635,1163,1591,6,16,7,1,1,816,0,8,87,250,5,1,179,1021,6692,1,2,1527,11,113,197,250,2,0,277,32,1074,6,6306,0,11,8571,201,25,3,4,10,0,1,1336,1,12,19,2,1,5,379,1,718,35,957,774,389,15,111,715,6436,6,32,1318,21,47,2,3,0,1,655,19,2,49,0,6,2,1,86,0,208,95,78,289,11,34,2,1,1565,0,34,6,37,0,8,6,42,2,0,3,12,201,8,5,4,34,7,0,3347,983,8,0,357,20,184,30,181,33,0,32,1514,0,2534,16,3,129,684,1210,5,453,5,9,238,0,4,12,0,0,385,0,0,0,303,338,2037,0,4,5,1,1,201,3,0,0,0,2,203,813,0,470,26,19,366,159,9676,30,0,6,0,190,94,0,0,1,1,535,7,7
EST,0,4,0,1,0,0,1,9,79,0,88,145,1,0,194,3,0,4,109,3,0,9,90,3,0,3,102,1,0,0,4,0,75,190,12,143,2,5,2,0,0,85,0,0,1,1,0,0,121,168,388,0,0,128,0,3,0,85,0,277,0,7,363,2,263,0,0,420,83,3,0,0,0,0,0,135,0,6,2,0,0,0,124,0,181,5,107,120,82,3,30,37,292,1,5,39,2,4,1,0,0,1,95,1,0,8,0,0,2,1,82,0,161,9,85,5,0,9,0,0,89,0,6,0,4,0,2,1,0,0,0,1,0,57,1,3,0,3,0,0,145,111,0,0,100,4,85,3,6,9,0,3,205,0,127,0,3,75,52,206,3,55,0,0,14,0,1,0,0,0,104,0,0,0,39,47,321,0,1,1,0,0,87,0,0,0,0,0,3,107,0,89,1,3,120,2,324,4,0,0,0,0,5,0,0,0,0,20,2,1
ETH,0,6,0,0,0,0,0,3,1,0,31,22,0,2,79,2,11,13,1,3,0,0,0,3,0,0,18,1,0,0,11,0,37,42,6,34,11,11,6,5,0,7,0,0,2,0,0,0,3,8,90,0,0,21,0,0,3,16,2,32,7,0,9,2,42,0,3,149,4,19,0,0,7,2,0,4,0,0,0,0,0,0,0,0,2,11,84,4,5,3,3,16,49,0,6,27,1,65,0,3,0,0,18,0,1,4,1,0,2,0,8,0,1,8,0,5,0,1,4,0,11,0,0,3,0,1,0,0,2,0,0,0,11,7,2,3,4,24,0,0,78,53,7,0,7,2,29,4,6,4,0,2,1,0,8,0,4,5,0,11,10,18,12,12,9,0,1,0,0,0,4,0,0,0,2,0,54,1,1,6,2,0,6,1,0,0,0,1,3,5,0,17,30,31,2,2,227,0,0,0,0,4,17,0,0,0,1,81,11,15
FIN,0,4,7,6,0,0,11,55,105,0,584,457,4,0,566,3,2,19,165,6,1,8,98,3,1,2,300,3,2,2,4,1,647,773,125,769,3,9,4,0,0,111,0,2,11,29,0,1,110,404,2005,0,1,833,0,15,4,121,0,1074,363,9,0,3,1311,0,0,2366,91,14,0,0,1,0,0,464,1,8,3,1,1,0,200,0,340,11,346,292,181,3,119,163,1250,4,21,460,6,20,2,4,0,0,289,6,3,12,0,3,2,1,85,1,180,43,58,13,3,14,3,0,172,0,22,0,11,0,2,3,3,0,0,1,8,96,3,5,1,18,0,0,1056,756,6,0,186,12,140,4,32,19,0,3,575,0,375,2,3,88,158,795,4,134,1,1,98,0,1,0,0,0,154,0,0,0,115,92,1749,0,1,2,0,0,140,0,0,0,0,1,6,235,0,206,9,20,182,12,2661,7,0,1,0,9,14,0,0,1,0,187,5,1
FJI,0,2,0,0,0,0,2,1,0,0,59,1,0,0,0,1,0,6,0,1,0,0,0,1,0,0,5,2,0,0,2,0,6,3,4,4,1,1,0,0,2,2,0,0,0,0,0,0,1,1,3,0,0,3,0,0,1,1,0,6,2,2,3,0,12,4,0,20,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,17,3,2,0,2,0,13,0,2,10,0,5,0,0,3,0,12,0,0,2,0,0,1,0,2,0,0,0,0,1,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,1,0,2,3,4,0,1,26,2,3,2,1,3,2,5,1,0,2,0,2,2,0,2,1,3,0,0,3,6,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,3,1,0,1,2,2,0,2,0,0,33,0,0,0,0,1,2,3,2,0,0,7,1,1
FRA,1,8,4,16,0,0,105,689,263,1,2982,1886,95,3,4430,121,143,36,310,13,2,12,216,5,4,34,2245,3,2,5,10,18,4696,4849,934,3499,100,219,32,34,2,416,2,2,59,72,0,3,160,1398,10172,12,3,1801,6,1305,77,310,3,6306,263,42,1311,12,0,2,69,11205,198,28,0,18,16,3,0,1480,2,2,13,68,6,2,434,10,913,115,1369,927,386,44,143,1073,8315,6,42,2494,23,122,8,61,1,3,989,33,45,450,5,29,3,4,85,3,233,314,87,900,69,26,112,1,847,1,42,53,43,8,10,18,12,13,2,15,15,262,20,109,39,48,3,1,4561,1355,26,2,529,35,285,24,143,70,1,9,2118,1,1438,2,3,217,1137,2117,9,561,16,202,538,2,5,0,0,1,375,0,0,1,322,397,2546,2,12,34,17,32,412,1,0,0,2,13,1611,940,1,626,45,40,609,96,15023,12,0,4,1,99,326,3,2,2,8,908,11,27
FSM,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,1,0,0,1,3,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,15,0,0,0,0,0,0,2,1,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,4,8,0,1,21,6,10,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,11,0,0,4,12,7,8,0,2,0,0,1,0,0,0,0,2,57,0,0,4,0,0,0,2,0,11,0,3,0,0,69,0,0,25,0,9,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,9,0,7,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,1,0,0,5,0,0,0,1,3,1,0,1,6,0,0,33,1,0,0,1,2,0,1,2,0,0,0,0,0,3,0,0,0,0,4,1,1,1,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,4,0,0,29,0,0,0,0,2,0,0,0,0,0,11,3,3
GBR,0,25,9,8,0,0,275,776,351,0,9095,2805,180,7,4699,30,66,213,338,34,8,24,319,9,3,34,2628,19,19,1,50,9,7433,6254,1220,8327,44,87,42,26,0,517,0,2,53,83,0,2,303,1687,15015,1,5,3834,7,101,95,552,4,8571,420,149,2366,20,11205,0,25,20946,316,200,1,10,126,13,0,2620,21,37,20,10,13,3,550,7,1315,225,2476,2967,699,161,328,1485,10284,29,144,3781,76,502,14,50,0,28,1522,91,35,152,8,83,6,3,183,1,295,180,104,262,17,25,46,4,866,0,64,31,145,14,12,23,32,1,7,17,199,1135,40,24,17,276,5,0,8859,2772,83,1,1695,89,675,58,207,138,0,26,2737,0,2225,2,11,371,1014,2376,38,1157,60,49,1283,3,19,2,0,6,571,0,1,1,487,581,5202,9,19,29,6,5,724,2,0,1,1,68,92,1351,0,1119,303,305,565,92,28139,15,1,7,0,75,353,1,0,2,13,2180,116,101
GEO,0,4,0,0,0,0,1,92,172,0,98,185,91,0,97,2,0,4,97,3,0,3,169,3,0,0,170,1,0,0,4,0,110,194,90,185,3,3,2,0,0,171,0,0,1,1,0,0,82,173,238,0,0,98,0,1,1,88,0,201,83,4,91,2,198,0,0,316,0,2,0,0,0,0,0,175,0,0,0,0,0,0,86,0,175,4,174,87,86,3,8,95,213,0,4,98,5,3,3,0,0,0,89,0,0,4,0,0,2,0,80,0,80,1,4,87,0,9,0,0,90,0,6,0,1,0,1,0,0,0,0,0,0,90,1,3,0,3,0,0,99,95,1,0,81,3,100,3,3,4,0,2,188,0,174,0,3,74,97,212,3,46,0,1,5,0,1,0,0,0,170,0,0,0,90,88,111,0,0,1,0,0,75,1,0,0,0,0,4,180,0,167,0,3,92,1,286,4,0,0,0,3,4,0,0,0,0,91,2,0
GHA,0,2,0,0,0,0,1,6,0,0,39,10,0,3,25,17,35,18,4,1,0,0,0,1,0,0,14,2,0,0,7,1,34,62,6,70,20,19,8,8,0,7,0,0,1,3,0,0,1,3,72,0,0,39,0,0,1,9,1,25,3,19,14,3,28,0,9,200,2,0,0,3,15,1,0,5,0,0,0,0,1,0,0,0,3,13,37,4,4,0,3,1,44,4,3,25,0,60,0,2,0,0,6,0,2,2,3,0,1,0,7,0,0,8,0,2,1,0,2,0,11,0,0,8,1,2,0,0,6,0,0,1,15,15,6,1,5,49,0,0,83,14,0,0,8,1,4,2,2,7,0,6,4,0,7,0,2,2,1,3,4,3,6,27,4,0,3,0,0,0,1,0,0,0,3,0,61,0,4,0,1,7,9,0,0,0,0,1,6,5,0,6,31,22,0,5,281,0,0,0,0,1,19,0,0,0,2,125,9,9
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,0,14,3,4,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,2,10,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,2,0,1,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,11,0,0,0,0,0,1,0,0,0,0,6,0,0
GMB,0,0,0,0,0,0,0,1,1,0,9,4,0,0,25,3,15,10,0,0,1,0,1,0,0,0,3,1,0,0,1,2,6,17,0,3,10,3,1,5,0,2,0,0,1,1,0,1,0,0,13,0,1,3,0,0,1,1,0,10,0,7,1,0,16,0,4,126,0,15,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,5,12,1,2,0,0,1,8,1,0,3,0,23,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,2,0,1,0,0,7,0,0,0,1,5,0,0,0,10,0,3,0,1,10,0,0,10,2,0,0,4,0,2,0,2,0,0,3,0,0,3,0,0,0,1,2,2,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,1,0,1,0,5,7,3,0,1,44,0,0,0,0,1,10,0,0,0,0,16,3,0
GNB,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,0,0,0,0,0,0,0,2,0,0,3,0,0,13,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,7,0,11,0,0,42,144,191,0,416,567,86,0,676,2,2,9,194,3,0,8,173,3,0,1,328,1,1,0,7,0,473,807,153,510,2,7,2,1,0,182,0,2,9,26,0,0,384,488,1782,0,0,505,1,16,5,137,0,1336,135,4,464,2,1480,0,0,2620,175,5,0,0,1,0,0,0,0,6,2,2,1,3,227,0,354,13,363,249,157,7,44,275,1729,2,16,331,18,9,1,2,0,0,225,13,0,25,0,6,2,1,83,0,144,24,33,109,1,11,3,0,178,0,32,0,25,0,9,4,0,0,0,1,0,113,2,4,0,13,0,0,905,422,2,0,127,6,128,6,31,16,0,3,574,0,483,0,3,96,322,395,4,219,2,1,82,0,3,1,0,0,328,0,0,0,195,189,701,0,1,5,0,0,156,0,0,0,0,1,29,444,0,236,4,5,152,11,2283,5,0,1,0,8,16,0,0,1,0,190,2,1
GRD,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,15,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,6,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,123,0,0,0,2,0,0,0,0,0,0,3,0,0
GRL,0,0,0,0,0,0,1,0,0,0,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,0,0,89,0,0,0,0,0,12,6,0,8,0,2,0,0,37,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,4,0,0,6,0,0,7,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,0,0,4,0,0,0,0,0,0,0,11,0,6,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,17,0,0,0,0,0,0,0,0,0,0,1,0,0
GTM,0,0,0,0,0,0,0,11,1,0,15,7,0,0,7,0,0,1,3,0,0,0,0,0,0,1,12,0,0,0,0,0,14,8,5,5,0,0,5,0,0,8,0,0,14,1,0,0,0,5,13,0,0,1,2,1,3,0,0,19,2,0,3,0,13,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,1,7,2,0,4,0,8,0,0,0,1,5,11,0,0,3,0,5,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,0,5,7,1,0,2,1,6,9,6,1,0,0,5,0,1,0,0,0,3,4,0,0,0,0,0,0,0,12,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,3,2,2,103,1,0,0,0,1,0,0,0,0,0,3,6,1
GUF,0,0,0,0,0,0,0,2,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,4,2,1,2,0,3,1,0,0,4,0,0,1,0,0,0,0,2,6,0,0,0,0,0,2,0,0,2,0,0,1,0,68,0,2,10,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,16,0,0,0,0,2,1,0,0,0,0,0,0,0
