,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0
AUS,2,34,6,2,32,6,0,930,1384,502,0,0,3044,248,10,4438,54,0,54,1274,622,50,24,66,518,18,16,64,4612,32,120,58,90,6,12344,6160,1900,32122,42,108,58,24,12,1170,0,4,160,56,8,6,426,1818,13810,0,2,4490,14,136,406,1032,0,7506,718,446,2606,318,16,9988,4,14,20,31540,584,380,4,20,92,12,0,1860,12,30,48,22,16,14,684,18,1348,1302,5302,2312,3192,552,366,2022,8370,30,308,6658,124,446,36,184,4,14,3786,280,134,214,22,48,4,12,790,6,518,218,362,2,358,116,38,36,12,1388,4,102,46,112,110,78,58,94,6,2,36,88,2762,84,150,12,466,8,6,8858,2840,310,0,6362,234,1604,124,322,606,16,250,2560,6,2158,68,144,2,788,770,2578,78,2270,60,72,3700,2,0,80,14,12,6,6,898,6,0,6,514,710,5614,12,0,26,30,0,6,26,1790,28,0,34,26,40,184,1608,4,2288,190,180,512,180,36454,84,6,2,156,0,1678,46,52,18,18,3534,60,72
AUT,0,10,8,0,48,10,0,380,660,678,0,3044,0,384,4,3346,28,0,34,68,732,16,2,112,544,6,2,28,1898,12,22,6,20,6,2996,5800,632,3382,22,48,30,10,2,708,0,6,72,186,2,0,460,2934,15412,0,0,2522,8,76,344,496,2,4812,646,82,1942,10,0,5990,2,0,30,10060,580,46,2,4,24,2,0,2116,2,16,24,12,6,2,1156,2,2046,282,1540,1322,804,26,220,1204,6926,14,116,2346,62,118,30,12,0,2,1260,46,6,88,8,10,0,136,230,0,732,194,580,0,272,22,46,16,0,834,0,138,8,130,10,94,36,22,0,0,6,18,484,38,8,6,124,10,2,4582,1830,44,0,758,32,742,42,258,88,0,4,2726,0,1908,36,84,0,320,1296,2346,16,570,10,28,572,0,0,4,0,4,6,0,1030,0,0,8,1266,1262,3316,10,0,4,12,0,4,12,692,12,0,0,4,12,116,1486,2,862,28,56,972,74,10650,80,8,0,60,2,186,4,6,38,2,934,24,14
AZE,0,0,0,2,6,0,0,212,212,386,0,248,384,0,0,28,2,0,0,6,98,0,0,8,234,0,0,0,392,0,2,0,4,0,246,396,220,434,0,0,2,0,0,220,0,0,0,154,0,0,12,382,466,0,0,384,0,10,2,38,0,268,18,10,172,0,0,416,0,0,4,670,260,6,0,0,0,0,0,378,0,0,0,0,0,0,184,0,394,160,186,12,136,16,6,216,416,0,12,410,38,8,8,0,0,0,174,12,0,10,0,2,0,2,4,0,10,4,12,0,214,0,12,0,0,166,0,2,0,4,0,8,2,2,0,0,0,0,34,4,0,0,18,0,0,392,396,2,0,14,0,188,0,160,4,0,0,426,0,270,2,68,0,8,386,708,0,32,2,0,4,0,0,0,0,0,2,0,242,0,0,0,376,226,384,2,0,0,0,0,0,2,162,4,0,0,0,0,10,694,0,232,2,12,206,0,508,14,0,0,18,0,42,0,0,6,4,386,4,6
BDI,0,0,0,0,2,0,0,0,2,0,0,10,4,0,0,30,14,0,10,2,0,0,0,0,2,0,0,0,4,4,2,0,2,0,8,12,2,32,4,16,16,2,0,2,0,0,0,0,0,0,0,2,4,0,0,6,2,2,0,4,0,2,2,12,4,0,0,16,0,0,0,24,0,6,0,2,2,0,0,2,0,0,2,0,0,2,2,2,2,2,8,2,0,2,0,2,2,0,2,4,0,26,0,2,0,2,4,0,0,0,2,4,0,0,2,0,2,0,0,0,10,0,0,6,0,4,0,2,12,2,0,0,0,4,4,0,2,2,2,2,0,8,6,2,0,6,2,0,0,2,2,2,0,6,4,0,0,2,0,2,2,2,0,0,4,0,12,2,6,12,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,12,0,0,0,0,0,0,4,0,0,24,16,0,0,28,0,0,0,0,0,2,0,0,0,0,10,6,4
BEL,2,8,18,2,48,8,0,226,746,296,0,4438,3346,28,30,0,136,0,146,132,776,16,4,90,370,6,8,54,2346,14,16,4,24,16,4452,5944,658,4546,100,250,360,58,0,706,4,8,70,162,10,4,496,2236,11462,0,0,3160,12,218,460,718,2,7602,846,352,2226,14,2,12252,2,4,42,15366,398,138,2,56,64,6,0,2252,6,10,38,30,8,10,926,8,1576,194,1672,1820,980,72,244,1370,9334,16,82,2668,84,342,40,60,0,22,1614,88,18,246,22,10,0,10,234,4,844,514,658,2,280,82,50,54,0,940,0,142,46,166,30,76,20,78,4,0,18,38,552,12,14,32,222,18,2,11118,2010,64,0,950,64,566,96,232,144,0,14,3014,0,2512,36,32,2,382,1232,1944,76,864,24,98,658,0,0,2,20,10,4,0,836,8,0,30,550,852,3978,6,0,10,20,0,8,34,590,6,0,0,4,16,316,1388,2,786,150,240,738,102,14218,70,0,0,82,4,510,2,6,26,10,1386,60,48
BEN,0,0,2,2,8,0,0,22,20,4,0,54,28,2,14,136,0,0,92,22,10,4,0,6,6,0,0,6,66,4,6,6,8,8,84,68,20,52,88,116,58,36,0,32,4,2,14,4,0,0,6,14,110,0,0,46,4,20,10,28,2,40,12,54,22,4,0,344,2,0,22,170,12,104,0,38,24,2,0,20,0,2,4,2,2,2,20,6,10,18,50,16,24,12,6,14,64,8,16,34,6,60,8,8,0,2,26,12,2,10,14,6,0,0,8,0,8,2,6,0,28,0,6,10,0,26,0,4,50,6,2,8,10,38,16,0,8,18,22,10,2,54,104,4,2,72,20,36,0,32,4,32,10,20,22,0,2,26,0,36,12,8,0,6,24,18,14,26,12,64,16,0,0,2,10,2,2,0,26,2,0,2,12,6,30,4,0,8,2,0,6,54,8,2,0,6,4,8,20,18,2,32,62,60,10,4,180,0,0,0,4,0,24,4,2,2,4,120,20,14
BES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,2,2,0,2,0,0,10,10,2,0,54,34,0,10,146,92,0,0,28,10,0,0,2,2,0,0,2,26,0,2,6,0,8,80,128,20,26,130,96,54,56,0,10,4,0,12,0,0,0,8,12,174,0,0,38,0,12,6,22,2,40,0,64,24,2,0,396,2,0,18,290,12,146,0,38,48,6,0,12,0,0,2,0,0,2,6,10,12,10,44,12,10,2,0,8,54,2,4,40,6,100,6,18,0,0,24,2,8,6,18,0,0,0,4,2,8,8,6,0,14,0,0,36,0,12,0,8,140,10,6,0,10,28,20,0,2,40,6,2,0,100,104,2,2,80,24,18,0,16,2,16,2,8,12,0,10,14,0,18,8,2,0,0,20,10,22,8,12,110,18,0,0,0,20,2,0,0,8,2,0,0,6,6,30,8,0,6,8,0,28,102,28,0,0,6,2,8,20,8,2,12,82,92,8,2,350,0,0,0,6,0,38,4,2,2,4,116,26,16
BGD,0,16,2,2,4,0,0,86,78,22,0,1274,68,6,2,132,22,0,28,0,14,18,0,4,6,0,0,10,152,10,32,14,10,4,442,172,68,736,12,24,18,4,0,76,0,4,14,4,0,0,22,44,344,0,0,112,6,36,14,216,0,132,26,104,76,12,0,176,0,4,8,1048,24,62,0,2,30,8,0,66,0,2,6,2,4,2,32,4,18,160,682,56,94,64,10,38,198,6,54,1146,30,120,26,32,0,2,514,14,14,14,16,12,0,0,68,0,24,6,12,0,20,0,4,16,12,84,0,14,30,12,44,2,8,56,0,0,4,26,562,6,2,8,98,2,0,256,126,200,0,108,32,334,14,54,126,0,4,94,2,66,22,14,0,26,34,106,16,446,14,14,150,0,0,6,16,0,2,0,40,0,0,2,30,18,180,8,0,2,18,0,4,2,178,4,0,0,2,0,26,168,0,74,72,60,24,14,1712,0,0,0,14,0,196,0,0,0,10,188,16,22
BGR,0,2,2,0,60,8,0,110,182,352,0,622,732,98,0,776,10,0,10,14,0,6,4,74,376,2,0,6,608,2,2,0,6,0,362,824,180,660,8,16,16,0,0,420,0,2,14,8,0,0,336,756,1382,0,0,360,4,32,260,354,0,1078,392,12,542,4,0,1040,2,0,0,1460,418,14,0,0,10,0,0,658,0,2,18,2,0,2,546,0,678,24,490,440,350,24,80,302,1300,6,14,388,48,10,14,2,0,0,424,16,0,46,0,4,0,4,192,0,428,56,414,0,94,0,28,2,0,436,0,144,2,70,2,74,8,10,0,0,12,2,336,4,2,2,42,2,2,538,334,12,0,324,20,310,16,56,30,0,0,1052,0,668,20,72,0,250,452,972,2,292,8,14,74,0,0,2,0,4,8,0,662,0,0,0,332,310,428,2,0,2,8,0,4,14,368,14,4,0,4,6,40,608,2,438,4,8,460,10,1276,68,0,0,22,0,44,2,2,18,2,202,14,2
BHR,0,0,0,0,2,0,0,84,12,2,0,50,16,0,0,16,4,0,0,18,6,0,0,2,0,0,0,0,24,0,0,0,4,0,36,18,6,58,2,4,0,0,0,12,0,0,4,0,0,0,0,6,40,0,0,12,0,34,2,136,0,30,8,18,12,4,0,38,0,2,0,102,4,12,0,0,2,0,0,18,2,0,0,0,0,0,14,0,4,14,58,24,16,28,4,10,80,0,30,22,6,8,8,4,0,0,10,52,0,20,4,10,0,0,6,0,4,0,4,0,12,0,0,0,4,16,0,6,0,6,4,2,0,2,0,0,0,2,44,0,0,0,16,0,0,30,12,12,0,20,52,98,6,8,6,0,0,22,0,16,4,8,0,76,20,24,4,180,8,0,14,0,0,0,0,0,0,0,14,0,0,0,6,4,24,0,0,0,0,0,0,0,8,0,0,0,0,0,30,64,0,16,6,4,2,0,138,2,0,0,0,0,12,0,0,4,26,44,0,0
BHS,0,0,0,2,0,0,0,2,2,0,0,24,2,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,8,0,0,0,0,34,8,2,12,0,0,0,0,0,4,0,0,12,4,2,4,0,0,22,0,0,0,2,2,2,2,0,12,0,0,0,0,0,12,0,0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,2,0,4,0,0,4,8,2,0,0,2,16,6,12,0,6,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,2,0,2,0,0,2,0,4,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,6,0,4,0,2,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,10,0,0
BIH,0,0,0,0,44,2,0,12,36,14,0,66,112,8,0,90,6,0,2,4,74,2,0,0,24,0,2,2,50,6,6,0,4,0,60,92,32,52,2,8,2,2,0,34,0,2,10,8,0,0,38,108,210,0,0,86,2,8,8,36,0,128,70,4,76,4,0,112,4,0,0,242,52,8,0,0,4,0,0,102,0,2,16,0,0,0,388,0,76,10,50,58,30,6,38,64,170,6,10,42,14,8,14,0,0,0,34,14,0,18,0,6,0,2,20,0,86,22,66,0,12,2,24,0,0,40,0,96,0,22,2,54,2,6,0,0,2,4,38,2,2,0,12,2,2,96,80,6,0,32,2,14,8,30,24,0,0,116,0,88,8,6,0,28,104,106,0,42,4,8,32,0,0,2,0,2,4,0,608,0,0,0,74,172,112,4,0,2,2,0,2,2,24,6,0,0,4,2,16,122,2,36,2,12,66,10,194,6,0,0,6,0,8,2,2,44,2,44,4,4
BLR,0,0,0,0,20,2,0,220,238,496,0,518,544,234,2,370,6,0,2,6,376,0,0,24,0,0,0,2,516,2,2,0,2,0,288,564,220,710,0,12,4,0,0,484,0,0,4,2,0,0,268,554,776,0,0,312,2,8,246,278,0,592,328,2,370,2,0,712,2,0,0,940,502,4,0,0,2,0,0,544,0,0,2,0,0,0,300,2,520,6,334,300,300,6,26,286,660,4,14,276,92,8,8,2,0,2,302,4,0,22,0,16,0,2,166,0,410,18,306,0,214,0,12,2,0,280,0,42,0,18,0,44,6,4,0,0,2,2,278,0,0,4,8,4,2,328,300,2,0,256,4,254,4,8,12,0,0,792,0,586,12,66,0,236,308,1752,4,244,8,4,16,0,0,0,0,4,4,0,520,0,0,0,272,248,346,0,0,0,2,0,2,6,254,4,0,0,2,2,8,548,2,484,0,4,444,14,780,66,0,0,2,0,42,2,2,6,0,260,4,4
BLZ,0,2,2,0,2,2,0,4,2,4,0,18,6,0,0,6,0,0,0,0,2,0,0,0,0,0,0,2,10,0,0,0,0,0,10,6,8,4,0,0,2,0,0,6,0,0,6,0,0,0,0,6,6,0,0,4,2,2,6,4,0,10,2,0,2,0,0,6,0,0,0,36,2,2,0,0,2,0,0,4,2,0,4,0,0,2,2,0,2,2,6,2,2,0,2,4,12,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,2,2,0,10,2,0,0,6,4,4,6,2,4,0,0,4,0,6,2,2,0,2,4,10,0,4,0,2,4,0,0,0,0,2,0,0,2,0,0,2,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,4,0,2,2,6,58,0,0,0,6,0,0,0,2,0,0,8,0,0
BMU,0,0,0,0,0,0,0,2,2,0,0,16,2,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,8,4,0,0,2,0,6,8,2,6,0,2,0,2,0,2,0,0,2,2,0,0,4,2,18,0,0,6,0,0,0,2,0,12,0,0,4,2,0,12,0,0,0,44,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,2,2,2,6,2,0,4,8,14,2,2,8,0,0,0,0,0,0,6,2,0,2,0,0,2,2,2,0,0,2,0,0,2,6,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,2,2,0,4,0,2,0,0,2,8,2,0,10,0,2,0,4,0,2,0,4,0,4,0,0,0,2,2,2,0,4,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,2,2,2,72,0,0,0,0,0,2,0,0,0,0,6,0,0
