,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
BDI,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0
BEL,0,0,0,0,4,50,8,220,246,0,8,0,16,6,14,92,0,0,2,6,0,0,8,168,0,0,0,4,0,490,604,44,122,16,12,30,12,14,0,0,22,0,208,1648,0,0,366,2,28,10,28,0,668,12,12,256,0,2436,0,0,1796,6,2,4,8,2,0,196,0,0,0,0,0,2,0,16,0,160,20,86,100,18,0,14,148,1056,2,4,296,0,30,2,2,0,38,2,0,4,0,0,0,0,2,0,30,26,0,42,4,12,2,0,62,0,2,6,0,0,0,4,0,0,2,6,0,0,2,10,0,1638,178,2,46,0,6,0,8,8,0,0,286,0,188,2,0,0,106,424,8,20,8,30,22,0,0,0,0,0,0,0,134,88,548,0,0,0,0,4,12,0,0,0,0,8,50,16,2,6,34,6,2540,6,0,6,32,0,0,0,10,100,6,6
BEN,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,6,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,16,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,2,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0
BGD,0,0,0,0,2,0,0,20,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,6,10,2,0,0,0,0,0,2,0,2,0,0,0,26,0,0,2,0,0,0,2,0,0,0,2,4,0,4,0,0,86,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,6,32,2,0,0,0,0,14,4,0,62,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,18,2,10,2,4,4,0,2,14,0,0,0,0,0,0,0,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,28,0,0,2,0,0,12,0,0,0,0,2,4,0,4,2,0,0,114,0,0,0,2,0,0,0,0,4,0,2
BGR,0,0,0,0,0,8,0,24,46,0,0,92,0,0,0,0,0,0,0,10,0,0,0,22,0,0,0,0,0,32,74,2,62,0,0,0,0,0,0,0,2,54,36,478,0,0,26,0,2,0,0,0,152,6,0,78,0,248,0,0,134,2,0,0,0,0,0,72,0,0,0,0,0,0,0,12,0,96,4,70,4,2,0,0,24,196,0,0,68,4,0,0,0,0,60,2,0,0,0,4,0,0,0,0,2,0,2,4,2,0,0,0,26,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,92,2,0,6,0,2,0,0,0,0,0,50,0,12,0,0,0,76,158,0,0,6,0,2,0,0,0,0,0,2,0,12,4,34,0,0,2,0,0,0,0,0,0,0,0,14,56,0,0,16,0,258,2,0,2,0,0,0,0,8,8,0,0
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0
BLR,0,0,0,0,0,0,2,4,18,0,0,6,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,12,14,0,12,0,0,0,0,0,0,0,0,0,16,268,0,0,2,0,0,0,0,0,10,0,0,14,0,56,0,0,64,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,8,38,0,0,44,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,78,0,14,0,0,0,2,216,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,48,0,112,0,0,0,0,0,0,0,2,2,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,10,0,0,2,0,0,8,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,8,0,0,0,0,0,6,0,0,2,0,0,4,0,0,2,0,0,6,0,0,12,0,0,0,0,52,0,0,38,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,40,0,0,2,0,0,0,0,0,0,0,0
BRA,2,0,0,0,0,376,2,130,92,0,0,168,0,0,6,22,0,0,0,8,0,0,22,0,0,0,0,2,0,402,152,154,118,6,6,0,0,96,0,24,82,2,88,666,0,0,108,6,0,16,14,0,410,6,2,88,0,958,0,0,832,4,0,0,0,0,0,72,0,0,4,2,0,2,4,6,0,56,10,126,14,4,0,4,102,442,2,4,224,2,10,0,0,0,50,0,0,2,0,2,0,0,0,0,6,0,2,10,0,0,2,0,152,0,0,0,0,0,0,0,0,0,0,8,2,0,0,8,4,198,90,0,14,0,8,4,24,6,0,0,142,0,202,2,0,0,34,308,0,4,4,6,12,0,0,0,0,0,0,2,62,60,162,0,0,2,0,0,20,0,0,0,0,4,12,14,6,6,24,44,2748,6,0,56,0,0,0,0,8,22,0,8
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,6,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,6,4,2,0,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2,0,0,22,0,0,0,0,0,0,0,0,8,0,2
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CAN,0,2,0,2,26,128,12,1064,248,0,0,490,6,2,6,32,2,0,0,12,0,6,2,402,4,4,0,4,0,0,746,82,746,0,0,2,2,20,0,16,18,10,170,1990,0,0,378,0,6,2,70,0,534,16,10,284,0,1998,0,0,3012,4,14,2,2,0,0,142,0,6,2,0,6,4,0,28,0,190,22,260,120,108,0,6,454,1122,18,24,1360,4,46,0,0,0,300,26,0,16,0,0,2,0,6,0,12,2,12,36,4,0,2,0,174,0,4,0,2,0,2,2,0,0,8,34,0,2,0,12,0,806,242,14,222,16,18,12,8,18,0,4,340,0,74,0,0,2,48,530,0,54,0,4,120,4,0,0,0,0,0,0,34,36,558,0,0,0,0,0,42,0,0,0,16,14,60,174,18,6,62,8,12974,0,0,50,6,0,0,0,34,110,0,10
CHE,0,0,0,0,0,60,32,366,648,6,0,604,4,8,10,74,0,0,0,14,0,0,0,152,0,0,0,6,0,746,0,28,240,18,4,6,2,18,0,6,8,66,254,4100,0,0,392,0,8,2,18,0,716,8,10,404,0,2718,0,2,2452,14,6,0,16,0,0,320,0,0,4,0,0,2,2,48,2,276,12,146,82,14,2,4,300,2078,4,6,692,0,28,0,4,0,136,0,0,4,0,0,0,4,2,0,10,2,2,22,2,0,12,0,56,0,2,0,0,0,4,0,0,0,6,18,2,6,4,8,2,942,226,8,62,4,20,4,10,8,0,10,416,0,170,0,0,0,90,772,0,4,2,18,22,0,0,0,0,0,0,0,158,110,598,2,10,0,0,0,30,0,2,0,0,8,76,112,46,14,76,4,4978,0,0,26,8,0,0,0,12,86,0,4
CHL,0,0,0,0,0,124,0,52,22,0,0,44,0,0,2,2,0,0,0,0,0,0,8,154,0,0,0,4,0,82,28,0,24,0,0,0,0,14,0,2,16,0,4,224,0,0,30,0,0,6,4,0,222,0,2,14,0,254,0,0,198,0,0,0,0,0,0,8,0,0,8,0,0,0,2,2,0,10,6,32,0,0,0,0,20,96,2,0,42,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,80,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,56,2,0,20,0,0,2,4,4,0,0,14,0,4,2,0,0,0,32,0,2,0,2,2,0,0,0,0,0,0,0,4,0,44,0,0,0,0,0,4,0,0,0,0,4,4,4,2,2,10,26,690,0,0,28,0,0,0,0,0,8,0,2
