,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,XKX,YEM,ZAF,ZMB,ZWE
SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,18,0,0,0,0,0,0,0,0,0,42,0,2
SYC,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,2,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0
SYR,0,0,2,0,0,10,12,2,0,28,16,0,0,12,4,0,0,2,2,0,2,0,0,0,0,10,0,0,0,0,0,34,8,0,34,4,2,0,4,0,0,0,0,0,2,0,4,4,68,0,0,6,0,6,0,20,2,22,2,18,6,0,78,0,0,82,2,6,2,0,0,0,6,0,0,0,0,0,0,2,0,4,0,12,4,40,2,0,4,20,0,20,16,2,12,2,0,0,4,10,4,26,0,0,0,0,16,0,2,4,0,12,0,0,0,0,12,0,2,2,2,0,0,0,2,2,0,0,0,4,0,0,2,0,0,10,4,0,0,8,16,0,0,2,0,0,4,0,2,0,0,2,2,4,0,10,6,0,8,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,18,34,0,4,0,0,0,64,10,0,0,2,0,4,0,0,14,6,2,0
TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGO,0,0,0,0,0,0,0,0,0,2,0,0,0,14,16,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,10,4,4,8,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,4,0,0,0,0,0,0,0,0,28,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0
THA,4,0,0,0,0,6,50,0,0,642,120,0,0,94,2,4,50,8,2,0,4,0,0,0,0,102,2,2,14,2,0,276,224,10,494,0,4,4,0,0,20,0,0,10,16,0,4,36,416,0,0,80,0,6,6,48,0,108,2,2,58,2,470,0,14,930,2,8,0,4,0,0,46,0,0,6,2,0,2,6,0,20,168,226,22,20,2,4,32,170,0,8,1336,0,40,0,76,0,302,4,70,36,0,6,0,2,32,0,6,10,0,10,0,2,0,2,48,0,6,0,2,30,0,8,2,0,0,4,8,320,0,2,2,20,6,216,26,44,90,2,34,4,18,104,0,16,52,0,34,2,0,0,10,52,4,70,8,6,158,0,0,4,0,0,14,0,0,18,12,180,0,0,6,0,0,0,0,0,0,0,4,12,60,210,40,28,4,4,2080,6,0,0,12,0,140,0,0,6,86,6,2
TJK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0
TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
TTO,0,0,0,0,0,2,4,0,2,14,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,10,0,0,0,0,52,0,0,2,0,0,0,0,0,6,0,0,4,6,0,0,6,16,0,6,0,0,0,0,4,0,2,0,0,8,0,12,0,0,56,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,2,10,0,6,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,6,0,8,0,0,4,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,2,2,0,92,0,0,2,10,0,0,0,0,0,2,0,0
TUN,0,0,0,0,0,16,22,0,0,30,18,0,0,130,0,2,2,10,26,0,2,0,0,0,0,20,0,0,0,4,0,162,60,10,24,4,4,2,2,0,14,0,0,4,4,0,8,12,98,0,0,12,0,72,2,48,0,276,2,4,6,0,2016,0,2,114,0,8,2,0,0,0,38,0,0,0,0,2,0,6,0,8,0,28,10,8,0,0,16,224,0,16,54,0,4,2,0,0,12,12,0,30,0,2,0,0,0,0,4,2,0,70,4,0,2,0,28,0,6,2,4,0,0,2,2,4,0,0,0,2,0,2,2,12,0,16,14,0,4,24,22,4,4,6,0,0,36,0,76,6,0,24,14,24,0,120,8,8,4,0,0,4,0,0,10,0,0,4,4,12,0,0,18,0,0,0,12,0,0,0,0,0,50,6,2,0,4,6,204,0,0,0,6,0,4,0,0,0,16,0,0
TUR,0,0,10,0,0,30,116,106,0,276,370,224,0,472,0,4,10,164,10,0,14,128,0,2,0,216,0,2,0,2,0,496,534,72,446,0,0,0,0,0,134,0,0,8,10,0,138,244,1344,0,0,230,0,48,6,124,2,614,96,2,282,0,932,0,2,1382,120,4,0,2,0,0,478,12,0,2,0,2,2,134,0,266,16,336,128,274,2,18,282,938,0,42,382,18,4,4,0,0,224,10,0,48,0,4,0,2,4,2,122,8,28,82,2,2,0,0,150,0,48,0,12,0,4,6,2,0,0,0,0,50,2,0,0,20,0,630,176,2,94,4,232,8,14,12,0,0,356,0,254,2,10,12,254,378,0,136,6,4,70,0,0,8,0,0,180,0,0,116,120,350,0,0,34,0,0,0,60,0,12,0,4,50,0,196,0,4,130,8,3584,14,0,0,12,0,8,0,0,2,116,0,0
TWN,0,0,0,0,0,14,96,134,0,740,252,38,0,172,0,2,20,82,4,0,4,112,2,0,0,226,0,6,0,0,0,716,458,78,2656,0,0,2,0,0,116,0,0,12,6,0,68,184,990,0,0,108,0,6,8,68,0,452,72,0,254,0,814,0,0,1342,110,6,0,2,0,0,254,0,0,2,0,0,4,86,0,168,72,722,94,106,2,18,190,530,0,6,1784,0,6,0,8,0,892,4,2,10,0,2,0,0,8,0,90,6,16,52,0,14,4,0,154,0,0,6,0,0,0,2,0,0,0,2,0,134,0,6,0,6,0,268,136,2,148,0,88,6,12,110,0,4,316,2,156,2,0,2,90,576,0,50,2,2,414,4,0,0,0,0,110,4,0,140,104,240,2,0,0,0,0,0,210,0,0,0,2,6,196,0,8,2,90,0,6906,10,0,0,22,0,88,0,0,0,68,0,6
TZA,0,0,0,0,0,4,6,0,0,52,30,0,2,84,10,14,12,2,0,0,2,0,0,0,0,26,2,0,0,6,2,64,140,2,8,0,20,4,8,0,6,0,0,4,0,0,2,4,102,0,0,84,0,2,4,2,0,34,2,12,10,0,56,2,6,428,0,34,0,14,0,0,4,0,2,0,0,0,0,0,0,6,14,24,2,4,2,0,14,24,2,0,36,0,162,0,6,0,10,4,2,0,2,0,0,0,0,2,0,0,0,4,0,0,6,0,10,0,2,14,2,2,0,0,20,0,0,2,30,8,0,0,0,30,6,116,54,0,12,0,4,0,10,8,0,6,4,0,10,0,0,0,0,10,10,0,6,16,4,0,2,0,0,0,2,0,0,0,2,92,2,0,4,0,0,10,40,0,0,0,0,2,0,8,0,96,0,0,446,0,0,0,4,0,6,0,0,0,84,26,20
UGA,2,2,0,0,0,0,14,0,0,28,18,0,2,64,6,8,8,2,0,0,2,0,0,0,0,14,0,2,0,8,0,124,52,6,28,2,14,14,4,0,8,0,0,2,0,0,0,2,82,0,0,42,0,2,2,8,0,24,0,18,12,0,56,0,2,364,0,18,0,12,0,0,6,2,0,2,0,0,2,2,0,0,16,26,10,0,2,0,8,24,0,0,20,0,188,0,2,0,6,2,2,6,0,0,0,0,0,2,2,2,0,0,0,0,2,0,6,0,0,4,0,0,0,0,18,0,0,0,28,8,0,0,2,34,0,114,58,0,4,0,12,0,12,12,0,0,6,0,2,2,0,0,0,0,20,4,20,8,4,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,2,28,0,0,0,2,0,4,2,96,0,2,0,628,0,0,0,2,0,6,0,0,0,128,42,46
UKR,0,0,0,0,0,4,22,92,0,86,236,20,0,230,0,4,0,162,2,0,2,122,0,0,0,148,0,0,0,0,0,174,198,18,178,0,2,0,0,0,72,0,0,0,24,0,74,194,1134,0,0,70,0,0,0,20,0,336,86,2,170,0,654,0,0,624,84,0,0,0,0,0,174,0,4,0,0,0,0,110,0,152,0,166,96,76,0,8,166,438,0,0,256,38,0,6,0,0,198,4,0,10,0,0,0,0,0,0,156,2,32,10,0,24,0,0,188,0,16,0,0,0,8,10,2,0,0,0,0,32,0,0,0,6,0,138,72,0,70,0,66,0,20,2,0,0,850,0,110,0,0,4,74,1156,0,12,0,0,10,0,0,0,0,0,92,0,0,174,60,200,0,0,0,0,0,0,4,6,2,0,2,4,130,90,0,2,0,0,1156,16,0,0,2,0,2,0,0,0,42,2,0
URY,0,0,0,0,0,0,276,0,0,22,16,0,0,22,0,0,0,2,0,0,0,0,0,0,6,242,0,0,0,0,0,38,16,108,28,0,0,2,0,0,36,0,0,2,6,0,0,0,54,0,0,40,2,0,6,0,0,184,0,0,4,0,132,0,2,46,0,0,0,0,0,0,4,0,0,2,2,0,2,0,0,0,2,12,4,4,0,2,10,60,0,0,26,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,2,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,44,12,0,8,0,0,2,14,2,0,0,12,0,16,12,0,0,0,6,0,6,0,4,4,0,0,2,0,0,0,0,0,2,2,44,0,0,0,0,0,0,4,0,0,0,0,6,8,0,0,0,0,0,312,0,0,0,22,0,0,0,0,0,24,0,4
USA,44,2,18,2,16,476,2866,304,2,14632,5076,74,6,6876,44,64,466,512,18,20,44,222,22,46,166,8430,48,18,8,96,12,31954,11864,2416,35730,68,198,82,28,4,1318,0,8,438,126,0,374,2594,34872,2,22,5360,48,126,282,1564,10,13892,382,228,3676,32,22754,4,44,39988,268,250,14,60,8,4,3784,146,34,172,28,16,86,722,62,2080,410,7308,2674,1806,54,514,7184,20370,120,362,18468,124,950,24,86,22,13920,182,38,440,20,22,0,100,128,20,296,148,110,206,22,88,146,0,4554,2,64,188,28,22,38,86,72,12,10,40,248,706,32,50,38,496,96,12874,3546,154,3148,120,816,362,782,456,4,64,4420,2,2558,80,12,220,1028,5512,78,1152,112,116,3764,0,26,54,4,0,596,0,4,692,756,8478,18,18,64,0,0,18,2080,12,2,2,92,204,3584,6906,446,628,1156,312,0,68,20,4,558,2,338,6,0,20,3098,252,128
UZB,0,0,0,0,0,2,0,12,0,6,6,2,0,16,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,20,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,10,102,0,0,8,0,0,0,2,0,32,0,0,8,0,18,0,0,18,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,36,4,4,0,4,8,38,0,0,26,10,0,2,0,0,20,0,6,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,14,8,8,0,0,10,0,2,0,0,0,12,0,14,0,0,0,2,92,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,10,0,0,0,6,0,0,0,0,0,14,10,0,0,16,0,68,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,6,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,4,0,0
VCT,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
VEN,0,0,0,0,0,6,118,0,0,54,6,0,0,40,0,0,2,2,0,0,2,2,0,2,10,156,2,0,0,0,0,114,50,74,38,0,2,4,0,0,178,0,0,40,56,0,0,10,108,0,2,6,8,2,26,2,0,450,2,0,8,0,204,0,2,176,0,0,0,0,0,0,10,0,0,18,8,0,10,4,0,8,6,26,4,4,0,0,10,94,0,2,30,0,10,0,0,0,12,4,0,6,0,0,0,0,0,0,2,2,0,8,0,2,2,0,174,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,10,46,8,0,14,0,4,26,52,12,0,0,24,0,44,20,0,2,2,10,0,4,0,0,4,0,0,4,0,0,4,0,2,4,8,16,0,0,2,0,0,0,12,0,0,0,10,6,12,22,4,2,2,22,558,0,0,0,0,0,4,0,0,0,20,0,0
VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
VNM,0,0,0,0,0,10,28,2,0,240,26,0,2,126,0,4,32,8,2,0,0,10,0,0,14,28,0,2,4,0,0,42,84,8,168,0,0,2,0,0,8,0,0,4,12,0,0,32,180,0,0,62,0,4,2,8,0,50,2,2,12,2,290,0,0,246,2,18,0,2,0,0,14,0,0,2,0,0,0,8,0,16,74,68,18,8,0,4,6,58,0,4,404,0,18,2,36,0,340,2,22,2,0,0,0,0,10,0,4,0,0,6,0,0,0,0,22,0,2,2,0,6,0,6,4,0,0,0,4,38,0,2,0,6,2,124,28,24,16,0,16,2,2,50,0,4,36,0,26,0,0,0,12,82,2,4,0,2,76,0,0,2,0,0,2,0,0,4,16,138,0,0,4,0,0,0,140,0,0,0,0,4,8,88,6,6,2,0,338,0,0,0,4,0,0,0,0,0,18,2,0
VUT,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
XKX,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEM,0,2,2,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,46,4,0,0,4,0,0,12,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,2,2,0,0,12,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,6,2,2,0,16,0,0,0,0,0,0,2,0,0,0,0,14,0,2,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,0,8,0,0,0,20,172,50,0,908,202,14,4,428,10,26,18,42,0,2,2,20,0,2,0,294,2,8,0,58,2,690,516,142,380,22,120,16,6,0,66,0,0,4,20,0,10,140,1116,0,0,288,2,18,6,46,0,442,26,46,122,0,900,0,18,2402,14,82,4,18,0,0,78,2,2,6,0,0,2,56,2,146,30,360,78,60,4,10,146,500,4,0,326,0,202,2,4,4,84,2,4,22,0,0,12,0,12,18,10,16,2,24,0,0,18,0,186,0,2,18,2,0,0,2,46,4,0,14,100,50,52,0,10,298,2,590,270,2,162,10,54,0,46,26,0,0,212,0,142,4,0,12,84,198,12,78,26,20,26,0,0,0,0,0,24,0,0,72,24,464,42,4,6,0,0,8,86,0,0,0,2,16,116,68,84,128,42,24,3098,0,4,0,20,0,18,0,0,0,0,90,136
ZMB,0,0,0,0,0,0,8,0,0,10,4,0,0,18,4,0,0,4,0,0,0,0,0,0,0,8,0,2,0,4,0,18,24,2,8,4,8,10,2,0,0,0,0,0,0,0,0,4,24,0,0,14,0,0,2,4,0,8,0,6,2,0,12,0,0,122,2,8,0,6,0,0,2,0,0,8,0,0,0,0,0,2,2,16,12,0,2,0,2,10,0,0,16,0,30,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,4,0,0,0,26,0,0,0,0,6,0,32,26,0,4,0,12,0,6,2,0,0,0,0,2,0,0,0,0,0,16,0,2,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,6,0,0,0,0,0,0,0,26,42,2,0,252,0,0,0,0,0,2,0,0,0,90,0,18
ZWE,0,0,0,0,0,0,0,0,0,12,6,0,0,20,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,8,24,2,2,0,6,0,6,0,0,0,0,0,0,0,0,2,16,0,0,8,0,0,0,2,0,4,0,6,2,0,20,0,0,108,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,2,0,18,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,4,0,0,0,32,0,10,2,0,6,0,30,42,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,6,20,46,0,4,128,0,0,0,0,0,0,0,0,0,136,18,0
