,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AZE,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,12,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,20,0,2,4,4,0,2,2,0,6,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,0,0,0,0,4,0,0,0,0,2,2,44,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,96,0,0,0,6,0,22,2,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,2,0
BEL,0,2,2,0,4,16,110,42,0,506,516,6,8,0,30,30,16,168,2,0,2,30,0,0,46,288,0,0,0,4,0,1064,1242,112,466,8,20,30,4,0,20,0,0,10,52,4,408,2892,0,0,590,0,34,20,54,0,1380,26,22,390,0,3810,2,0,3240,18,10,2,16,2,0,334,0,0,0,2,0,4,44,0,390,10,152,190,28,0,30,304,1816,0,2,570,26,62,0,6,0,126,6,6,12,0,0,0,0,16,0,38,90,6,44,8,6,6,138,0,8,4,8,0,0,0,6,0,0,0,14,16,6,2,6,16,8,2896,284,12,108,2,2,4,46,8,0,0,692,0,346,0,2,4,164,672,12,14,2,14,58,0,2,0,80,0,90,96,832,0,4,4,0,4,52,0,0,0,46,104,66,30,26,102,8,4188,12,0,36,72,0,0,0,246,20,4
BEN,0,0,0,0,0,0,0,0,0,2,0,0,0,30,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,14,0,0,12,14,2,2,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,2,0,0,0,0,0,0,70,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,2,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,22,0,0,0,0,0,0,0,10,0,4
BFA,0,2,0,0,0,0,2,0,0,2,14,0,0,30,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,10,28,2,4,14,10,0,0,0,0,0,0,0,0,0,4,30,0,0,10,0,0,0,2,0,2,2,0,0,0,96,0,4,36,0,12,0,4,0,0,4,0,0,0,0,0,0,2,0,2,4,4,2,0,0,2,0,40,0,0,2,0,10,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,10,2,0,0,0,0,0,0,0,0,2,0,0,2,6,0,26,2,0,2,0,0,0,2,2,0,0,2,0,2,0,0,0,0,2,2,0,2,14,0,0,0,0,2,0,2,2,18,0,0,0,0,14,0,0,0,0,0,2,0,4,2,0,0,48,0,0,0,2,0,0,0,12,0,6
BGD,2,0,0,0,0,0,0,0,0,44,12,0,0,16,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,22,26,4,16,0,0,0,0,0,2,0,0,0,0,0,0,34,0,0,10,0,0,0,2,0,6,0,2,4,0,24,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,56,2,0,0,0,14,28,0,0,198,0,0,0,0,0,16,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,4,0,0,0,0,20,0,0,0,0,0,12,6,6,8,2,16,0,2,8,0,0,2,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,2,0,2,2,56,0,0,2,0,0,18,0,0,0,0,0,2,4,2,0,0,262,0,0,2,2,0,0,0,8,0,0
BGR,0,0,6,0,2,0,4,16,0,30,74,0,0,168,0,0,2,0,0,0,4,6,0,0,0,38,0,0,0,0,0,46,108,14,60,0,0,0,0,0,2,0,0,0,0,22,70,630,0,0,38,0,0,2,6,0,162,8,0,46,0,310,0,0,272,2,2,0,0,0,0,84,0,0,0,0,0,0,24,0,92,0,60,40,6,0,2,40,284,0,0,98,4,0,0,0,0,42,0,0,0,0,2,0,0,0,0,6,2,12,0,0,0,0,22,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,74,18,0,6,0,0,0,0,0,0,0,166,0,42,0,0,0,54,196,0,2,0,0,4,0,0,0,40,0,48,8,104,0,0,0,0,0,2,4,0,0,0,40,24,0,0,48,2,340,2,0,0,2,0,0,0,12,0,0
BHR,0,0,0,0,0,6,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,2,0,0,0,0,6,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,2,6,0,8,0,0,0,0,0,0,0,6,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,2,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0
BHS,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
BIH,0,0,2,0,0,0,0,0,0,2,16,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,2,2,0,2,0,8,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,60,0,6,0,0,0,0,0,0,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,36,0,6,42,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,2,0,14,12,0,0,30,0,0,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,28,48,2,22,0,0,0,0,0,2,0,0,0,0,0,14,280,0,0,4,0,0,0,0,0,30,2,0,28,0,80,0,0,92,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,4,0,2,8,0,0,0,14,58,0,14,36,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,12,2,8,0,0,2,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,0,0,0,0,0,0,0,0,0,150,0,44,0,0,0,14,334,0,0,0,0,0,0,0,0,0,0,4,10,30,0,0,0,0,0,0,0,0,0,0,2,2,0,0,58,0,96,0,0,0,0,0,0,0,4,0,0
BLZ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,4,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,4,0,0,0,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,16,12,6,4,0,0,0,0,0,8,0,0,2,12,0,0,28,0,0,6,2,0,12,0,0,38,0,0,0,0,28,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,6,2,0,0,0,6,4,14,0,0,0,2,0,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,86,0,0,10,0,0,0,0,0,0,0
BRA,0,2,0,0,4,4,788,6,0,382,138,0,0,288,6,2,4,38,0,0,0,16,0,0,22,0,2,0,0,6,0,844,314,268,302,0,8,0,2,0,184,0,0,56,106,0,158,1424,0,0,136,0,2,76,8,0,666,10,2,110,0,1538,0,0,1524,6,2,2,0,0,0,68,0,0,12,0,0,6,50,0,74,10,284,84,12,0,6,150,772,0,2,464,0,10,0,2,0,162,8,4,2,0,0,0,0,8,0,6,0,4,18,2,0,2,318,0,2,2,4,0,0,0,8,2,0,4,4,10,0,4,0,12,6,438,104,0,60,8,6,32,58,14,0,0,162,0,444,8,2,0,28,376,0,0,0,2,36,0,0,4,28,6,12,34,284,0,0,0,0,0,50,0,0,0,4,72,76,14,10,44,126,4612,6,0,106,12,0,0,2,112,0,2
BRB,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,2,32,0,0,0,0,0,0,0,4,0,0
BRN,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
BWA,0,0,0,0,0,0,4,0,0,8,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,22,8,2,6,0,14,6,0,0,0,0,0,0,0,0,2,14,0,0,2,0,0,0,0,0,4,2,0,0,0,20,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,6,0,0,0,2,0,6,0,0,4,0,10,0,0,0,2,2,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,2,0,0,2,6,0,4,10,0,2,0,0,0,2,2,0,0,2,0,4,0,0,0,0,8,0,0,0,4,0,0,0,0,2,0,2,2,6,6,0,0,0,0,4,0,0,0,0,2,2,4,6,0,0,72,0,0,0,0,0,0,0,44,0,6
CAF,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,4,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,0,2,76,322,22,0,2028,518,8,0,1064,6,10,22,46,6,2,4,28,2,4,16,844,14,0,0,22,0,0,1322,194,2362,0,6,2,0,0,100,0,0,38,28,4,356,3970,0,2,642,10,18,64,130,2,1428,44,10,576,0,3686,0,4,5942,6,20,2,4,2,0,272,2,12,12,0,2,8,42,4,300,40,502,346,436,4,38,656,2020,18,30,1964,26,42,2,4,0,902,40,2,58,0,6,0,0,20,0,28,10,0,58,8,10,4,516,0,0,4,8,2,0,4,2,0,0,4,2,42,4,0,4,34,2,1586,680,8,410,34,60,26,46,40,0,4,636,0,190,4,2,4,116,942,0,86,2,12,264,2,0,4,48,2,98,82,1188,2,2,10,2,4,138,0,0,22,56,218,422,42,32,104,22,21952,4,2,62,30,0,0,0,364,6,20
