,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AUS,4,8,10,16,18,0,0,1000,1406,348,0,0,3068,228,10,4762,40,2,44,1636,618,54,10,44,2,404,12,10,60,4960,18,110,116,112,8,13030,6392,1952,34756,44,126,34,32,4,1150,0,8,126,60,0,4,360,1864,14410,0,4,4790,24,172,378,1040,6,8098,646,580,2582,294,18,10526,4,28,18,32074,448,496,2,26,78,16,0,1734,18,24,54,20,16,50,656,12,1228,1392,5992,2,2388,3596,658,324,2056,9108,24,400,7186,130,558,62,170,22,4,3966,224,96,260,6,44,2,14,800,2,422,196,272,0,340,98,20,52,22,1394,6,60,22,64,138,136,82,86,12,0,54,80,3188,84,146,18,580,14,9070,2978,402,12,6398,240,1820,134,328,676,22,250,2594,2,2180,54,200,0,792,802,2608,72,2476,88,84,4028,6,0,80,32,18,0,6,660,2,4,6,448,630,5788,16,0,30,28,4,6,8,1748,26,0,46,42,28,180,1708,2,2322,230,222,486,176,37558,56,4,2,104,0,2258,40,60,16,48,3680,104,114
AUT,0,6,6,2,34,2,2,306,546,476,0,3068,0,278,6,3134,10,0,38,50,728,8,6,110,0,390,2,2,16,1724,4,24,4,16,2,3296,5702,602,3386,10,32,16,6,0,566,0,2,48,136,2,0,400,2784,15606,0,0,2186,14,54,274,464,2,4756,510,118,1652,10,2,5790,0,2,22,9286,430,38,2,4,16,0,0,1776,2,10,12,12,0,8,1004,2,1772,196,1328,0,1050,870,44,154,1224,7214,8,202,2214,68,156,26,18,0,0,994,32,10,84,0,20,0,116,176,0,516,170,360,0,222,14,30,16,6,666,0,116,8,94,16,192,30,20,2,0,6,20,392,36,2,6,116,10,4630,1754,46,0,642,20,556,36,172,78,0,10,2420,4,1634,36,152,0,248,1044,2308,16,434,32,34,554,4,0,2,6,8,8,0,848,0,0,2,940,1168,3078,6,0,2,6,2,6,6,564,14,4,2,0,8,110,1382,0,720,28,42,658,54,10662,68,4,0,56,0,172,6,2,20,8,902,18,30
AZE,0,2,2,6,4,0,0,172,178,232,0,228,278,0,2,50,12,0,2,22,176,10,0,10,0,192,0,0,6,278,0,0,0,12,2,312,288,160,380,2,10,2,0,0,178,0,0,8,92,0,0,18,296,384,0,0,276,2,28,4,56,0,226,28,28,126,0,0,310,0,6,2,542,202,16,0,0,2,0,0,264,0,0,2,0,4,2,134,2,286,110,180,0,24,242,36,12,184,372,2,32,300,46,14,28,2,0,0,126,18,2,16,0,10,0,0,24,0,12,4,14,0,168,0,24,2,0,124,0,10,10,6,2,8,4,2,2,0,0,2,36,2,0,6,26,2,298,294,16,0,22,10,152,16,106,16,0,2,328,0,210,8,134,0,22,288,568,14,98,10,2,18,0,0,0,0,2,4,0,198,0,0,0,276,172,292,0,0,0,2,0,2,2,108,4,0,2,0,0,20,634,0,288,8,10,172,2,396,26,0,0,24,0,118,0,0,4,26,304,8,4
BDI,0,4,4,0,4,0,0,0,6,2,0,10,6,2,0,44,22,0,10,4,2,0,0,0,0,4,2,0,2,6,2,0,0,4,6,6,18,2,26,10,20,20,6,0,6,0,0,2,2,0,0,0,4,14,0,0,6,4,2,4,6,0,2,4,6,6,0,0,24,0,0,2,24,2,14,0,2,0,0,0,2,0,0,4,0,0,2,4,6,6,4,12,0,4,2,2,0,6,16,2,4,6,2,36,2,4,0,0,2,0,2,2,0,2,0,0,2,0,4,0,2,0,8,0,0,6,0,6,0,2,6,0,2,0,2,8,2,0,2,14,6,0,0,10,16,2,24,4,2,0,4,0,6,2,6,2,0,2,2,0,2,2,2,0,0,6,2,28,2,2,10,2,0,0,0,2,2,0,0,2,4,2,0,2,2,6,0,0,0,0,0,2,6,10,0,0,4,0,0,2,4,0,4,32,20,2,2,40,2,0,0,4,0,2,0,0,0,4,22,14,8
BEL,6,6,6,12,32,2,0,236,798,232,0,4762,3134,50,44,0,142,0,138,164,690,34,0,56,0,268,2,6,42,2278,4,14,2,34,18,4772,5870,724,4824,86,256,350,58,0,682,4,8,60,160,4,0,478,2068,11756,0,0,2972,20,230,354,684,6,7632,644,362,2010,10,2,12538,0,14,54,15258,298,140,4,38,34,0,0,2266,14,6,26,42,8,12,880,16,1346,198,1622,0,1744,904,88,198,1360,9886,10,106,2614,116,406,60,48,0,22,1408,122,16,278,8,26,2,2,244,0,552,484,364,0,310,66,38,26,0,900,0,120,42,126,16,158,14,82,10,0,26,40,542,18,12,28,276,2,11134,1930,86,0,890,72,504,90,244,150,2,24,2820,2,2380,24,36,0,342,1086,2006,108,672,24,100,664,2,0,2,6,14,6,10,746,14,0,18,406,764,3820,8,0,8,10,0,2,8,578,8,0,2,0,10,252,1482,0,754,196,248,512,74,14514,54,4,0,56,0,544,0,0,16,28,1402,58,46
BEN,0,2,6,10,4,0,0,16,22,2,0,40,10,12,22,142,0,0,72,26,8,12,0,2,0,4,2,0,8,52,4,6,8,20,10,86,70,10,70,66,98,22,22,0,34,6,2,18,4,0,0,12,10,116,0,0,22,8,18,6,30,0,42,12,40,24,0,0,304,0,12,18,188,14,98,0,14,4,2,0,8,0,0,4,0,0,2,20,10,10,40,68,0,18,24,20,10,18,50,4,24,32,14,94,22,4,0,0,30,20,2,14,6,8,0,0,16,0,6,6,6,0,18,0,0,8,0,30,0,4,36,6,4,0,8,34,16,0,10,22,32,16,0,44,106,2,56,24,28,0,26,4,26,18,20,24,0,4,24,0,34,6,12,0,18,28,22,30,32,12,46,22,0,0,2,6,2,0,0,22,0,2,0,8,8,34,6,0,10,0,0,2,42,22,0,0,12,0,8,16,12,0,26,38,58,16,4,184,6,0,0,6,0,32,0,0,0,18,110,20,10
BES,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,2,6,0,2,0,0,4,12,2,0,44,38,2,10,138,72,0,0,16,4,2,0,0,0,2,0,0,4,38,0,0,4,4,12,110,96,18,30,108,76,30,18,0,18,4,0,6,4,0,0,2,6,130,0,0,38,2,6,2,14,0,36,4,36,20,0,0,336,0,0,16,260,8,96,0,22,32,6,0,4,0,0,4,0,0,4,4,4,4,20,48,0,10,8,2,0,10,80,2,4,34,4,98,4,6,0,0,16,0,6,6,2,2,0,0,2,8,6,4,2,0,28,0,0,10,0,16,0,4,74,2,12,0,6,20,6,0,6,26,8,2,0,44,72,2,60,24,14,0,12,0,12,4,4,6,0,2,8,0,16,4,0,0,2,14,12,12,4,6,86,4,0,0,0,8,2,0,0,4,0,2,0,2,4,18,12,0,4,2,0,16,68,24,0,0,8,2,4,18,12,0,16,40,58,4,6,276,2,0,0,6,0,18,0,0,0,2,76,24,12
BGD,2,20,2,12,4,0,0,146,130,14,0,1636,50,22,4,164,26,0,16,0,22,26,2,2,2,16,0,0,16,178,6,26,14,24,2,574,186,88,1128,6,34,22,4,0,116,0,0,14,6,0,0,20,106,396,0,0,114,6,40,6,368,0,170,36,104,120,18,0,242,0,18,2,1358,22,82,0,4,28,6,0,66,2,0,22,0,10,6,44,16,28,214,976,0,78,196,88,24,54,248,6,84,1326,42,140,48,28,0,0,746,56,12,50,0,20,0,0,92,8,22,8,4,0,28,0,0,6,12,124,0,8,16,10,50,0,18,32,8,0,6,34,870,4,0,6,150,2,280,120,190,0,106,50,506,34,72,162,0,16,134,0,106,16,40,0,86,100,120,32,770,30,12,168,0,0,0,8,2,0,0,52,2,0,0,38,26,250,2,0,0,12,0,2,4,218,0,0,2,0,12,32,214,0,136,62,54,40,10,2154,6,0,0,12,0,296,0,2,0,28,262,38,48
BGR,0,4,4,6,68,0,0,156,236,330,0,618,728,176,2,690,8,0,4,22,0,12,8,84,0,372,0,0,4,608,2,8,0,16,2,426,804,216,648,8,22,6,0,0,406,0,2,18,8,0,0,268,740,1444,0,0,438,12,40,200,302,2,1088,310,10,492,0,2,1034,2,6,2,1468,404,20,0,2,2,2,0,778,2,2,6,0,0,6,512,2,730,38,430,0,392,296,42,50,346,1358,6,22,434,74,22,26,4,0,0,350,26,2,80,0,10,0,0,170,0,370,32,316,0,176,0,48,2,0,324,0,178,2,54,6,182,14,12,6,0,14,4,256,6,0,2,40,2,554,358,18,0,254,36,252,20,46,24,0,6,1116,2,660,10,140,0,228,518,958,8,148,10,8,52,0,0,2,0,6,8,0,670,0,0,0,400,386,444,2,0,2,4,0,4,12,300,12,4,2,0,0,66,680,0,390,14,20,422,12,1274,50,0,0,16,0,70,0,0,26,10,240,12,6
BHR,0,2,0,10,0,0,0,136,30,4,0,54,8,10,0,34,12,0,2,26,12,0,0,0,0,0,0,0,0,40,0,4,0,14,0,68,32,10,72,0,14,0,0,0,34,0,0,14,4,0,0,16,12,44,0,0,16,6,54,6,168,0,34,16,24,24,2,0,56,0,14,0,192,6,22,0,0,0,0,0,26,0,0,2,0,4,2,24,0,8,28,96,0,26,46,46,14,16,106,0,58,52,16,22,22,0,0,0,28,100,0,36,0,12,0,0,28,0,6,4,0,0,32,0,0,0,2,28,0,6,0,0,0,0,4,6,0,0,0,0,64,4,0,0,24,0,28,30,32,0,32,64,120,26,30,28,0,4,34,0,28,6,26,0,96,30,32,20,206,34,0,24,0,0,0,0,2,0,0,28,0,0,0,10,6,30,0,0,0,6,0,0,0,26,0,0,0,0,0,60,48,0,24,10,10,22,0,138,4,0,0,8,0,28,0,0,4,30,32,8,4
BHS,0,0,0,0,0,0,0,2,2,0,2,10,6,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,12,4,0,0,2,0,28,6,6,10,0,0,0,2,2,6,0,0,4,4,2,2,0,0,44,0,2,2,4,2,0,2,0,6,0,0,0,4,0,10,0,0,0,50,0,0,4,0,0,0,0,2,2,0,2,0,0,0,0,4,0,2,4,0,4,0,0,0,20,8,6,0,8,0,6,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,4,4,0,0,10,0,0,2,0,2,2,2,0,0,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,88,0,0,2,2,2,0,0,2,0,0,6,0,2
BIH,0,0,0,0,42,0,0,22,14,20,0,44,110,10,0,56,2,0,0,2,84,0,0,0,0,18,0,0,0,30,2,4,0,2,0,24,80,10,36,0,2,2,0,0,6,0,2,4,2,0,0,44,116,176,0,0,62,2,22,4,38,0,134,48,0,50,0,0,96,0,0,0,148,30,8,0,0,0,0,0,86,0,0,2,0,0,0,376,0,76,6,32,0,68,44,4,12,30,166,4,14,24,12,6,12,0,0,0,16,6,0,20,0,8,0,0,4,0,54,14,38,0,18,0,14,0,0,12,0,78,0,26,4,90,0,2,0,0,2,2,18,4,0,0,6,0,84,68,2,0,14,2,16,4,6,6,0,0,118,0,72,2,6,0,52,98,74,0,54,4,0,10,0,0,2,0,2,6,0,596,0,0,0,68,148,86,2,0,2,0,0,0,0,16,2,2,0,0,0,24,100,0,18,6,4,40,2,140,0,0,0,2,0,28,0,0,26,6,24,2,2
BLM,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BLR,0,2,2,0,18,0,0,164,168,342,0,404,390,192,4,268,4,0,2,16,372,0,0,18,0,0,0,0,2,388,2,6,0,4,2,236,404,170,622,2,6,4,2,0,360,0,0,2,10,0,0,202,414,626,0,0,222,2,10,182,208,0,452,222,10,330,0,2,522,0,0,2,686,380,6,0,0,2,0,0,408,0,0,6,0,0,2,220,10,390,12,276,0,208,224,6,10,218,478,4,12,218,112,14,28,4,0,0,238,2,2,6,0,10,0,0,152,8,362,2,234,0,166,0,36,4,0,208,0,28,2,12,10,136,10,2,2,0,4,8,202,0,0,2,6,2,228,226,4,0,204,2,208,6,10,6,0,2,616,0,452,6,128,0,186,226,1580,2,126,2,2,22,0,0,0,0,2,0,0,372,0,0,0,204,192,262,2,0,0,0,0,2,2,192,4,0,2,0,0,16,430,0,360,4,2,360,2,576,44,0,0,2,0,44,0,0,2,2,204,4,6
BLZ,0,0,0,0,0,0,0,4,2,2,0,12,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,14,0,4,0,0,0,14,4,2,4,2,4,2,0,0,8,0,0,2,6,0,0,0,0,16,0,0,6,2,0,8,0,0,10,0,0,0,2,0,8,0,0,2,30,0,4,0,0,2,0,0,4,2,0,4,2,4,2,0,0,0,6,6,0,0,0,0,0,2,10,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,2,14,2,0,0,0,0,4,4,2,0,0,0,0,0,8,2,0,0,0,2,6,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,2,2,2,2,2,54,0,0,0,4,0,4,0,2,0,0,10,0,0
