,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
EGY,0,0,0,0,0,22,1,0,0,12,19,1,0,39,0,0,1,4,3,0,0,0,0,0,0,6,0,0,0,0,0,40,18,0,18,1,0,0,0,2,0,0,0,0,0,8,150,0,0,12,0,6,0,0,0,16,4,1,7,0,36,0,0,88,0,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,13,0,8,8,0,1,0,5,44,1,8,96,2,2,0,1,0,13,10,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,17,7,0,3,8,2,1,0,2,0,0,16,3,0,0,3,1,10,0,96,0,1,3,0,0,0,0,1,0,0,0,1,6,0,0,5,0,0,3,0,0,0,0,3,11,0,2,1,1,2,0,293,0,0,1,0,0,0,2,0,6,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,2,2,0,2,378,14,0,244,260,2,0,519,0,0,1,72,0,0,1,8,0,0,11,256,0,0,0,1,0,450,497,220,163,0,5,1,1,117,0,0,16,123,15,146,1508,0,0,311,0,10,13,16,0,0,16,3,225,0,1784,0,1,1950,6,0,0,0,1,0,2,180,0,0,6,1,1,3,28,0,124,2,99,106,6,1,6,186,1429,1,1,248,20,3,0,0,1,71,1,0,4,0,0,0,0,0,0,25,4,4,72,0,11,0,0,361,0,2,0,4,1,0,5,2,0,0,0,4,1,1,0,1,3,679,189,1,44,0,4,6,29,4,0,0,266,427,4,0,1,87,360,0,9,1,7,15,0,0,0,0,21,0,0,38,35,396,0,0,0,1,0,18,0,0,0,0,12,52,0,41,6,2,69,33,2873,7,0,95,5,0,0,0,0,74,1,0
EST,0,0,3,0,0,0,1,0,0,3,9,0,0,5,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,12,9,0,4,0,0,0,0,0,0,0,0,0,0,11,63,0,0,18,0,1,0,4,0,16,0,0,77,0,30,0,0,42,2,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,11,0,4,5,0,0,1,1,23,0,0,12,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,9,0,13,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,14,0,1,0,0,0,0,2,0,0,19,3,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,3,5,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,48,1,0,0,0,0,0,0,0,2,0,0
ETH,0,0,0,0,0,0,0,0,0,5,4,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,0,1,0,0,0,0,0,0,0,0,0,0,1,26,0,0,2,0,0,0,1,0,3,0,0,1,0,16,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,9,0,0,7,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,26,17,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,0,29,0,0,0,0,0,0,1,0,8,0,2
FIN,0,0,0,0,0,4,13,5,0,118,111,0,0,166,0,0,3,11,0,0,1,6,0,0,0,41,0,0,0,0,0,232,187,19,70,0,0,0,0,1,0,0,12,8,1,74,605,0,0,257,0,1,1,7,0,225,77,1,0,0,361,0,0,773,2,0,0,0,0,0,0,63,0,0,0,1,0,0,0,0,110,2,25,55,2,0,41,56,307,1,2,172,1,2,0,1,0,26,24,0,0,0,0,0,0,0,0,24,5,13,1,0,3,0,0,11,0,1,0,1,0,2,1,0,0,2,2,0,0,0,0,3,0,345,240,1,10,1,0,0,6,8,0,1,136,79,0,0,0,22,283,0,0,0,1,13,0,0,0,0,9,0,0,28,33,769,1,0,0,0,0,5,0,0,0,0,2,28,0,11,4,3,31,4,1120,2,0,3,3,0,0,0,0,19,0,0
FJI,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0
FRA,0,0,3,0,0,14,219,59,0,614,480,2,3,1623,15,50,4,112,0,0,4,32,0,0,16,605,1,0,0,0,12,1459,1640,204,609,68,93,2,9,49,1,0,23,29,20,381,3639,1,0,468,0,271,22,36,1,1784,30,16,361,0,0,1,31,3617,11,2,0,3,1,1,1,399,1,1,1,34,1,1,66,2,301,27,302,157,36,2,23,426,2658,2,9,995,7,16,2,5,1,172,4,5,71,0,7,1,0,3,0,39,41,19,375,26,8,33,0,251,1,5,14,4,2,7,1,3,0,5,0,15,0,41,14,7,1,1376,346,4,98,11,8,7,23,16,0,3,793,411,3,0,2,269,1122,1,18,11,84,52,0,0,0,0,32,0,0,94,92,788,0,1,13,6,13,55,0,0,0,0,341,111,0,80,6,14,185,28,6115,16,0,67,69,2,0,1,2,171,3,7
FSM,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,1,0,0,0,0,31,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0
GBR,1,0,6,0,1,36,171,44,1,2078,598,7,0,1360,4,13,42,101,5,2,2,37,2,1,9,552,5,2,0,6,4,2152,1539,160,1176,7,29,1,3,75,0,2,23,20,29,365,4752,0,1,987,3,13,16,88,1,1950,42,28,773,2,3617,0,11,9166,8,43,1,1,57,3,2,686,2,3,5,1,2,6,58,2,353,31,502,783,132,2,72,452,2977,23,45,1585,43,139,0,3,0,281,40,5,25,0,3,1,0,56,0,57,16,20,20,4,14,18,0,259,0,13,7,14,1,14,5,0,3,13,48,93,6,2,3,65,3,2420,680,17,517,31,81,12,29,27,0,6,661,564,6,0,6,119,926,3,83,8,12,235,2,1,0,1,52,1,0,126,114,1556,1,6,11,0,1,179,0,0,0,21,16,345,0,158,83,56,158,18,10509,14,0,63,40,1,0,6,0,425,18,26
GEO,0,0,1,0,0,0,0,5,0,2,4,0,0,5,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,2,4,0,6,0,0,0,0,1,0,0,0,0,0,2,45,0,0,2,0,0,0,0,0,6,2,0,2,0,11,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,7,28,0,0,7,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,3,40,0,0,0,0,0,0,0,0,0,2,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,33,2,0,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,3,0,2,6,4,0,0,0,0,0,0,0,0,0,16,0,0,11,0,0,1,2,0,0,0,0,0,0,2,0,0,43,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0,3,7,0,14,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,1,0,0,0,1,0,0,0,0,2,2,0,0,37,0,0,0,0,0,0,0,0,8,1,0
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,3,1,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,57,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,4,0,0,0,7,10,0,62,81,0,0,154,0,0,1,44,0,0,2,5,0,0,0,29,1,0,0,0,0,136,159,2,42,0,0,0,0,0,0,0,0,0,34,61,490,0,0,73,0,8,0,7,0,180,2,0,63,0,399,0,0,686,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,60,0,19,24,1,0,6,54,343,0,0,91,14,0,0,0,0,26,3,0,1,0,0,0,0,0,0,4,5,3,3,0,1,0,0,16,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,197,59,0,6,0,1,0,0,1,0,0,115,63,0,0,0,43,120,0,2,0,0,8,0,0,0,0,22,0,0,33,37,123,0,0,0,0,0,4,0,0,0,0,1,27,0,14,1,0,20,0,842,2,0,2,1,0,0,0,1,18,0,0
GRD,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,6,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,3,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,2,0,1
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0
HRV,0,0,4,0,0,0,4,1,0,13,38,0,0,24,0,0,0,9,0,0,14,1,0,0,0,9,0,0,0,0,0,19,44,1,8,0,0,0,0,0,0,0,0,3,0,28,148,0,0,11,0,0,0,1,0,28,8,0,0,0,66,0,0,58,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,35,0,7,1,1,0,0,14,75,0,0,20,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,2,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,8,1,3,0,0,0,0,0,0,0,33,4,0,0,1,15,38,0,1,0,0,5,0,0,0,0,9,0,0,15,85,11,0,0,0,0,0,0,0,0,0,0,2,10,0,2,0,0,16,0,139,0,0,0,2,0,0,0,0,2,0,0
HTI,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,1,0,0,0,0,1,0,0
HUN,0,0,2,0,0,7,21,0,0,38,119,1,0,176,0,0,0,34,0,0,0,2,0,0,0,30,0,0,0,0,0,175,144,7,47,0,0,0,0,1,0,0,0,1,12,80,584,0,0,67,0,1,0,13,0,124,11,0,110,0,301,0,0,353,4,0,0,0,0,0,0,60,0,0,0,0,0,0,35,0,0,1,49,29,3,0,7,81,228,0,0,167,0,0,0,0,1,43,3,0,0,0,0,0,0,0,0,12,4,9,3,0,3,0,0,17,0,2,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,139,39,0,11,3,1,0,0,0,0,0,137,40,0,0,0,58,115,0,0,0,0,5,0,0,0,0,13,0,0,51,29,119,1,0,2,0,0,1,0,0,0,0,2,30,0,24,0,1,39,1,810,1,0,2,4,0,0,0,1,23,1,0
IDN,0,0,0,0,0,0,1,2,0,54,2,0,0,14,0,0,4,0,0,0,0,0,0,0,1,8,0,0,0,0,0,11,1,1,20,0,1,0,0,1,0,0,1,0,0,0,41,0,0,2,0,1,1,0,0,2,0,1,2,0,27,0,0,31,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,9,2,0,0,0,0,6,0,0,129,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,20,0,1,0,0,0,47,1,1,2,0,1,0,1,14,0,5,0,0,0,0,0,2,4,0,1,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,1,0,5,1,1,0,0,92,0,0,0,12,1,0,0,0,1,0,2
IND,0,0,0,0,0,3,20,1,0,150,52,0,0,52,0,1,39,25,0,0,0,4,0,0,0,80,0,1,0,0,0,202,130,15,162,1,0,0,0,13,0,0,4,3,12,32,591,0,0,44,3,3,4,8,2,99,4,4,25,3,302,0,0,502,0,1,0,0,0,0,0,19,0,0,1,1,0,0,7,0,49,9,0,29,14,2,0,51,192,0,2,474,0,6,0,2,0,174,13,0,1,0,4,1,0,9,0,7,0,0,6,2,0,0,0,31,1,2,1,0,0,3,0,0,0,1,0,88,0,0,0,12,0,115,35,14,30,8,12,2,4,29,0,1,89,24,0,0,2,16,116,0,13,2,0,55,0,0,0,0,8,0,0,11,28,83,0,0,2,0,0,22,0,0,0,2,0,18,0,147,2,4,11,2,1410,5,0,2,13,0,0,0,1,40,2,2
IRL,1,0,0,0,0,2,6,1,0,72,44,0,0,80,0,0,0,17,1,0,0,1,0,0,0,12,0,0,0,0,0,82,82,3,44,0,0,0,0,2,0,0,2,1,12,31,234,0,0,60,0,0,1,8,0,106,5,0,55,0,157,0,0,783,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,29,2,29,0,5,0,6,12,133,0,1,54,3,2,1,0,0,15,0,0,0,0,1,0,0,2,0,1,4,4,1,0,0,1,0,5,0,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,141,43,1,16,0,3,0,0,4,0,0,24,40,0,0,1,18,66,0,3,0,0,19,0,0,0,0,2,0,0,13,6,74,0,0,0,0,0,6,0,0,0,0,2,9,0,12,1,0,5,1,393,0,0,0,0,0,0,0,1,12,0,2
IRN,0,0,0,0,0,0,1,2,0,59,10,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,12,0,11,0,0,0,0,0,0,0,0,0,1,3,55,0,0,3,0,0,0,0,0,6,0,0,2,0,36,0,0,132,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,14,5,0,1,0,0,30,0,2,34,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,2,0,4,0,4,0,0,1,0,0,1,2,0,0,3,3,8,0,2,0,1,3,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,4,0,0,0,0,0,6,0,8,0,0,1,0,195,0,0,0,1,0,0,0,0,1,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
