,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
CMR,0,1,1,8,1,0,0,29,22,7,0,60,29,0,8,110,46,0,34,23,12,13,0,3,4,0,0,6,55,2,12,4,26,14,107,80,26,86,37,0,32,16,0,29,0,0,16,3,0,0,1,20,142,0,0,31,1,23,17,43,0,38,13,34,22,0,0,327,0,10,34,251,15,49,0,5,1,0,1,19,0,1,2,2,2,2,14,1,6,22,98,19,38,12,10,22,92,3,14,47,12,70,11,6,0,0,21,11,1,15,11,5,0,0,17,2,4,13,3,0,35,0,0,9,1,34,0,0,12,5,4,0,1,26,3,0,3,15,37,17,1,10,87,2,0,57,21,16,18,5,43,17,21,22,0,8,23,0,29,3,9,0,16,0,25,37,18,32,10,33,22,0,0,1,0,1,1,0,17,1,0,3,11,10,27,1,0,1,0,0,15,9,14,4,0,0,0,6,17,55,0,30,37,41,10,12,278,1,0,0,0,10,0,28,0,0,0,9,187,21,8
COD,0,1,3,8,0,0,0,9,11,8,0,20,16,0,15,144,21,0,17,9,7,9,0,0,0,0,0,2,17,1,8,3,8,3,42,62,12,19,21,32,0,14,0,11,0,0,11,0,0,0,2,5,51,0,0,14,0,10,10,13,0,23,10,22,14,0,0,69,0,9,6,94,6,22,0,6,8,0,0,9,0,1,7,1,1,1,9,2,2,18,22,13,10,10,11,12,40,0,10,24,7,51,9,2,0,0,19,9,0,10,12,3,0,0,11,3,1,15,2,0,7,0,0,8,0,13,0,0,13,3,3,0,0,18,4,0,3,8,15,12,1,8,26,0,0,31,15,10,9,1,16,10,12,10,0,2,11,0,15,0,9,0,10,0,12,13,19,10,0,16,10,0,0,1,1,0,0,0,11,0,0,1,10,7,21,2,0,1,0,0,3,10,6,0,0,0,0,4,9,14,0,11,31,38,9,2,193,0,0,0,0,0,2,15,1,0,0,8,56,22,9
COG,0,0,0,0,0,0,0,0,0,1,0,6,2,0,2,20,11,0,9,2,0,0,0,0,0,0,0,2,6,0,2,0,1,9,8,30,1,8,9,16,14,0,0,2,0,0,0,0,0,0,0,3,20,0,0,7,0,0,2,4,1,4,0,9,3,0,0,41,0,0,11,53,0,9,0,6,5,0,1,0,0,0,0,0,0,1,0,1,0,3,12,1,1,0,0,0,13,0,0,2,0,10,0,2,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,3,0,0,0,1,4,2,0,0,5,4,1,0,4,16,1,0,8,4,0,2,1,0,3,2,3,0,2,0,0,3,0,0,0,1,0,0,0,3,2,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,5,3,0,0,0,0,0,0,1,0,1,15,16,0,0,71,0,0,0,0,2,3,5,0,0,0,0,18,6,9
COK,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COL,1,3,0,12,7,0,0,102,521,268,0,472,341,112,3,308,22,0,4,34,245,27,2,6,264,1,1,50,1124,4,12,4,9,0,455,514,556,531,9,29,11,2,2,0,1,0,79,62,0,1,163,337,754,0,2,233,29,23,332,206,0,1339,184,40,240,1,0,762,0,13,3,1077,276,25,0,1,3,0,0,316,2,1,31,6,3,38,174,1,290,39,312,256,229,35,26,189,627,15,35,244,13,50,14,6,0,1,239,23,2,39,14,4,0,0,152,0,169,21,153,0,144,1,2,8,0,764,0,3,8,7,6,3,2,19,1,0,3,8,308,10,7,0,57,25,0,419,199,19,243,17,207,75,186,120,0,4,425,0,418,26,73,0,170,0,232,435,12,163,8,3,58,0,0,1,0,12,2,0,303,0,0,4,139,132,257,0,0,2,0,0,2,5,184,1,0,3,0,11,26,318,0,316,18,20,229,77,1926,22,0,0,0,171,0,112,0,1,0,11,242,10,9
COM,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,5,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,2,0,1,0,1,1,0,0,7,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CPV,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CRI,0,0,1,8,1,0,0,10,80,9,1,65,32,2,0,31,11,0,3,13,10,10,3,4,2,4,0,14,136,3,10,4,5,0,71,45,81,37,6,16,11,0,0,79,1,1,0,15,0,1,7,13,111,0,1,37,13,10,49,18,0,130,14,14,19,1,0,103,0,9,0,130,7,14,0,0,1,0,0,22,1,2,20,6,2,9,12,0,5,16,39,14,12,9,14,19,70,5,11,31,11,17,11,1,0,0,17,11,0,12,9,2,0,0,11,0,5,11,3,0,11,0,0,5,0,126,0,3,1,4,3,3,5,10,1,0,2,4,18,8,2,0,14,18,0,55,26,12,20,1,15,59,46,15,0,3,21,0,25,13,10,0,11,0,21,22,7,19,0,4,18,0,0,1,0,10,0,0,20,0,0,4,13,13,54,0,0,2,1,0,2,3,10,0,0,0,0,11,9,18,0,27,11,10,12,27,339,0,0,0,0,28,0,19,1,1,0,8,26,8,0
CUB,0,0,0,0,1,0,0,4,47,32,0,28,47,31,0,74,1,0,1,4,1,0,0,2,1,0,0,6,222,5,1,0,1,0,62,71,55,79,1,3,0,0,0,62,1,0,15,0,0,1,3,39,98,0,1,53,14,2,54,6,0,215,3,3,41,1,0,94,0,0,0,94,1,2,0,0,1,0,0,35,1,1,7,0,0,4,36,1,37,34,49,6,11,0,3,12,104,4,1,55,1,2,2,1,0,0,37,4,0,1,0,0,0,0,1,0,6,2,3,0,4,2,0,2,0,244,0,0,0,1,1,1,2,2,0,0,5,1,1,1,1,0,5,5,0,55,46,1,9,0,42,10,61,7,0,1,47,0,21,9,1,0,0,0,35,51,0,8,2,0,8,0,0,1,0,6,0,0,3,0,0,2,35,4,58,0,0,2,0,0,0,0,34,0,0,0,0,3,5,37,0,8,1,3,35,20,176,0,0,0,0,26,0,11,1,1,0,1,49,0,0
CUW,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,4,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,4,0,1,1,1,0,1,1,0,2,0,1,1,0,0,2,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,3,1,1,0,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,25,0,0,0,0,1,0,0,0,0,0,0,2,0,0
CYP,0,0,0,1,6,0,0,17,15,155,0,165,211,8,0,242,1,0,0,2,170,1,0,9,161,0,0,4,194,1,1,0,1,0,76,230,22,203,1,1,2,0,0,163,0,0,7,3,0,0,0,211,390,0,0,69,1,8,151,154,0,333,188,1,212,0,0,307,0,0,0,603,153,3,0,0,0,0,0,649,0,1,1,0,0,1,177,0,196,1,181,195,182,3,16,69,395,1,17,42,13,4,2,0,0,0,163,8,0,8,0,1,0,1,120,0,173,6,158,0,14,0,1,0,0,159,0,8,0,24,1,5,4,1,0,0,1,1,157,1,0,0,21,0,0,137,70,2,161,7,163,2,2,4,0,0,236,0,240,1,4,0,157,0,56,190,1,100,0,0,16,0,0,1,0,1,0,0,185,0,0,1,39,47,125,1,0,1,0,0,0,0,151,0,0,0,0,0,9,344,0,165,1,2,163,5,424,21,0,0,0,3,0,9,0,0,2,1,28,0,0
CZE,0,0,1,0,17,0,0,82,268,312,0,793,1369,154,2,991,7,0,2,16,371,3,0,41,301,1,1,9,765,1,7,0,5,10,795,1337,252,1101,6,20,5,3,0,337,0,1,13,39,0,0,211,0,2894,0,0,713,5,25,172,239,0,1621,278,17,736,0,0,2016,0,0,5,2790,296,8,0,1,1,0,0,771,3,2,5,1,1,3,409,0,903,64,643,492,275,6,37,460,1953,4,18,874,34,24,8,2,0,2,557,22,1,21,0,2,0,1,132,0,365,29,309,0,135,2,10,4,0,339,0,31,0,17,4,15,11,2,0,0,3,4,359,5,0,0,22,1,0,1117,552,11,272,8,248,17,59,28,0,15,1684,0,768,6,59,0,172,0,512,1215,0,192,9,6,110,0,1,1,0,2,0,1,442,0,0,1,1412,509,999,0,0,1,5,0,0,1,250,0,0,0,0,2,35,582,0,443,12,8,504,19,2896,35,0,0,0,17,2,93,0,0,7,4,355,3,4
DEU,0,5,13,12,24,1,0,318,1071,387,1,6297,7032,185,5,5378,54,0,71,153,671,33,15,84,410,2,7,27,3332,4,29,6,33,6,6570,10910,1410,8822,55,142,51,20,2,754,1,4,111,98,2,4,390,2894,0,1,1,4364,11,118,308,1105,0,9056,601,192,2707,19,3,13003,1,13,48,20746,387,147,0,10,14,6,0,2438,20,16,11,8,4,32,819,2,2014,342,2514,1783,1150,117,278,2335,11695,10,197,4963,90,257,52,25,0,7,2247,80,15,138,19,13,0,50,207,0,559,456,419,0,231,33,77,51,2,1103,0,100,22,84,18,18,79,43,1,0,17,30,590,81,25,11,202,8,0,9840,2690,72,1098,83,740,86,189,211,1,6,4170,7,2232,13,118,0,316,0,1263,4717,26,921,49,45,988,1,2,3,8,4,5,1,816,0,1,6,715,920,5813,6,0,6,17,0,2,17,634,12,1,1,0,12,205,1576,0,1236,163,95,1023,88,28623,60,0,15,0,64,2,457,4,3,19,33,1618,35,23
DJI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,8,1,2,1,0,0,0,0,0,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,3,1,0,1,0,1,1,0,0,1,0,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,26,0,0,0,0,1,0,0,5,0,0,0,1,0,0
DNK,0,1,0,8,9,0,0,124,342,167,0,1966,1131,151,8,1475,21,0,17,58,171,18,2,25,164,1,4,11,955,3,12,3,18,1,1677,1867,389,2212,10,31,14,7,0,233,1,1,37,53,0,1,69,713,4364,0,1,0,2,51,35,109,0,2339,209,54,1201,2,1,2699,1,11,4,6117,140,80,0,1,11,39,0,749,1,96,3,2,2,1,227,2,599,91,579,596,352,33,272,614,2628,5,33,962,27,82,24,14,0,5,482,31,10,59,13,3,0,12,35,1,221,92,173,0,144,7,9,11,0,236,0,46,6,52,5,8,15,15,1,0,4,8,237,28,10,1,58,2,0,2731,1877,37,326,38,127,23,94,51,0,8,981,3,821,4,75,0,97,0,482,695,17,156,5,11,278,0,1,1,2,2,1,0,261,0,0,4,363,439,3099,0,0,2,1,0,2,6,142,2,0,1,0,7,33,439,0,295,68,40,227,42,6085,7,0,1,0,24,0,87,0,2,2,10,448,11,8
DOM,0,0,0,0,1,0,0,0,24,0,0,4,1,0,0,4,1,0,0,2,1,0,2,1,0,0,0,8,32,0,1,0,1,0,10,11,19,8,0,1,0,0,0,29,0,0,13,14,0,1,1,5,11,0,0,2,0,0,15,1,0,35,3,1,2,0,0,9,0,0,0,22,1,1,0,0,0,0,0,2,0,0,14,0,0,7,1,6,0,1,7,1,1,1,1,2,12,5,0,1,0,0,0,1,0,0,4,0,0,1,0,1,0,0,1,0,2,0,2,0,0,0,0,0,0,35,0,0,0,1,0,1,1,2,0,0,0,1,2,0,0,0,1,6,0,8,3,0,1,1,2,17,22,3,0,0,2,0,5,10,0,0,2,0,2,3,2,1,2,0,2,0,0,0,0,11,1,0,2,0,0,0,1,1,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,0,2,1,1,2,8,112,0,0,0,0,18,0,1,0,0,0,0,4,1,0
DZA,0,1,1,8,2,0,0,78,19,7,0,43,36,0,1,111,13,0,2,20,18,28,0,2,5,0,0,1,55,2,9,4,6,0,169,66,31,199,5,23,10,0,0,23,1,0,10,2,0,0,8,25,118,1,0,51,0,0,9,82,0,275,18,18,38,2,0,1546,0,9,0,198,6,16,0,1,1,0,0,49,0,1,0,2,0,2,22,0,15,15,92,30,64,22,9,28,215,3,53,39,12,19,10,0,0,2,33,23,0,26,9,7,0,0,12,0,10,15,3,0,95,0,1,2,1,34,0,3,3,10,4,2,0,13,4,0,4,2,71,12,1,3,22,0,0,44,27,14,17,12,48,9,11,20,0,2,68,0,97,0,30,0,52,0,40,55,10,310,3,7,14,0,0,1,0,0,0,1,20,0,0,1,22,20,47,0,0,2,0,0,4,4,9,0,0,0,0,4,174,162,0,14,11,8,23,4,174,0,0,0,0,4,0,41,0,0,1,13,91,9,3
ECU,0,0,0,7,1,0,0,19,136,154,0,171,176,1,0,246,11,0,1,13,156,8,0,2,146,0,0,31,348,4,10,4,7,0,100,201,162,229,8,17,10,2,0,332,1,0,49,54,0,1,151,172,308,0,3,35,15,9,0,160,0,772,161,13,179,0,0,276,0,8,1,357,149,13,0,0,1,0,0,174,1,2,14,5,4,8,158,0,157,15,185,170,173,13,13,21,263,3,11,43,9,23,10,2,0,0,170,12,2,11,8,3,0,0,130,0,151,9,150,0,13,0,0,4,0,333,0,1,0,3,3,1,2,9,1,0,3,2,185,9,2,1,18,9,0,88,28,11,174,0,165,38,111,18,0,4,175,0,234,24,11,0,158,0,26,191,7,110,3,2,25,0,0,1,0,7,0,0,165,0,0,5,16,11,44,0,0,2,0,0,2,3,157,0,0,0,0,8,10,169,0,166,11,8,163,31,684,20,0,0,0,138,0,21,0,0,0,8,38,7,1
EGY,0,6,0,12,3,0,0,316,55,154,2,390,262,3,5,329,27,0,4,77,182,65,0,7,158,0,0,3,289,6,13,3,8,0,688,304,47,1065,11,43,13,4,0,206,2,0,18,6,0,1,154,239,1105,0,1,109,1,82,160,0,0,488,174,57,246,1,0,548,0,12,1,1148,158,36,0,2,5,0,0,270,1,1,3,0,0,3,182,2,232,54,594,209,345,78,16,60,599,6,152,771,25,52,17,4,0,2,506,138,0,127,15,59,0,0,155,0,172,19,154,0,58,0,1,3,1,251,0,6,1,11,4,1,3,20,2,0,4,13,334,12,3,3,92,1,0,206,103,23,225,108,412,12,34,44,0,2,323,0,243,7,43,0,318,0,96,352,13,3442,64,6,61,0,1,2,1,0,2,3,206,2,1,2,38,37,205,0,0,2,15,0,3,4,190,0,0,0,1,9,98,404,0,257,25,24,168,8,2201,32,0,2,1,5,0,94,1,0,1,123,183,12,4
ERI,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,6,0,1
ESP,0,2,9,12,35,14,0,220,1502,301,1,3248,2232,134,4,3377,31,0,21,58,486,26,3,45,327,3,4,49,3246,7,12,6,20,2,3149,4078,2069,3040,22,38,23,4,2,1339,1,10,130,215,1,2,333,1621,9056,0,1,2339,35,275,772,488,3,0,464,76,1537,9,6,8304,0,13,9,12112,323,68,5,8,16,4,2,1883,4,9,27,7,1,44,583,3,1225,89,1333,1326,804,61,172,1217,9102,8,70,2111,40,103,18,11,0,1,1211,60,5,136,19,9,0,10,162,2,493,170,358,0,364,24,28,12,0,2128,0,64,9,82,7,18,12,108,5,1,13,10,490,29,9,5,110,14,0,4574,1453,27,588,35,347,67,290,133,0,15,2339,3,3621,53,90,0,285,0,986,1799,18,585,18,27,394,2,1,2,3,20,3,0,626,1,2,4,507,684,2847,7,0,6,4,0,3,9,311,4,0,1,0,10,372,1141,0,761,54,50,549,206,13021,40,0,7,0,177,0,166,2,0,5,18,821,21,7
EST,0,1,0,8,14,0,0,25,49,160,0,246,293,6,2,322,13,0,1,15,208,12,0,22,174,0,0,3,235,3,9,3,9,0,139,352,42,314,5,13,10,0,0,184,0,0,14,3,0,0,188,278,601,0,0,209,3,18,161,174,0,464,0,17,589,0,0,436,0,11,0,713,167,16,0,0,0,0,0,258,0,2,3,1,1,1,223,2,261,19,245,226,194,15,75,84,454,6,15,93,21,21,13,1,0,1,204,18,1,15,10,2,0,3,137,0,258,20,267,0,12,0,8,1,0,191,0,16,0,18,5,4,3,9,1,0,1,2,176,10,1,0,24,1,0,239,196,12,205,5,175,11,23,23,0,3,355,0,259,4,12,0,166,0,98,358,9,118,5,0,43,0,0,1,0,1,1,0,202,0,0,1,67,72,386,1,0,1,0,0,2,3,170,0,0,0,0,5,13,226,0,185,9,12,209,7,605,23,0,0,0,5,0,39,0,0,3,9,61,8,1
ETH,0,4,2,12,1,0,0,37,21,7,0,158,40,0,6,158,28,0,15,43,9,29,1,2,1,0,0,4,67,4,9,4,34,0,123,97,30,150,14,34,22,9,0,40,1,0,14,3,0,1,1,17,192,2,1,54,1,18,13,57,3,76,17,0,41,1,0,87,0,13,2,395,5,61,0,4,10,3,0,24,1,1,8,0,1,0,16,3,4,30,232,26,88,31,16,33,97,3,43,83,13,130,15,7,0,1,76,17,4,30,14,5,0,0,30,0,5,19,1,0,16,0,0,9,0,49,0,0,7,6,4,0,3,34,1,0,3,23,53,15,3,7,94,2,0,195,140,25,49,20,58,13,37,33,0,12,42,0,42,3,20,0,23,0,18,39,28,70,25,18,28,0,0,4,2,0,2,1,39,2,0,2,14,10,119,2,0,2,1,0,4,4,22,0,0,1,0,6,21,33,0,40,67,59,13,9,519,1,0,0,0,5,0,65,2,0,0,15,191,23,21
FIN,0,0,2,8,9,0,0,77,103,187,0,973,844,36,3,1024,15,0,6,33,263,21,0,17,186,0,1,8,691,5,10,4,9,1,927,1221,179,1532,8,22,14,3,0,240,1,0,19,41,0,1,212,736,2707,0,1,1201,2,38,179,246,0,1537,589,41,0,1,0,1755,0,11,0,3663,164,35,0,0,4,3,0,708,3,8,4,1,1,0,335,1,572,92,635,606,361,23,181,312,1823,8,43,782,33,64,17,6,0,1,567,53,4,37,12,16,0,4,148,0,367,60,338,0,31,3,12,6,1,324,0,23,2,23,7,1,4,12,2,0,7,22,233,20,3,1,53,2,0,1416,1013,24,332,15,276,18,79,40,0,4,909,0,700,5,21,0,208,0,311,1206,11,238,12,5,174,0,1,2,0,0,2,0,250,0,0,6,244,260,2538,1,0,2,0,0,2,4,230,0,0,0,1,7,36,416,0,292,29,23,386,21,3349,25,0,2,0,16,0,49,0,0,1,10,278,12,3
FJI,0,0,0,0,0,0,0,1,0,0,0,107,1,0,0,5,0,0,1,7,0,10,0,0,0,0,0,0,3,0,0,0,1,0,9,3,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,19,0,0,2,0,2,0,1,0,9,0,1,1,0,0,27,0,0,0,40,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,4,21,3,4,1,0,2,18,0,1,14,0,4,0,0,2,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,1,3,0,2,1,0,7,3,1,22,0,1,0,1,5,0,4,2,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9,0,0,0,0,1,0,0,0,1,1,6,0,0,1,0,0,0,0,2,0,0,0,4,1,0,0,0,1,2,0,0,1,46,0,0,0,0,2,0,3,1,5,0,0,6,1,1
FLK,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,9,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0
FRA,0,5,6,8,29,2,0,369,962,391,1,4407,2787,161,11,5779,151,0,168,78,524,21,5,48,362,1,7,48,3256,8,18,6,34,30,6150,6894,1260,5956,184,327,69,41,4,762,7,3,103,94,2,2,307,2016,13003,13,1,2699,9,1546,276,548,1,8304,436,87,1755,27,7,0,1,11,77,15385,329,98,0,32,18,3,1,1981,6,7,17,70,5,39,659,6,1366,239,2063,1445,786,76,197,1541,10775,10,92,3790,81,193,27,116,1,4,1597,72,37,853,16,34,0,9,161,2,483,340,362,0,1040,116,43,139,3,1249,1,52,74,81,33,29,19,43,27,0,23,38,569,50,123,48,136,10,0,6057,1884,56,832,72,472,46,236,173,1,25,2814,3,2180,18,89,1,347,1,1315,3149,28,816,33,282,812,1,0,6,6,6,2,2,606,4,0,12,580,704,3723,7,0,11,21,0,24,40,607,2,0,2,0,13,1875,1212,0,963,62,93,763,119,18996,39,0,7,0,100,0,604,7,1,8,17,1227,33,30
