,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
DZA,0,0,0,0,0,8,5,0,0,4,3,0,0,31,1,2,0,4,0,0,1,0,0,0,2,6,0,0,0,0,1,41,15,2,11,1,3,1,1,1,0,0,0,1,0,4,10,28,0,0,3,0,0,1,8,0,45,1,0,5,0,726,0,1,45,0,1,0,0,0,0,0,15,0,0,0,0,0,0,2,0,2,2,7,5,3,0,0,6,48,0,12,10,0,1,1,0,0,5,1,0,7,0,1,0,0,0,0,3,1,1,25,2,1,2,0,5,0,1,1,1,0,0,0,1,0,0,0,1,4,0,0,2,1,1,7,3,0,1,8,6,0,1,1,0,0,10,0,6,1,0,0,8,3,0,21,2,3,1,0,0,0,0,0,0,0,0,1,0,7,0,0,6,0,3,1,0,0,0,0,24,9,0,0,1,1,0,43,0,0,0,0,1,2,0,0,0,0,4,0,0
ECU,0,0,0,0,0,0,68,0,0,6,3,0,0,17,0,0,1,0,0,0,0,0,0,0,4,72,0,0,0,0,0,67,30,13,48,0,2,1,0,63,0,0,6,4,0,0,47,70,0,0,5,2,1,0,0,0,23,0,0,1,1,74,0,0,81,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,50,47,0,0,0,0,11,0,0,8,0,5,0,0,0,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,53,3,0,6,0,1,5,17,5,0,0,3,0,1,6,0,0,1,48,0,1,1,0,1,0,0,2,0,0,1,0,0,0,0,56,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,153,0,0,0,0,7,0,0,0,0,1,4,1,0
EGY,3,0,0,0,0,44,6,1,0,20,42,1,0,26,0,2,3,4,7,0,0,0,0,0,0,19,0,0,0,0,0,115,34,0,61,1,1,0,1,3,0,0,0,1,0,3,8,250,0,0,16,0,8,0,0,0,57,1,1,17,0,80,0,0,182,0,3,0,1,0,0,0,34,0,0,1,0,0,0,8,0,25,14,42,8,12,7,0,18,77,1,14,161,0,5,0,0,0,61,46,0,22,0,17,0,0,1,0,0,0,1,6,0,0,0,0,11,0,1,1,1,0,1,0,0,0,0,0,0,36,0,0,0,4,0,49,12,0,7,16,21,1,6,4,0,1,20,0,22,0,0,14,9,7,0,212,10,2,9,0,0,0,0,0,3,0,0,3,4,31,0,0,9,0,0,6,0,0,0,0,10,37,13,2,2,1,0,491,2,0,0,0,1,3,0,0,0,13,30,0,3
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ESP,1,1,2,1,1,6,672,24,0,659,643,4,0,1111,1,9,6,133,1,1,7,19,0,1,32,728,1,1,0,1,1,1051,1045,431,343,1,5,2,2,330,0,0,37,186,0,25,357,3273,0,0,599,4,45,23,57,0,0,58,7,474,1,3444,0,2,4204,12,4,6,1,2,1,1,524,0,1,7,0,0,4,58,1,277,7,201,286,62,4,35,333,3193,1,12,587,9,5,0,1,0,162,2,0,19,0,1,0,0,3,0,37,29,11,131,5,16,0,0,826,0,5,2,11,1,0,1,27,2,0,0,2,24,0,0,0,12,6,1504,399,3,84,3,23,18,63,9,0,0,568,0,1109,5,1,6,171,591,0,21,0,5,88,0,0,4,0,0,68,0,1,154,101,844,0,2,7,0,0,42,0,1,0,3,57,172,131,11,5,107,75,5405,4,0,1,0,177,12,0,0,0,1,146,1,4
EST,0,0,0,0,0,0,8,2,0,31,21,1,0,38,0,0,0,16,0,0,2,6,0,0,0,14,0,0,0,0,0,25,25,3,15,0,1,0,0,4,0,0,0,2,0,5,20,105,0,0,45,0,1,0,1,0,58,0,1,150,0,69,0,0,136,3,0,0,1,0,0,0,18,0,1,0,0,0,0,7,0,30,2,11,13,2,0,5,5,73,0,1,22,1,0,0,0,0,6,1,0,0,0,0,0,0,4,0,29,8,28,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,51,33,1,4,1,2,0,1,0,0,0,52,0,14,0,0,0,12,72,0,0,0,1,2,0,0,0,0,0,3,0,0,17,14,116,0,0,0,0,0,4,0,0,0,0,0,8,9,3,1,8,0,109,1,0,0,0,0,1,0,0,0,1,14,0,1
ETH,0,0,1,0,0,0,0,1,0,4,5,0,0,21,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,6,6,0,2,1,3,0,0,0,0,0,1,0,0,0,1,26,0,0,2,0,0,0,1,0,7,1,0,3,0,21,0,0,62,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,26,4,0,0,0,3,16,0,0,6,0,15,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,2,9,0,21,23,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,1,37,0,0,3,0,0,3,0,0,0,0,0,1,0,1,8,0,0,64,0,0,0,0,0,3,0,0,0,2,21,1,3
FIN,1,1,2,0,0,7,33,16,0,250,228,0,0,242,0,1,3,58,0,0,2,6,0,0,0,88,0,0,0,0,0,393,397,21,223,0,1,0,0,9,0,0,2,3,0,10,161,1101,0,0,493,1,5,1,17,0,474,150,3,0,1,610,0,1,1373,2,5,0,2,1,0,0,134,0,3,0,0,0,0,23,0,156,5,86,131,34,0,57,72,667,1,2,308,1,1,0,2,0,95,6,1,3,0,7,1,0,2,0,57,14,28,1,2,7,4,0,40,0,5,0,4,0,1,0,1,0,0,6,7,7,0,0,0,3,1,559,372,4,51,3,5,0,7,5,0,0,223,0,140,0,1,0,50,422,0,7,0,1,35,0,0,0,0,0,27,0,0,100,61,1066,0,0,1,0,0,20,0,0,0,3,3,85,83,7,7,47,3,1502,4,0,3,0,4,1,0,0,0,0,50,0,1
FJI,0,0,0,0,0,0,1,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,3,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,0,0,0,0,1,2,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,8,0,0,2,2,2,1,3,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,4,0,0
FRA,1,5,8,0,0,44,372,80,2,1394,1018,5,1,2809,60,85,15,213,2,0,5,40,1,4,30,1138,2,2,0,3,13,2943,2832,385,1459,85,197,15,16,164,1,0,23,35,0,30,790,6252,1,2,853,3,726,74,80,1,3444,69,21,610,3,0,0,44,6453,18,18,0,8,12,0,0,776,0,3,2,34,0,0,138,9,450,49,653,447,185,2,65,665,4865,2,19,1708,14,48,4,16,0,452,12,16,196,2,22,0,1,19,1,105,115,30,497,31,22,76,0,572,0,11,46,11,3,8,15,9,5,0,2,9,49,18,63,41,27,2,2500,654,6,250,14,34,5,61,40,0,3,1204,2,776,1,1,35,538,1585,6,44,4,128,185,0,0,0,0,0,102,0,2,219,174,1363,1,5,25,10,18,168,1,1,1,8,914,294,254,24,29,278,47,9667,14,0,1,0,95,127,6,0,0,4,300,2,14
FSM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,1,0,0,0,0,0,0,0,0,7,0,0,6,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,4,6,0,0,1,5,1,3,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,2,0,0,1,0,44,0,0,16,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,6,0,1
GBR,8,5,2,0,8,80,338,62,0,4176,1292,13,0,2418,12,52,116,220,7,2,11,48,2,4,18,1137,9,3,0,20,1,4375,2983,357,3137,10,48,5,7,174,0,1,30,51,0,102,826,8691,0,1,1783,6,45,81,182,1,4204,136,62,1373,10,6453,1,16,13492,33,98,5,9,100,5,1,1325,1,3,9,6,1,3,150,1,561,87,972,1556,454,13,152,761,5593,22,89,2516,32,258,3,11,3,756,52,17,48,0,32,0,1,96,1,114,63,46,42,5,11,34,0,496,0,12,16,38,5,9,14,18,0,2,15,112,285,23,11,11,105,4,4510,1300,24,966,59,290,38,76,59,0,24,1182,1,1084,2,3,34,289,1420,10,138,26,19,575,1,0,2,0,1,155,1,0,269,243,2732,5,8,17,0,2,333,5,0,0,39,47,449,485,157,150,268,39,17009,13,0,1,0,84,94,0,0,1,7,915,32,50
GEO,0,0,0,0,0,0,1,8,0,3,6,4,0,13,0,0,0,1,0,0,0,2,0,0,1,9,0,0,0,0,0,15,19,1,2,0,0,0,0,2,0,0,0,1,0,1,4,53,0,0,5,0,0,0,0,0,12,3,0,2,0,18,0,0,33,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,4,0,5,2,2,0,0,9,23,0,0,17,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,9,0,0,0,0,0,16,0,7,0,0,0,2,54,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,10,0,54,2,0,0,0,0,0,0,0,0,0,3,1,0
GHA,1,0,0,0,0,1,2,0,0,10,5,0,1,11,8,12,2,1,0,0,1,0,0,0,1,5,0,0,1,1,1,12,18,0,5,4,12,1,1,0,0,0,0,0,0,0,0,43,0,0,12,0,1,0,3,0,4,0,3,5,0,18,0,2,98,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,3,2,2,2,0,0,2,7,1,0,9,0,13,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,3,0,0,9,0,0,0,0,2,0,0,0,4,0,0,0,5,26,0,34,9,0,0,0,3,0,1,0,0,0,3,0,4,0,0,3,1,2,1,1,2,9,2,0,0,0,0,0,1,0,0,0,1,8,0,1,1,0,1,1,0,0,0,0,1,1,1,15,12,0,0,101,0,0,0,0,0,3,0,0,0,0,17,2,5
GIB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,2,0,8,0,0,9,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
GMB,0,0,0,0,0,0,0,0,0,4,1,0,1,8,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,1,2,0,0,1,0,12,0,1,100,0,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,11,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,35,0,0,0,0,0,0,0,0,0,0,9,0,3
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
GRC,0,0,11,0,0,2,28,15,0,110,196,4,0,260,0,2,0,93,0,0,4,16,0,0,1,52,0,0,0,1,0,228,303,13,102,1,3,0,0,8,0,0,1,5,0,142,160,947,0,0,149,0,15,1,34,0,524,18,1,134,0,776,0,1,1325,7,2,0,0,0,0,0,0,0,0,1,0,0,0,38,0,93,1,47,69,33,1,4,109,690,0,5,142,8,8,0,0,0,71,0,0,7,0,3,0,1,1,0,19,16,8,7,1,1,0,0,35,0,6,0,7,0,10,8,2,0,0,0,0,16,0,1,0,2,0,324,112,1,16,0,7,0,4,3,0,0,228,0,144,0,1,0,145,154,0,6,0,1,28,0,0,0,0,0,93,0,0,78,57,266,0,0,4,0,0,8,0,0,0,0,13,121,42,0,0,36,6,1587,2,0,0,0,2,1,0,1,0,1,22,0,1
GRD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,1,0,0
GRL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,1,1,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,6,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,9,0,0,0,0,0,5,3,2,1,1,0,1,0,5,0,0,8,1,0,0,1,3,0,0,3,2,0,0,1,0,7,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,4,2,0,0,0,0,5,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,1,4,3,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,69,0,0,0,0,2,0,0,0,0,0,2,1,0
GUF,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,1,0,0
HND,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,2,1,0,1,0,0,5,0,0,1,2,0,0,0,0,0,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,3,0,0,0,0,0,1,0,0
HRV,0,0,1,0,0,2,5,5,0,32,87,0,0,57,0,0,3,25,0,0,64,4,0,0,0,22,0,0,0,0,0,37,72,4,39,0,0,0,0,2,0,0,1,3,0,6,69,229,0,0,20,0,2,1,8,0,58,7,1,23,0,138,0,0,150,2,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,61,2,24,10,6,0,2,20,129,1,1,33,0,0,0,0,0,24,1,0,1,0,0,0,0,2,0,7,0,4,1,0,1,0,0,7,0,8,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,60,27,1,12,0,9,0,2,4,0,0,73,0,23,0,0,2,34,61,0,1,0,1,1,0,0,0,0,0,35,0,0,39,161,23,0,0,0,0,0,4,0,0,0,0,0,16,8,1,1,11,1,254,1,0,0,0,0,0,0,0,0,0,14,1,1
HTI,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0
HUN,1,0,2,0,1,6,39,6,0,103,256,1,0,224,0,2,2,69,0,0,4,7,0,0,0,69,0,0,0,0,0,202,187,16,106,1,2,0,0,6,0,0,1,3,0,5,169,849,0,0,112,0,2,1,25,0,277,30,2,156,1,450,0,0,561,4,2,0,1,1,0,0,93,0,0,0,0,0,0,61,0,0,0,78,49,13,0,8,92,455,0,3,230,0,0,1,0,0,57,2,0,2,0,0,0,0,2,0,26,7,11,6,1,2,1,0,29,0,2,0,2,0,3,0,1,0,0,1,0,7,0,0,0,1,0,244,63,2,22,2,6,0,5,1,0,0,240,0,87,0,0,0,206,159,0,4,0,3,14,0,0,0,0,0,38,0,0,119,64,248,0,0,1,0,0,11,0,0,0,0,5,62,18,1,1,39,2,934,1,0,0,0,2,4,0,0,0,1,40,0,1
IDN,0,0,0,0,0,2,3,1,0,112,3,1,0,12,0,2,7,1,0,0,0,1,0,0,0,6,0,0,0,0,0,29,17,0,43,0,2,0,0,0,0,0,3,0,0,0,8,75,0,0,7,0,2,1,14,0,7,2,2,5,4,49,0,0,87,0,3,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,37,3,3,0,0,4,17,0,1,227,0,3,0,8,0,56,3,3,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,0,0,1,82,1,0,0,1,0,96,5,1,21,3,8,1,5,30,0,7,3,0,1,0,1,1,3,5,0,3,1,0,26,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,73,0,0,0,0,0,2,18,1,1,0,0,201,0,0,0,0,0,20,0,0,0,4,13,0,1
IND,3,1,1,0,0,34,88,9,0,409,122,1,0,136,3,1,55,25,2,0,0,10,0,0,5,188,2,1,3,6,0,449,293,36,448,3,5,1,2,65,0,0,3,7,1,5,122,1050,0,0,75,3,7,50,42,4,201,11,26,86,13,653,0,0,972,5,2,0,1,2,0,0,47,2,0,4,0,0,2,24,0,78,37,0,90,68,8,2,101,401,2,18,699,1,22,0,8,2,653,19,1,8,0,5,0,0,34,0,4,3,4,5,0,0,2,2,134,0,2,4,0,5,2,2,2,0,0,0,4,196,0,2,5,23,0,237,63,54,37,27,50,4,15,37,0,3,180,0,106,0,1,4,52,248,2,46,5,5,169,0,0,1,0,0,23,0,0,29,62,199,0,0,6,0,0,84,0,0,0,8,6,68,256,4,6,20,6,2981,9,0,0,0,9,22,0,0,0,5,127,4,3
