,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SVK,SVN,SWE,SWZ,SYR,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,XKX,YEM,ZAF,ZMB,ZWE
ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
EGY,2,0,0,2,0,2,6,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,8,4,4,4,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,8,0,0,4,0,12,0,0,44,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,8,4,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,16,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,6,0,0,2,0,0,46,0,0,0,0,0,0,2,0,2
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,0,4,66,0,102,76,2,0,166,0,0,0,10,0,0,2,0,0,6,76,4,0,0,0,0,170,116,138,84,0,0,0,82,6,18,6,10,12,338,0,66,0,0,2,8,0,0,22,4,52,0,260,0,0,850,0,4,0,2,0,52,0,0,2,0,0,0,10,0,14,2,18,52,8,0,8,48,276,0,0,38,0,0,0,0,22,0,0,8,0,0,0,0,0,0,10,0,4,6,0,2,0,154,4,0,4,0,0,0,0,0,2,8,0,0,0,6,0,282,52,0,26,0,6,0,34,8,0,28,196,2,0,2,30,14,2,2,0,2,10,0,0,0,0,0,2,10,32,82,0,0,0,4,0,0,2,20,14,2,6,2,10,938,2,22,6,0,2,0,18,0,0
EST,0,0,0,0,0,0,8,6,2,0,6,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,6,4,6,6,0,0,0,4,0,0,0,0,0,14,0,12,0,0,0,0,0,22,0,0,28,0,10,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,4,18,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,10,2,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24,2,0,4,0,4,0,2,0,0,2,16,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,14,14,0,0,0,2,0,0,0,2,4,0,0,4,0,34,0,2,4,0,0,0,2,0,0
ETH,0,0,0,0,0,0,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,42,0,20,0,0,0,0,2,0,0
FIN,0,0,0,0,0,0,72,30,0,0,46,0,0,0,4,0,0,0,0,0,0,8,0,0,0,4,0,76,34,6,28,0,0,0,4,0,0,0,2,14,118,0,68,0,0,2,4,0,52,28,0,0,0,72,0,0,322,0,0,0,0,0,20,0,0,0,0,0,0,8,0,28,0,8,18,12,0,8,22,62,0,0,26,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,2,8,0,0,0,6,0,108,94,0,36,0,4,0,0,2,0,12,28,0,0,0,8,26,0,0,0,0,10,0,0,0,0,0,0,0,10,192,0,2,0,2,0,0,2,12,14,2,2,2,0,350,0,0,4,0,0,0,12,0,0
FJI,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
FRA,0,0,0,10,26,2,182,52,2,0,402,2,2,0,8,2,2,2,0,0,2,84,0,0,0,0,0,462,330,38,76,2,8,0,20,0,2,0,12,26,422,0,92,0,12,0,12,0,260,10,4,72,0,0,0,2,1010,0,4,2,0,0,36,0,0,0,0,0,0,4,0,30,6,46,32,10,0,4,54,394,0,0,52,0,4,0,2,28,2,0,12,0,0,0,0,2,0,10,26,6,10,2,2,4,30,0,10,0,0,2,2,4,0,0,10,0,0,0,12,0,276,78,2,46,0,10,0,4,6,2,46,76,0,0,4,46,32,0,10,2,14,24,0,0,0,0,0,4,12,16,118,0,0,2,6,0,0,54,38,20,6,2,4,2,1256,0,0,10,2,0,2,30,0,0
FSM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
