,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AUT,0,0,0,6,4,4,18,0,0,166,0,0,0,156,0,0,6,42,0,0,16,2,0,0,0,56,2,0,0,0,142,290,34,178,0,0,0,0,4,0,2,0,0,0,14,56,1028,0,0,100,0,0,0,2,0,140,34,4,60,2,214,0,642,2,2,0,0,0,0,78,0,0,4,0,0,0,20,0,74,8,26,54,12,4,2,42,318,0,0,52,0,8,2,0,0,0,14,0,0,4,0,0,6,2,0,12,12,10,4,0,0,0,12,0,6,2,8,2,2,0,2,0,0,0,14,0,0,2,34,0,268,116,0,0,34,0,10,0,30,4,0,2,50,54,0,2,0,30,60,0,2,2,0,16,2,0,0,0,0,44,0,30,52,162,0,0,0,0,0,0,16,0,0,0,0,0,2,32,0,12,4,8,12,0,706,2,0,0,0,2,0,0,2,0,42,0,0
AZE,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0
BEL,2,4,0,2,0,6,42,4,0,268,156,0,2,0,2,2,2,24,0,0,30,0,0,0,0,82,2,0,0,2,314,352,18,202,2,10,6,2,26,0,0,8,2,0,16,62,600,0,2,114,0,6,54,10,0,368,38,20,136,2,746,0,1440,2,4,0,0,2,0,72,0,0,0,0,0,0,10,0,72,14,42,68,8,4,12,42,456,0,2,100,0,32,2,4,0,0,26,2,0,10,0,0,2,0,0,12,124,4,8,0,0,0,22,0,4,0,36,2,0,0,10,0,0,2,8,0,0,0,10,0,1260,170,0,0,60,0,6,2,20,18,0,0,90,116,0,0,12,46,46,2,4,2,2,52,0,0,2,0,2,10,0,8,30,270,0,0,0,0,0,0,10,0,0,0,0,4,2,64,0,18,6,26,14,4,1156,0,0,0,4,4,0,0,4,0,162,6,2
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,4,0,8,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0
BGD,0,0,0,0,0,0,4,0,0,62,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,10,2,0,0,0,34,14,2,32,0,0,0,0,2,0,0,0,0,0,0,4,32,0,0,4,0,0,0,2,0,12,2,4,32,2,2,0,142,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,8,4,32,2,0,0,0,0,2,0,0,20,0,2,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,18,8,22,0,12,4,6,0,2,0,0,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,2,2,2,4,0,116,0,0,0,0,4,0,0,0,0,18,0,0
BGR,0,0,0,6,0,0,6,4,0,16,42,0,0,24,0,0,2,0,0,0,4,0,0,0,0,14,0,0,0,0,10,32,4,18,0,0,0,0,8,0,0,0,0,0,0,12,36,0,0,6,0,2,0,2,0,40,14,0,12,2,28,0,90,4,6,0,0,0,0,50,0,0,0,0,0,0,12,0,16,8,10,10,8,2,0,8,48,0,0,8,10,8,0,0,0,0,8,0,0,4,0,0,0,2,0,8,0,6,0,0,0,0,12,0,8,0,4,0,0,0,0,0,0,0,10,0,0,0,36,0,36,10,2,0,6,0,8,2,36,0,0,0,36,20,0,0,0,50,54,0,6,0,0,2,0,0,0,0,0,30,0,18,14,14,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,2,0,4,6,2,76,0,0,0,2,4,0,0,2,0,10,0,0
BHR,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,0,4,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,2,0,0,26,0,0,22,16,0,0,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,26,0,0,0,0,0,0,0,0,0,0,2,4,14,0,0,2,0,0,0,0,0,2,2,0,34,0,34,0,54,0,0,0,0,0,0,6,0,0,0,0,0,0,30,0,6,0,0,2,0,0,0,2,6,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,2,0,6,0,26,0,6,0,0,0,0,0,0,0,0,0,0,0,30,6,0,0,26,0,0,0,0,0,0,0,8,4,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,42,0,2,18,34,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,26,0,0
BLR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
BRA,0,0,0,2,0,6,74,2,0,290,56,0,0,82,0,2,10,14,0,0,0,0,0,0,0,0,4,0,0,0,274,116,46,84,0,4,2,2,78,0,14,4,0,0,6,34,166,0,0,56,2,0,8,2,0,252,10,2,42,4,162,0,502,0,8,0,0,2,0,12,0,0,2,0,0,2,6,0,22,14,34,18,10,6,0,20,196,0,0,54,0,12,2,0,0,0,24,0,0,8,0,0,0,0,0,2,0,4,4,0,0,0,112,0,2,0,2,0,0,0,6,0,2,0,22,2,0,0,14,0,94,32,6,0,38,0,10,6,28,2,0,0,22,314,6,0,0,22,40,0,10,0,0,8,0,0,0,0,0,2,0,10,4,64,0,0,0,0,0,0,8,0,0,0,0,0,0,28,0,18,0,14,6,20,928,0,0,0,10,4,0,0,0,0,44,0,0
BRB,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,2,0,0,0,2,4,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,2,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,26,0,0,2,0,0,0,0,0,0,2,0,0
BRN,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0
BTN,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
BWA,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,4,6,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,22,0,0,0,0,0,0,0,0,0,28,4,8
CAN,0,0,0,0,4,62,74,2,4,1116,142,0,0,314,2,12,34,10,4,2,28,2,0,0,2,274,6,0,0,2,0,454,86,1000,4,8,2,0,74,0,12,6,0,0,16,32,934,0,0,180,0,8,12,20,0,348,20,64,128,8,836,0,2468,0,26,0,0,2,0,42,0,2,8,0,0,0,26,8,42,22,146,146,68,2,2,214,388,6,8,194,10,70,6,6,0,0,136,12,0,14,0,2,0,88,0,8,14,0,12,0,0,0,138,0,4,4,34,2,2,2,6,0,0,6,36,2,0,2,28,0,680,252,12,0,226,4,44,4,44,32,0,2,80,102,2,2,44,28,74,2,40,2,6,204,0,6,2,0,14,12,0,16,6,304,0,0,34,0,2,0,44,0,0,0,0,4,24,100,0,118,8,26,12,6,6492,2,0,0,6,14,0,0,0,0,302,2,6
