,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BFA,BGD,BGR,BHR,BHS,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GMB,GNB,GRC,GRD,GTM,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MNG,MOZ,MWI,MYS,NGA,NIC,NLD,NOR,NPL,NZL,PAK,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SYR,TCD,THA,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,2,0,2,2,0,4,0,2,0,0,0,0,0,0,2,0,0,0,2,2,2,2,4,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,0,2,0,2,4,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,2,0,6,0,0,0,0,2,0,2
BRA,0,0,0,12,0,18,4,0,8,0,4,0,0,0,0,0,2,0,0,0,0,4,22,10,4,8,0,0,2,2,0,0,4,4,12,0,0,0,0,14,4,0,4,2,16,44,0,0,0,0,4,0,0,0,4,0,4,6,0,0,0,0,4,14,0,2,4,0,0,0,2,4,0,0,2,0,0,0,4,0,4,2,0,0,0,10,0,0,4,0,0,0,4,0,0,8,0,0,6,0,4,4,0,4,12,0,0,0,4,0,0,0,0,2,0,4,6,4,2,0,0,2,0,0,0,6,6,4,0,4,0,124,0,0,0,0,14,2,6
BRB,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
BRN,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,4,0,4,4,0,4,0,4,0,0,0,0,0,2,4,0,0,0,0,4,4,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,4,4,0,4,2,4,8,0,0,0,0,4,0,0,0,4,0,4,2,0,0,0,0,4,4,0,2,4,0,0,0,0,4,0,0,2,0,0,0,4,0,4,2,0,0,0,4,0,0,4,0,0,0,4,4,0,4,0,0,4,0,4,4,0,4,4,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,0,2,0,4,0,0,0,0,8,0,4
CAN,0,0,4,4,0,164,24,0,52,2,4,0,0,0,0,0,2,22,0,0,0,4,0,52,6,138,0,2,2,4,2,2,12,10,116,6,0,2,0,50,6,0,26,2,162,450,2,2,0,0,18,2,0,0,4,14,8,22,14,2,0,0,70,60,2,4,74,0,0,0,0,28,0,0,10,2,4,0,4,0,6,4,0,0,0,18,0,0,8,0,0,0,12,0,0,100,30,0,46,0,4,4,2,6,6,0,0,0,4,8,0,0,0,34,0,6,6,4,30,0,0,2,0,0,10,18,6,6,2,4,0,1818,0,2,2,0,40,0,4
CHE,0,0,0,8,0,26,34,0,54,0,4,2,0,0,0,0,2,10,0,0,0,4,52,0,4,18,0,0,2,0,0,0,6,4,214,22,0,0,0,14,4,2,12,2,78,184,0,0,0,0,8,0,0,0,4,4,4,4,4,0,0,0,6,44,0,4,18,0,0,0,2,6,2,0,2,0,0,0,4,4,4,2,0,0,0,8,0,0,4,0,0,2,4,0,0,72,10,0,6,0,4,6,0,6,10,0,0,0,6,6,0,0,0,0,0,4,4,6,18,0,2,2,0,0,0,8,4,6,2,4,0,218,0,0,0,0,8,2,8
CHL,0,0,0,4,0,8,8,0,10,0,4,0,0,0,0,0,2,4,0,0,0,4,6,4,0,4,0,0,2,0,0,0,4,4,6,0,2,0,0,8,4,0,4,2,6,14,0,0,0,0,4,0,0,0,4,0,4,2,0,0,0,0,4,4,0,2,4,0,0,0,0,4,0,0,2,0,0,0,4,0,4,2,0,0,0,4,0,0,4,0,0,0,4,0,0,4,2,0,4,0,6,4,0,6,6,2,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,0,2,2,52,0,0,0,0,4,0,4
CHN,0,0,0,4,0,116,16,0,14,0,4,0,0,0,2,0,4,8,0,0,0,4,138,18,4,0,0,0,2,0,0,0,4,6,40,0,0,0,0,16,6,0,14,2,30,176,2,0,0,0,8,0,0,0,4,6,6,6,18,0,0,0,6,22,0,2,70,0,0,0,0,34,0,0,4,0,0,0,4,0,6,2,0,0,0,8,0,0,4,0,0,0,8,0,0,32,4,2,20,0,4,4,0,8,4,0,0,0,4,4,2,0,0,52,0,4,4,4,10,0,0,2,0,2,0,4,42,4,0,2,0,724,0,2,2,0,4,0,4
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
COD,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,2,2,0,2,0,2,4,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,2,0,2,0,0,0,0,2,0,2
COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0
CRI,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,4,0,6,4,0,4,0,4,0,0,0,0,0,2,4,0,0,0,4,12,6,4,4,0,0,2,0,0,0,0,4,4,0,0,0,0,4,4,0,4,2,4,20,0,0,0,0,24,0,0,0,4,2,4,2,0,0,0,0,6,8,0,2,4,0,0,0,0,4,0,0,2,0,0,0,4,0,4,2,0,0,0,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,4,0,4,4,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,0,2,0,20,0,0,0,0,4,0,4
CZE,0,0,0,4,0,10,6,0,10,0,4,0,0,0,0,0,2,4,0,0,0,4,10,4,4,6,0,0,2,0,0,0,4,0,14,0,0,0,0,6,6,0,6,2,14,22,2,0,0,0,6,0,0,0,6,4,6,4,0,0,0,0,6,8,0,2,8,0,0,0,0,6,0,0,4,0,0,0,4,0,6,2,0,0,0,4,0,0,4,0,0,0,6,0,0,10,4,0,4,0,4,4,0,10,4,0,0,0,4,10,0,0,0,0,0,4,12,6,2,0,0,0,0,0,0,4,4,4,0,2,0,44,0,2,0,0,4,0,4
DEU,0,0,0,4,0,60,116,0,90,2,4,14,0,0,8,0,2,12,0,0,0,4,116,214,6,40,0,0,2,2,10,0,4,14,0,48,0,0,0,62,14,4,28,2,124,540,2,2,0,0,24,0,0,0,6,24,6,14,10,0,0,2,52,116,0,4,38,0,0,0,0,12,0,0,6,0,0,0,8,0,8,2,0,0,0,10,0,0,4,0,0,0,6,2,0,210,34,2,22,0,4,4,0,44,12,0,0,0,10,18,2,0,0,10,0,4,10,4,60,0,0,0,0,0,0,34,12,4,0,6,0,806,0,2,0,2,14,0,4
DNK,0,0,0,0,0,12,10,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,6,2,0,12,0,18,108,0,0,0,2,8,0,0,0,2,2,0,2,2,2,0,8,12,12,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,38,24,0,6,0,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,60,0,0,2,0,0,0,6,0,4,0,0,0,96,0,0,0,0,4,0,2
ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
EGY,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,0,18,0,18,18,0,32,0,4,2,0,0,0,0,2,14,0,0,0,4,50,14,8,16,0,0,2,6,0,2,4,6,62,6,0,0,0,0,4,0,16,2,78,226,0,0,0,0,20,0,0,0,8,6,4,2,8,0,0,0,18,56,0,2,14,0,0,0,0,6,2,0,2,0,0,0,4,0,4,2,0,0,0,20,0,0,4,0,0,0,4,0,0,58,18,0,12,0,6,4,0,6,26,0,0,0,6,0,0,0,0,6,12,4,4,4,14,0,0,2,0,0,2,12,6,4,0,2,2,312,0,8,2,0,6,0,4
EST,2,0,0,4,0,6,6,0,6,0,4,0,0,0,0,0,2,4,0,0,0,4,6,4,4,6,0,0,2,0,0,0,4,6,14,2,0,0,0,4,0,0,10,2,6,24,4,0,0,0,8,0,0,0,4,4,6,4,0,0,0,0,6,8,0,2,6,0,0,0,0,8,0,0,4,0,0,0,4,0,6,2,0,0,0,4,0,0,4,0,0,0,6,0,0,6,6,0,4,0,4,4,0,6,4,0,0,0,4,2,0,0,0,0,0,4,4,4,6,0,0,0,0,0,0,4,4,4,0,2,0,18,0,2,0,0,4,0,4
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0
FIN,0,0,0,4,0,14,10,0,12,0,4,0,0,0,0,0,2,4,0,0,0,4,26,12,4,14,0,0,2,0,0,0,4,6,28,12,0,0,0,16,10,0,0,2,18,98,2,0,0,0,8,0,0,0,6,6,6,4,2,0,2,2,12,18,0,2,10,0,0,0,0,8,4,0,4,0,0,0,4,0,6,2,0,0,0,4,0,0,4,0,0,0,6,2,0,32,26,0,6,0,6,4,0,4,6,0,0,0,4,4,0,0,0,0,0,4,6,4,38,0,0,2,0,0,0,14,4,4,0,2,0,134,0,2,0,0,4,0,4
FJI,0,0,0,2,0,6,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,2,2,0,2,0,2,4,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,4,0,0,0,0,2,0,2
FRA,0,0,0,10,0,60,28,0,166,2,4,0,0,0,0,0,2,16,0,0,0,4,162,78,6,30,0,4,2,2,0,0,4,14,124,18,0,0,0,78,6,2,18,2,0,304,2,0,0,0,20,0,0,0,6,10,8,8,6,0,0,0,48,80,0,2,28,0,0,0,0,8,0,0,4,0,0,0,6,6,6,2,0,0,2,10,0,2,4,0,0,0,6,0,0,66,12,0,4,0,4,4,0,14,22,0,2,0,4,10,0,0,0,8,0,4,6,6,16,0,0,2,0,0,4,8,6,4,0,4,0,456,0,2,4,0,20,0,4
