,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CUW,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
EGY,0,0,0,1,0,3,2,0,0,4,5,1,0,2,0,3,0,0,2,0,0,0,0,1,1,0,0,0,0,0,8,3,1,3,0,0,0,0,0,2,0,0,0,0,0,1,28,0,0,1,0,0,1,0,0,4,0,0,2,0,11,0,0,75,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,4,1,1,4,3,1,1,2,9,0,1,2,0,1,0,0,0,0,2,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,10,2,0,0,2,2,1,0,1,1,0,1,0,2,0,0,9,2,2,0,29,1,2,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,3,8,1,0,0,0,0,72,0,0,0,0,1,0,0,0,0,0,0,1
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ESP,0,0,0,0,1,13,81,1,0,161,56,0,0,147,0,0,3,22,0,0,1,2,0,3,103,0,0,0,0,0,204,126,191,71,0,4,0,0,0,172,1,9,13,1,13,31,315,0,1,62,5,3,59,4,0,0,16,2,61,0,289,0,0,847,3,6,0,0,0,1,46,0,0,9,0,0,0,16,1,39,10,25,50,10,3,9,37,345,0,1,31,1,10,0,3,0,0,15,1,0,11,0,0,0,0,0,0,24,15,1,12,0,0,0,1,130,6,0,6,0,0,0,0,0,2,11,2,0,0,6,3,229,68,0,0,26,3,6,4,51,8,0,49,0,210,0,0,4,21,23,0,9,0,2,16,0,0,4,0,12,0,16,8,99,0,0,2,0,0,7,0,0,0,6,28,12,8,5,1,22,786,2,0,0,17,1,0,0,0,0,48,2,0
EST,0,0,0,1,0,0,0,0,0,13,12,0,0,19,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,7,7,1,8,0,1,0,0,0,0,0,0,0,0,6,11,32,0,0,17,0,0,0,0,0,16,0,1,41,0,9,0,0,62,1,3,0,0,0,0,8,0,0,0,0,0,0,7,0,9,2,4,9,2,0,1,7,22,0,0,3,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,7,1,7,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,3,1,0,0,2,0,29,15,0,0,2,1,2,0,1,1,0,18,0,10,0,0,0,10,13,0,3,0,0,2,0,0,0,0,2,0,5,5,19,0,0,0,0,0,1,0,0,0,0,5,0,0,3,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0
ETH,0,0,0,0,0,1,0,0,0,11,1,0,0,11,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,2,3,3,4,0,2,0,0,0,1,0,0,0,0,0,0,9,0,0,3,0,0,0,0,1,2,1,0,1,0,3,0,0,14,2,16,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,2,0,6,0,0,2,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,3,2,0,0,0,0,12,7,0,0,2,2,0,0,2,3,0,1,0,0,0,0,0,2,1,2,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,40,0,0,0,0,0,0,0,0,0,9,2,2
FIN,0,0,0,0,0,0,1,1,0,85,46,0,0,40,0,1,0,2,0,0,1,0,0,0,9,0,0,0,9,0,81,47,10,43,0,1,0,0,0,6,0,1,0,0,10,16,152,0,0,95,0,0,0,2,1,61,41,1,0,0,55,0,0,331,0,3,0,2,0,0,12,0,0,0,0,0,0,6,0,9,4,12,32,3,1,5,17,66,0,0,18,1,4,0,0,0,0,9,0,0,0,1,0,0,3,0,0,12,8,1,0,1,1,0,0,5,2,0,4,0,1,1,0,0,3,6,1,0,0,4,0,106,68,0,0,26,0,3,1,1,1,0,28,0,40,0,2,3,3,37,0,2,0,0,12,0,0,0,0,7,0,6,9,191,0,0,0,0,0,1,1,0,0,0,7,17,2,1,2,0,286,0,0,0,0,4,0,0,0,0,41,1,0
FJI,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0
FRA,0,0,0,4,0,21,33,3,1,255,88,1,1,297,2,6,6,18,2,0,2,0,0,2,72,2,1,0,0,2,395,310,39,135,11,19,3,0,0,32,0,7,2,0,9,17,493,0,0,102,1,17,2,11,0,289,9,3,55,1,0,0,2,901,6,5,1,0,0,0,71,0,0,3,0,0,0,5,1,47,12,61,43,9,3,8,59,425,2,4,78,3,8,1,6,0,0,40,1,3,26,0,1,0,1,2,0,7,33,1,31,2,1,1,0,42,3,4,3,0,2,1,1,3,2,19,2,1,2,11,0,252,83,1,0,38,5,15,0,10,12,1,55,0,83,0,1,27,52,46,2,20,0,13,51,0,0,0,0,9,0,8,10,147,0,0,0,0,2,17,0,0,2,71,42,19,1,8,7,13,1096,0,0,0,2,10,1,0,0,0,68,1,1
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GBR,0,2,1,6,0,67,55,2,1,1945,316,1,0,610,2,3,35,30,12,0,15,2,0,3,291,4,2,0,10,0,1251,650,111,898,3,14,3,0,2,60,0,17,7,1,87,84,1591,0,0,488,0,5,11,75,1,847,62,14,331,13,901,0,0,3592,18,39,0,0,2,0,276,0,0,5,0,2,0,33,0,111,41,298,513,54,11,51,235,1032,10,32,245,5,63,1,4,0,0,122,21,0,45,0,6,0,1,24,0,25,87,11,10,1,0,1,0,74,9,2,30,1,2,3,6,8,10,144,12,1,1,61,1,1229,470,22,0,342,23,63,4,21,23,4,200,0,297,1,8,53,60,133,5,66,3,4,206,1,9,0,2,43,0,22,46,639,1,0,4,0,0,97,0,3,4,10,175,102,33,32,15,11,4329,0,0,0,4,20,1,1,3,1,392,11,16
GEO,0,0,0,1,0,0,1,0,0,1,2,1,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,11,2,3,0,2,0,0,0,2,0,0,0,0,0,0,7,0,0,2,0,0,0,1,0,3,1,2,0,0,6,0,0,18,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,1,8,0,0,3,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,2,0,0,2,2,1,0,2,3,0,5,0,3,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,1,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1
GHA,0,0,0,0,0,1,1,0,0,20,2,0,0,5,0,11,2,2,0,0,1,0,0,0,7,1,1,0,2,0,16,4,5,18,0,4,0,0,0,2,0,0,0,0,1,1,4,0,0,2,0,0,0,1,0,6,3,16,3,1,5,0,0,39,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,2,7,0,2,0,2,2,7,1,0,5,0,17,0,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,2,6,2,0,1,8,0,17,11,0,0,5,2,3,0,2,2,0,3,0,2,0,0,1,4,3,0,2,0,1,3,0,0,0,0,0,0,2,0,13,0,0,0,0,0,3,0,0,0,1,5,0,1,7,0,0,54,0,0,0,0,0,0,0,0,0,24,0,1
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
GRC,0,0,0,3,0,5,4,0,0,42,33,0,0,38,0,0,0,6,0,0,2,0,0,0,6,0,0,1,0,0,29,28,2,20,1,0,0,0,0,2,0,0,0,0,59,6,69,0,0,19,0,0,0,1,0,46,8,0,12,1,71,0,0,276,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,7,1,6,23,1,0,1,23,64,1,0,5,0,1,0,1,0,0,7,1,0,3,0,1,0,0,0,0,4,8,3,0,0,0,0,0,5,1,0,6,0,0,0,0,0,0,4,0,0,0,2,0,64,23,0,0,3,1,1,0,0,4,0,23,0,26,0,0,3,11,7,0,5,0,1,13,0,0,0,0,10,0,3,9,27,0,0,1,0,0,2,0,0,0,1,19,3,0,0,0,0,141,1,0,0,0,0,0,0,0,1,12,0,1
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,1,0,1,3,0,0,7,8,0,0,10,0,0,0,5,0,0,22,0,0,0,4,0,0,0,0,0,8,9,0,6,0,0,0,0,0,0,0,0,0,0,3,3,19,0,0,8,0,0,0,2,0,16,7,0,6,0,5,0,0,33,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,12,3,4,5,3,0,2,6,19,0,0,0,0,2,0,0,0,0,3,1,0,0,0,1,0,0,0,0,3,3,4,0,0,0,0,0,3,6,0,2,0,1,0,0,0,0,2,0,0,0,3,0,16,6,0,0,3,1,2,0,0,0,0,16,0,10,0,0,0,6,3,0,3,0,0,3,0,0,0,0,15,0,5,34,6,0,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,33,1,0,0,0,0,0,0,0,0,2,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,3,0,1,5,0,0,16,37,0,0,28,0,0,0,20,1,0,4,0,0,0,8,0,0,0,0,0,19,25,3,15,0,2,0,0,0,3,0,0,0,0,1,17,74,0,0,9,0,0,0,4,0,39,9,2,9,0,47,1,0,111,3,4,0,0,0,0,7,0,0,0,0,0,0,12,0,0,3,7,8,4,2,3,12,61,0,0,9,2,3,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,5,2,0,0,3,0,36,18,0,0,3,2,7,0,2,3,0,28,0,11,0,0,0,26,17,0,2,1,1,6,0,0,0,0,6,0,15,12,22,0,0,0,0,0,3,0,0,0,1,11,4,0,4,3,0,99,0,0,0,0,2,0,0,0,0,2,0,1
IDN,0,1,0,1,0,1,2,0,0,97,2,0,0,3,0,0,5,5,0,0,0,0,0,0,9,0,1,0,0,0,24,11,2,22,1,3,2,0,0,3,0,0,0,0,0,1,19,0,0,5,0,0,0,1,0,10,2,1,4,0,12,0,0,41,1,2,0,0,0,0,1,0,0,1,0,0,0,3,0,3,0,9,3,3,0,0,3,7,0,0,38,0,7,0,2,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,1,0,1,50,0,0,0,4,0,53,6,3,0,13,4,3,0,2,10,0,3,0,8,0,0,0,3,3,0,7,2,0,27,1,0,0,0,1,0,2,1,10,0,0,0,0,0,8,0,1,0,0,8,6,2,2,0,1,76,0,0,0,0,2,0,0,1,0,3,2,1
IND,0,0,0,1,0,18,8,0,0,99,5,0,0,22,0,0,15,4,0,0,0,1,0,0,20,0,2,0,1,0,64,70,9,67,2,7,1,0,0,7,0,2,0,0,2,2,125,0,0,19,0,0,0,1,1,25,4,3,12,4,61,1,0,298,2,7,0,0,0,0,6,0,0,2,0,0,0,4,0,7,9,0,21,7,2,1,22,31,1,2,35,2,16,1,4,0,0,14,4,4,3,0,0,0,0,9,0,1,2,2,0,1,0,0,0,15,0,2,0,0,0,1,1,0,0,26,2,0,0,12,0,42,37,19,0,11,4,30,1,17,15,0,6,0,12,0,0,2,12,12,1,16,1,2,32,0,0,0,0,1,0,3,1,29,1,0,1,0,0,54,0,0,2,5,21,6,3,6,0,1,516,0,0,0,0,4,0,0,0,0,35,2,2
IRL,0,0,0,1,1,10,1,1,1,83,19,0,0,49,0,0,1,4,2,0,2,0,0,0,5,0,0,0,0,0,66,34,0,20,1,0,0,0,0,0,0,0,0,0,6,5,80,0,0,34,0,0,1,4,0,50,9,0,32,0,43,0,0,513,0,0,0,0,0,0,23,0,0,1,0,0,0,5,0,8,3,21,0,2,0,6,8,39,0,1,17,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,7,12,4,0,1,0,0,0,4,1,0,4,0,1,0,2,0,0,6,0,0,0,0,0,53,20,0,0,13,0,1,0,1,1,0,22,0,14,0,0,0,5,11,0,2,0,1,6,0,1,0,0,7,0,5,11,32,0,0,0,0,0,1,0,0,1,1,9,0,1,2,0,0,186,0,0,0,0,1,0,0,0,0,14,0,0
IRN,0,0,0,0,0,5,1,0,0,41,4,0,0,13,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,0,25,10,2,8,0,0,0,0,0,0,0,0,0,0,1,3,8,0,0,2,0,0,0,3,0,10,2,1,3,0,9,0,0,54,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,4,3,7,2,0,0,0,5,20,0,2,9,1,2,0,0,0,0,7,0,0,1,0,0,0,0,1,0,18,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,33,0,0,0,3,0,16,2,0,0,4,0,5,0,0,0,0,5,0,6,0,2,1,4,4,0,6,0,1,1,0,0,0,0,3,0,2,0,15,0,0,0,0,0,3,0,0,0,3,9,3,0,2,0,0,80,0,0,0,0,0,0,0,0,0,1,0,0
IRQ,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,3,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,2,0,0,0,3,0,0,0,2,0,0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0
ISL,0,0,0,1,0,1,1,0,0,5,2,0,0,9,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,10,3,2,3,0,2,0,0,0,1,0,0,0,0,0,2,7,0,0,9,0,0,0,1,0,9,1,2,5,0,8,0,0,51,2,2,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,1,6,0,0,0,1,18,0,0,5,0,1,0,0,0,0,3,1,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,2,2,0,0,0,0,7,23,0,0,5,2,0,0,2,2,0,4,0,5,0,0,0,6,10,0,0,0,0,2,0,0,0,0,2,0,1,1,23,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0,30,0,0,0,0,1,0,0,0,0,3,0,0
