,ABW,AFG,AGO,AIA,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GBR,GEO,GHA,GIN,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TGO,THA,TJK,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,XKX,YEM,ZAF,ZMB,ZWE
AUT,0,0,0,0,0,0,2,2,0,60,0,0,0,32,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,50,86,4,32,0,0,0,0,2,0,0,0,2,16,432,2,24,0,0,0,2,0,72,8,0,16,0,74,0,218,0,0,0,0,4,0,0,2,0,0,0,4,0,22,0,8,8,0,0,2,8,92,0,0,18,0,0,0,0,14,0,0,0,0,6,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,102,28,0,2,0,0,0,0,4,0,24,4,0,0,0,16,8,0,0,0,0,10,0,0,0,0,2,0,8,18,54,0,0,0,0,2,0,0,2,0,8,2,0,0,0,0,226,0,0,0,0,0,0,2,0,2
AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
BEL,2,2,0,0,2,0,0,10,0,76,32,0,2,0,0,2,0,4,0,0,0,0,0,2,12,0,0,0,0,148,100,12,48,0,0,2,0,18,0,2,4,4,6,238,0,46,2,0,4,2,0,120,8,4,14,0,282,0,432,0,2,2,0,18,0,0,0,0,0,2,4,0,12,2,20,24,8,0,2,36,138,0,0,24,0,6,0,0,10,0,0,4,0,0,0,0,8,46,0,2,0,0,2,10,0,0,0,2,0,0,0,0,0,4,2,2,0,2,6,0,582,28,0,12,0,0,0,4,0,0,30,38,0,0,0,10,10,0,0,0,2,8,0,0,0,0,2,0,4,10,56,0,0,0,0,0,0,0,0,2,18,34,2,4,4,2,456,0,0,0,0,0,0,34,0,0
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,12,4,0,2,0,0,0,0,0,0,0,0,2,2,4,0,2,0,0,0,2,0,2,2,4,2,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,2,2,0,0,2,2,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,4,0,0
BGD,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,8,4,0,8,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,2,0,4,2,2,2,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,2,0,0,2,2,2,0,2,8,0,0,0,0,2,0,0,2,0,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,4,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,2,0,0,0,0,4,2,0,0,2,0,12,0,0,0,0,0,0,2,0,0
BGR,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,30,0,0,0,0,0,6,0,16,0,0,0,0,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0,0,0,0,0,0,0,2,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0
BHR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
BRA,0,0,2,0,0,0,0,26,0,42,4,0,0,12,0,2,4,0,0,0,0,0,0,0,0,2,0,0,2,68,24,18,14,0,0,0,0,16,0,2,4,4,2,40,0,4,0,0,2,2,0,62,2,2,10,0,64,0,118,0,0,2,0,2,0,0,0,0,0,0,4,0,4,0,10,6,0,0,2,6,32,0,2,16,0,2,0,2,6,0,0,6,0,0,2,0,4,0,2,0,0,0,2,30,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,34,6,0,10,0,2,2,8,0,0,4,40,2,0,0,6,2,0,2,0,2,2,0,0,2,0,0,0,2,6,14,0,0,0,0,2,0,0,0,0,2,4,0,0,2,4,358,0,8,0,0,0,0,10,0,0
BRB,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,6,2,0,4,0,0,0,0,2,0,0,0,4,2,2,0,2,0,0,0,2,0,2,2,2,4,0,4,0,10,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,4,2,0,0,2,4,0,0,2,2,0,4,0,0,2,0,0,2,0,0,2,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,2,0,2,0,0,0,2,0,0,2,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,28,0,0,0,0,0,0,12,2,2
CAN,0,0,0,2,0,0,18,14,0,460,50,0,0,148,0,12,8,0,0,0,0,0,0,0,68,4,2,0,6,0,136,18,356,0,0,0,0,12,4,6,4,16,18,320,0,58,0,0,0,2,0,120,2,6,56,2,378,2,962,0,2,0,0,24,0,0,0,0,0,2,4,0,12,2,50,78,32,0,10,116,170,0,4,124,0,10,4,0,84,10,0,10,0,0,6,0,8,8,2,2,0,0,0,32,0,0,0,4,4,0,0,2,0,4,16,0,0,0,4,0,260,58,0,82,0,6,4,4,8,0,22,20,0,0,4,16,26,0,2,0,4,90,0,0,0,0,18,0,4,4,84,0,0,0,2,26,2,0,6,8,40,60,0,10,0,0,3468,0,4,4,0,0,0,76,0,0
CHE,0,0,0,0,0,0,2,12,0,108,86,0,0,100,0,4,4,4,0,0,0,0,0,0,24,0,0,0,2,136,0,10,34,0,2,0,0,10,0,2,0,6,14,730,0,58,0,2,2,4,0,82,6,2,26,0,326,0,432,4,0,0,0,16,0,0,0,0,0,0,10,0,14,6,36,24,2,0,2,22,154,2,4,32,0,2,2,0,14,0,0,2,0,0,4,0,10,0,2,10,0,0,0,6,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,150,36,0,14,0,0,2,6,0,0,20,14,0,2,0,6,4,0,0,2,2,6,0,0,0,0,4,0,6,4,66,0,0,2,0,6,0,0,0,0,10,4,0,4,2,2,656,0,0,6,0,0,0,26,4,2
CHL,0,0,0,0,0,0,0,12,0,14,4,0,0,12,0,0,0,0,0,0,2,0,0,2,18,0,0,0,0,18,10,0,2,0,0,0,0,4,0,2,4,0,2,20,0,2,0,0,0,0,0,48,2,0,2,0,12,0,46,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,0,2,16,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,10,0,0,0,8,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,0,0,0,0,2,0,0,0,0,4,2,0,2,0,6,134,0,4,0,0,0,0,0,0,0
CHN,0,0,0,0,0,0,4,2,0,354,32,0,0,48,0,2,8,2,0,0,2,0,0,0,14,0,0,0,4,356,34,2,0,0,0,0,0,12,0,4,0,4,6,176,0,42,0,0,2,2,0,36,4,2,10,0,88,0,568,2,0,0,0,6,0,0,0,0,0,0,6,0,12,4,30,22,2,0,2,26,28,0,4,166,0,2,0,2,88,2,0,6,0,0,2,0,4,2,2,0,0,0,0,10,0,2,0,0,0,0,0,0,0,2,18,0,0,0,10,0,102,28,0,82,0,4,0,4,4,0,8,10,0,0,0,4,4,0,0,0,2,228,0,0,0,0,2,0,6,6,48,0,0,0,0,10,0,0,2,2,12,124,0,2,0,0,1774,0,0,4,0,0,0,18,0,0
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
