,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BRB,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,36,0,0,0,0,0,0,0,2,0,0
BRN,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,0,0,0,0,0,0,14,0,0
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,2,2,0,2,42,64,0,4,1018,78,2,0,256,6,10,18,0,2,2,2,0,4,6,128,4,0,0,0,0,0,296,52,780,4,2,4,0,28,18,8,18,14,18,666,0,0,140,2,2,4,18,312,4,8,144,14,740,0,0,2038,0,24,0,32,0,2,2,0,0,0,32,0,22,18,154,148,48,4,14,144,308,12,4,170,6,24,4,2,0,0,110,8,0,16,0,0,0,0,2,4,20,2,8,0,0,4,132,0,0,4,8,18,0,6,2,0,6,6,44,6,4,0,18,0,466,172,4,0,178,6,26,0,18,22,0,42,80,0,0,16,20,78,2,38,4,8,176,0,8,2,0,14,0,0,6,14,318,0,2,0,0,36,2,0,0,18,32,66,70,8,10,8,4,5310,0,0,12,0,0,0,2,178,0,4
CHE,2,0,0,0,2,12,0,0,342,192,0,0,246,0,2,0,14,2,0,0,0,0,0,42,0,0,0,0,0,296,0,12,136,4,2,2,2,16,0,6,2,2,38,1384,0,0,110,0,2,0,6,202,18,4,98,0,596,0,0,1258,10,4,0,56,0,0,2,0,2,0,12,0,26,4,92,60,8,2,12,32,432,2,2,84,0,8,2,2,0,0,38,0,0,4,0,0,8,0,0,2,18,0,4,0,0,0,14,0,0,2,0,0,0,0,2,0,0,2,8,2,2,2,8,0,442,120,4,0,24,0,10,0,4,2,0,92,36,0,0,20,34,50,0,8,0,8,28,0,4,0,0,6,0,0,16,8,122,0,0,0,0,22,0,0,0,0,4,58,14,24,6,8,2,1452,0,0,2,0,0,0,0,54,6,2
CHL,0,0,0,0,4,72,0,0,68,16,0,0,40,0,0,2,0,0,0,0,0,0,2,56,2,0,0,2,0,52,12,0,14,0,0,0,0,78,0,8,4,2,2,60,0,0,22,0,2,4,2,372,2,0,16,0,44,0,0,158,0,0,0,8,0,0,2,0,0,4,2,2,0,4,4,6,0,0,0,6,48,2,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,2,0,56,8,0,0,8,0,0,0,22,2,0,8,28,0,0,0,0,8,0,0,0,0,2,0,0,4,0,2,0,0,4,0,18,0,0,0,0,2,0,0,0,0,0,4,2,0,2,2,12,408,0,8,4,0,0,0,0,2,0,0
CHN,0,0,4,0,20,10,0,0,1012,66,2,0,140,0,0,14,8,0,0,0,0,0,0,42,0,0,0,0,0,780,136,14,0,2,2,0,0,8,0,2,0,4,26,424,0,0,130,0,0,0,10,142,12,4,170,6,352,0,0,1474,0,4,0,16,0,0,0,0,0,0,10,0,20,12,152,44,8,0,16,50,168,2,6,276,4,16,4,4,0,0,198,6,4,6,0,0,2,4,2,10,0,2,4,0,0,0,16,0,0,0,0,2,0,2,0,0,0,0,172,0,0,0,8,0,358,52,2,0,132,2,34,2,8,56,0,36,34,0,0,4,8,174,2,104,0,0,624,0,2,0,0,14,0,0,2,8,178,0,2,0,0,70,0,0,0,2,2,52,404,4,2,4,0,4540,0,0,10,0,0,2,0,66,2,2
CIV,0,0,0,0,2,2,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0,8,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,24,0,0,0,0,0,0,2,4,0,0
CMR,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,6,0,6,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,24,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,10,0,0,0,0,0,0,2,6,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,16,0,0,0,0,0,0,0,8,0,2
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0
COL,0,0,0,0,2,64,0,0,40,12,0,0,8,0,0,2,0,0,0,0,0,0,2,44,2,0,0,0,0,28,16,78,8,0,0,0,0,0,0,8,0,0,2,26,0,0,14,0,0,12,4,140,0,0,4,0,38,0,0,74,0,0,0,2,0,0,8,0,0,4,0,0,0,2,6,4,0,0,0,0,50,2,6,4,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,38,10,2,0,6,0,0,2,14,10,0,2,2,0,0,0,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,8,0,0,0,0,2,0,2,0,2,0,6,254,0,22,0,0,0,0,0,2,0,0
CPV,0,0,0,0,0,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,4,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,6,8,2,0,0,0,0,8,0,0,0,0,2,12,0,0,0,0,0,0,0,20,0,0,0,0,4,0,0,18,0,0,0,2,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,2,0,0,0,0,0,4,0,0
CUB,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,2,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,10,0,0,0,0,4,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,12,2,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,2,2,4,0,0,0,0,0,0,0,0,0,4,28,0,0,4,0,0,0,0,14,6,0,10,0,12,0,0,112,0,0,0,66,0,0,0,0,0,0,2,0,2,0,4,6,0,0,0,2,20,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,2,0,0,0,0,0,0,4,4,0,0,0,0,2,0,4,0,0,10,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,2,32,4,0,0,2,0,64,0,0,0,0,0,0,0,4,0,0
CZE,0,0,2,0,2,4,0,0,22,30,2,0,26,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,18,38,2,26,0,0,0,0,2,0,2,0,4,0,130,0,0,22,0,0,0,2,40,14,0,18,0,42,0,0,130,0,4,0,12,0,0,0,0,0,0,8,0,12,0,2,6,10,0,10,0,46,0,0,4,0,2,0,0,0,0,4,0,0,2,0,0,0,2,0,16,0,2,0,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,58,6,0,0,10,0,0,0,4,6,0,70,8,0,0,0,16,52,0,2,0,0,0,0,0,0,0,12,0,0,198,8,38,0,0,0,0,2,0,0,0,0,2,22,4,0,2,4,0,158,0,0,4,0,0,2,0,4,0,0
DEU,2,0,4,0,36,32,2,0,790,770,0,8,608,2,2,10,26,0,0,10,2,0,2,92,0,0,0,4,0,666,1384,60,424,2,4,2,0,26,2,12,4,28,130,0,0,4,380,0,0,10,30,606,52,6,238,2,738,0,0,2990,14,4,0,158,0,0,0,2,0,0,24,0,94,22,126,110,34,2,34,200,852,4,6,178,12,48,2,4,0,0,108,2,0,10,0,0,10,2,0,42,98,18,4,0,2,2,60,0,0,2,16,2,2,0,0,0,4,0,30,6,0,0,20,0,1284,288,6,0,90,4,16,0,8,18,0,218,144,0,2,14,72,158,4,28,2,40,90,0,0,0,0,22,0,0,48,32,462,0,2,0,0,34,2,0,0,0,4,126,46,22,8,14,4,3254,2,4,28,0,0,0,0,176,2,0
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,0,10,2,0,0,192,74,0,0,120,0,2,2,6,0,0,0,0,0,0,36,0,0,2,0,0,140,110,22,130,2,0,2,0,14,0,0,0,4,22,380,0,0,0,0,0,0,2,84,24,10,144,0,122,0,0,752,0,4,0,16,0,8,0,0,0,0,6,0,22,4,42,62,6,0,44,26,140,0,2,30,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,16,8,0,0,0,0,0,16,0,0,2,6,0,0,0,0,0,0,0,4,0,0,0,2,4,196,310,2,0,20,0,2,0,4,2,0,38,28,0,0,6,14,20,2,0,0,2,14,0,2,2,0,2,0,0,8,14,356,0,0,0,0,6,0,0,0,6,0,20,0,6,6,0,0,734,0,0,4,0,0,0,0,48,2,4
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
ECU,0,0,0,0,0,8,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,0,0,2,0,12,0,0,0,0,0,10,0,0,0,0,0,0,0,84,2,0,2,0,4,0,0,10,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,8,0,0,0,0,0,0,0,2
EGY,0,0,2,0,30,4,0,0,4,4,0,0,8,0,0,2,2,4,0,0,0,0,0,4,0,0,0,0,0,18,6,2,10,0,0,0,0,4,0,0,0,0,2,30,0,0,2,0,0,0,0,18,0,2,6,0,20,0,2,96,0,0,0,4,0,0,0,0,0,0,0,0,4,2,10,2,2,0,2,2,30,0,6,12,2,6,0,0,0,0,4,6,0,10,0,0,0,0,0,2,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,8,0,2,0,0,4,6,0,2,4,0,4,4,0,0,4,4,4,0,44,0,0,4,0,0,0,0,4,0,0,0,0,2,0,2,0,0,2,2,0,0,0,4,20,6,2,0,2,0,156,0,0,0,0,0,2,0,6,0,0
ESP,0,4,4,0,10,184,0,0,274,150,2,0,282,0,0,2,14,2,0,0,0,0,2,144,0,0,4,0,0,312,202,372,142,0,2,0,0,140,18,20,10,14,40,606,0,0,84,4,4,84,18,0,30,4,86,0,562,0,0,1516,0,6,0,106,22,0,4,0,0,0,26,0,40,12,48,110,8,0,20,108,524,2,4,122,4,10,2,0,0,0,28,2,0,10,0,0,0,2,0,14,34,8,14,0,0,0,242,0,8,0,4,0,0,0,6,0,4,0,20,0,0,0,12,0,400,102,4,0,42,0,6,0,32,2,0,98,350,0,0,2,76,76,2,10,0,2,32,0,0,12,0,14,0,0,30,22,172,0,6,0,2,12,2,0,0,0,10,102,32,6,2,6,30,1470,6,24,4,0,0,4,0,66,2,0
EST,0,0,0,0,0,4,0,0,12,14,2,0,26,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,18,2,12,0,0,0,0,0,0,0,0,6,14,52,0,0,24,0,0,2,0,30,0,0,88,0,20,0,0,78,0,0,0,12,0,0,0,0,0,0,4,0,8,2,2,8,0,0,2,2,16,0,0,6,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48,20,0,0,0,0,0,0,2,0,0,16,8,0,0,0,6,38,0,0,0,0,2,0,0,0,0,4,0,0,8,4,24,0,0,0,0,2,0,0,0,0,0,10,0,0,2,6,0,58,0,0,0,0,0,0,0,2,0,0
ETH,0,0,0,0,0,2,0,0,8,2,0,4,16,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,2,4,0,0,2,0,4,0,0,34,0,2,0,2,0,0,0,0,0,0,0,0,0,2,6,6,0,0,0,0,4,0,0,6,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,2,0,20,10,2,0,0,0,2,0,2,2,0,2,0,0,0,2,0,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,2,2,4,4,2,0,48,0,0,0,0,0,0,0,20,4,4
FIN,0,0,0,0,4,4,0,0,136,50,0,0,98,0,2,2,2,0,0,0,0,0,0,20,0,0,0,4,0,144,98,16,170,2,0,0,0,4,0,0,0,10,18,238,0,0,144,0,0,2,6,86,88,2,0,0,260,0,0,578,2,2,0,16,0,2,0,0,0,0,8,0,32,2,10,48,10,0,24,24,144,0,0,32,0,2,0,0,0,0,16,0,0,0,0,0,0,0,0,30,16,2,0,2,0,0,4,0,2,0,0,0,0,0,0,0,4,2,98,4,0,0,0,0,202,152,0,0,72,0,4,0,2,2,0,50,62,0,0,2,10,142,0,96,0,0,106,0,0,0,0,6,0,0,6,14,342,0,0,0,0,4,0,0,0,0,0,44,20,8,4,4,0,590,0,0,6,0,0,0,0,44,2,0
FJI,0,0,0,0,2,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,0,2,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,0,2,0,0
FRA,2,2,4,0,22,44,0,0,458,106,0,2,650,4,14,4,20,8,0,2,2,0,4,146,0,10,0,0,2,740,596,44,352,8,24,4,4,38,18,4,4,12,42,738,2,0,122,0,24,4,20,562,20,4,260,6,0,0,2,1918,6,2,0,112,0,0,0,6,2,0,34,4,70,12,130,104,18,8,18,62,858,2,4,158,4,10,0,0,0,0,76,2,6,22,0,0,2,2,2,20,74,6,50,6,0,4,54,0,4,4,0,18,2,4,4,2,6,2,122,4,12,4,10,0,488,108,0,0,50,0,18,2,8,8,0,100,162,0,0,8,78,190,2,118,10,50,174,2,0,0,0,12,0,0,14,28,232,2,8,4,2,58,0,0,0,4,118,94,34,6,8,4,8,2084,0,0,16,0,0,4,2,94,2,0
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
