,ALB,ANT,ARE,ARG,AUS,AUT,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BMU,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GIN,GRC,GTM,GUF,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LBN,LBY,LKA,LTU,LUX,LVA,MAR,MDG,MEX,MLI,MLT,MOZ,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SOM,SRB,SVK,SVN,SWE,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
GTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HRV,0,0,0,2,4,4,4,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,4,2,2,0,0,2,0,0,0,2,4,4,0,0,0,0,2,2,0,2,2,2,8,0,0,0,2,0,0,0,0,2,2,0,0,0,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,2,2,2,0,2,0,10,0,0,2,0,0,0,2
HUN,0,0,0,0,0,2,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,6,20,4,0,0,0,8,2,0,8,0,12,38,2,0,0,4,0,0,0,2,0,0,0,0,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,2,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,2,0,0,0,0,56,0,0,0,0,2,0,0
IDN,0,0,0,4,10,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,10,4,4,4,0,0,2,0,0,0,4,4,6,0,0,0,0,4,4,0,6,2,6,14,0,0,0,2,0,0,0,2,0,0,4,0,0,0,4,6,0,0,6,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,6,0,0,0,0,4,0,0,4,0,0,0,4,4,0,4,4,0,4,0,0,0,0,0,2,0,0,4,4,4,2,0,0,0,0,4,2,4,0,2,0,24,0,0,0,0,4,0,4
IND,0,0,0,2,10,2,2,0,0,2,0,0,0,0,0,0,0,6,0,0,0,6,4,2,10,0,0,0,0,0,0,2,2,12,0,4,0,2,2,2,0,2,0,4,38,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,16,0,0,0,4,0,0,2,0,0,2,0,2,0,0,4,0,2,0,0,0,2,0,0,2,0,12,2,6,2,0,2,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,4,0,4,0,0,2,2,2,2,0,0,92,0,0,0,0,8,0,4
IRL,0,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,2,12,4,0,0,0,4,0,0,2,0,6,96,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,12,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
IRN,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ISR,0,0,0,4,14,6,18,0,0,2,0,0,0,0,0,0,2,4,0,0,2,54,10,4,10,0,0,2,2,0,0,4,6,38,4,0,0,0,20,4,0,18,2,42,76,0,0,0,2,0,0,0,4,2,4,2,2,0,0,0,10,0,0,16,0,0,0,8,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,36,6,0,8,0,0,0,4,2,0,6,10,2,4,2,0,0,0,0,0,0,0,4,8,4,4,0,0,0,0,8,2,4,0,4,0,356,0,0,0,0,4,0,4
ITA,0,0,0,6,44,24,52,0,0,2,2,0,0,0,0,0,2,6,0,0,2,56,30,4,6,0,0,2,4,0,0,6,6,90,16,0,0,0,60,4,0,18,2,72,258,2,0,0,16,0,0,0,2,6,6,2,12,0,0,10,0,0,0,14,0,0,0,8,0,0,4,0,0,4,0,4,2,0,12,0,4,0,0,0,4,0,0,0,0,74,8,0,12,0,0,0,4,2,0,10,18,0,6,2,0,0,0,0,4,0,0,4,4,8,36,0,0,0,0,6,4,4,2,2,0,362,0,4,0,0,4,0,4
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
JOR,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,0,0,0,4,36,4,14,0,0,2,0,0,0,0,0,0,2,6,0,0,2,44,12,4,28,0,0,2,0,0,0,4,6,32,0,0,0,0,10,4,0,12,2,12,64,0,0,0,6,0,0,0,4,2,6,16,0,0,0,16,14,0,0,0,0,0,0,14,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,20,6,0,8,0,0,0,4,10,0,10,8,0,4,0,0,0,0,0,12,0,0,4,6,4,20,0,6,0,0,6,6,4,0,4,0,266,0,4,0,0,2,0,4
KAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
KEN,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,4,2,0,0,0,0,0,4,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,24,0,0,0,0,2,0,0
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,4,24,4,8,0,0,2,0,0,0,0,0,0,2,4,0,0,2,16,6,4,18,0,0,2,0,0,0,4,4,12,0,0,0,0,4,4,0,6,2,6,28,0,0,0,4,0,0,0,2,0,4,4,2,0,0,8,8,0,0,14,0,0,0,0,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,6,2,0,6,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,10,0,0,4,4,4,2,0,0,0,0,4,6,4,0,2,0,318,0,0,2,0,2,0,4
KWT,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
LAO,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LBN,0,0,0,4,4,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,6,6,4,4,0,0,2,0,0,0,6,4,4,0,0,0,0,4,4,0,4,2,6,8,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,4,2,0,4,0,0,0,4,2,0,6,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,0,14,0,0,0,0,2,0,4
LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LTU,0,0,0,4,4,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,4,4,4,4,0,0,2,0,0,0,4,4,8,2,0,0,0,4,4,0,4,2,4,10,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,6,0,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,2,0,0,0,0,4,2,4,0,2,0,8,0,0,0,0,2,0,4
LUX,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LVA,0,0,0,4,4,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,4,4,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,4,4,0,4,2,4,10,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,0,2,0,4,0,4,0,0,0,4,0,0,0,0,4,2,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,6,0,0,0,0,4,2,4,0,2,0,6,0,0,0,0,2,0,4
MAR,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,0,2,2,2,4,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2,0,2,0,0,0,0,0,0,2
MDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MEX,0,0,0,8,10,4,8,0,0,2,0,0,0,0,0,0,2,6,0,0,2,22,8,4,6,0,0,2,2,0,4,4,4,10,0,0,0,0,24,4,2,4,2,18,28,0,0,0,2,0,0,0,2,0,4,4,0,0,0,4,12,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,0,0,4,0,0,0,4,0,0,0,0,16,2,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,2,112,0,0,0,0,4,0,4
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MLT,0,0,0,4,6,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,4,4,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,4,4,0,4,2,4,8,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,0,0,0,0,4,0,0,0,0,6,0,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,0,4,0,0,0,0,2,0,4
