,AFG,AGO,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GMB,GRC,GTM,GUF,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYR,TGO,THA,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VEN,VGB,VNM,WSM,XKX,YEM,ZAF,ZMB,ZWE
BRA,0,0,0,0,0,9,0,15,3,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28,9,5,2,0,0,0,4,0,0,0,1,18,0,2,0,0,1,1,38,0,0,1,0,30,0,0,58,0,1,0,0,1,0,2,0,1,2,1,2,0,0,1,2,7,0,0,4,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,1,1,2,0,1,0,3,0,0,1,0,13,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,3,0,0,0,0,0,3,2,0,2,158,0,0,2,0,0,0,0,0,3,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,3,0,1
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CAN,1,0,0,0,11,3,0,204,27,0,56,2,1,5,2,0,0,0,1,0,28,0,0,0,2,0,0,53,7,146,0,1,1,6,2,1,5,6,173,0,28,0,0,1,2,54,3,2,12,0,184,0,1,490,0,2,1,14,0,0,3,0,8,5,21,14,17,0,5,40,61,0,1,73,1,2,0,1,0,25,3,0,6,0,0,1,0,3,4,1,2,0,0,0,24,0,2,1,0,0,0,0,1,4,0,0,1,5,0,127,29,0,50,0,3,2,2,2,0,7,0,4,0,0,7,14,1,2,0,2,39,0,0,0,0,0,10,0,3,3,42,0,0,1,9,0,5,5,34,34,2,2,4,1,1616,0,0,0,0,3,0,0,0,34,1,1
CHE,0,0,0,0,1,4,0,54,43,0,51,0,0,2,4,0,0,0,0,0,9,0,0,0,0,0,53,0,5,28,0,0,0,0,0,1,1,6,373,0,17,0,0,0,2,26,0,2,7,15,137,0,0,211,1,1,0,14,0,1,1,0,6,0,17,8,1,0,4,8,71,0,1,19,0,3,0,0,0,9,0,0,2,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,0,0,1,0,72,26,0,8,0,0,0,1,1,0,7,0,6,0,0,3,5,0,1,0,0,4,0,0,0,0,0,3,0,1,3,24,0,0,0,5,0,0,1,9,7,1,1,0,0,310,0,0,0,0,0,0,0,0,6,0,1
CHL,0,0,0,0,0,4,0,8,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,5,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,33,0,1,2,1,4,0,0,14,0,0,0,2,0,0,0,0,0,0,1,3,0,0,1,2,5,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,66,0,0,1,0,0,0,0,0,4,0,0
CHN,0,0,1,0,2,1,1,156,5,0,18,0,0,3,2,0,0,0,2,0,2,0,1,0,0,0,146,28,1,0,0,1,1,4,0,0,0,3,81,0,10,0,0,0,1,10,1,1,7,0,37,0,0,272,0,0,0,8,0,0,3,0,4,2,17,10,0,0,3,12,19,0,1,75,0,0,0,0,0,42,3,0,3,0,0,2,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0,0,0,5,0,66,14,1,21,0,4,0,1,2,0,14,1,3,0,0,2,6,0,0,0,0,76,0,0,0,0,0,1,0,1,0,26,0,0,0,8,0,0,0,12,51,1,0,2,0,784,1,0,0,0,2,0,0,0,3,0,0
